start_utc,end_exclusive_utc,complete_calendar_period,equity_start,equity_end,net_return
2023-10-02T00:00:00+00:00,2023-11-01T00:00:00+00:00,False,10000.0,9993.140954503584,-0.0006859045496415694
2023-11-01T00:00:00+00:00,2023-12-01T00:00:00+00:00,True,9993.140954503584,9937.386556622698,-0.0055792666324554485
2023-12-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,True,9937.386556622698,9983.737522613535,0.004664301396220427
2024-01-01T00:00:00+00:00,2024-02-01T00:00:00+00:00,True,9983.737522613535,9974.862340851761,-0.0008889638516308418
2024-02-01T00:00:00+00:00,2024-03-01T00:00:00+00:00,True,9974.862340851761,10088.868014544307,0.011429297948868822
2024-03-01T00:00:00+00:00,2024-04-01T00:00:00+00:00,True,10088.868014544307,10188.483811216442,0.009873832874860433
2024-04-01T00:00:00+00:00,2024-05-01T00:00:00+00:00,True,10188.483811216442,10122.526626172861,-0.006473699744310224
2024-05-01T00:00:00+00:00,2024-06-01T00:00:00+00:00,True,10122.526626172861,10075.265970773024,-0.004668859578757734
2024-06-01T00:00:00+00:00,2024-07-01T00:00:00+00:00,True,10075.265970773024,9910.151976189778,-0.016388053185118823
2024-07-01T00:00:00+00:00,2024-08-01T00:00:00+00:00,True,9910.151976189778,9792.553254855522,-0.011866490202854574
2024-08-01T00:00:00+00:00,2024-09-01T00:00:00+00:00,True,9792.553254855522,9623.872412739485,-0.017225419941668263
2024-09-01T00:00:00+00:00,2024-10-01T00:00:00+00:00,True,9623.872412739485,9567.471242589945,-0.005860548408235355
2024-10-01T00:00:00+00:00,2024-11-01T00:00:00+00:00,True,9567.471242589945,9516.756900229604,-0.005300704969416037
2024-11-01T00:00:00+00:00,2024-12-01T00:00:00+00:00,True,9516.756900229604,9528.172538405819,0.0011995302912424233
2024-12-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,True,9528.172538405819,9425.731800358331,-0.010751352122830848
2025-01-01T00:00:00+00:00,2025-02-01T00:00:00+00:00,True,9425.731800358331,9438.010245914886,0.001302651700326063
2025-02-01T00:00:00+00:00,2025-03-01T00:00:00+00:00,True,9438.010245914886,9463.184479450118,0.002667324243065705
2025-03-01T00:00:00+00:00,2025-04-01T00:00:00+00:00,True,9463.184479450118,9624.103994871275,0.017004795348817714
2025-04-01T00:00:00+00:00,2025-05-01T00:00:00+00:00,True,9624.103994871275,9647.822244517487,0.002464463149904894
2025-05-01T00:00:00+00:00,2025-06-01T00:00:00+00:00,True,9647.822244517487,9601.092095898925,-0.004843595521789146
2025-06-01T00:00:00+00:00,2025-07-01T00:00:00+00:00,True,9601.092095898925,9520.894127121319,-0.008353004843257517
2025-07-01T00:00:00+00:00,2025-08-01T00:00:00+00:00,True,9520.894127121319,9604.680143396721,0.008800225604518541
2025-08-01T00:00:00+00:00,2025-09-01T00:00:00+00:00,True,9604.680143396721,9586.421666670723,-0.0019009978940892625
2025-09-01T00:00:00+00:00,2025-10-01T00:00:00+00:00,True,9586.421666670723,9495.146009007516,-0.009521348093892712
2025-10-01T00:00:00+00:00,2025-11-01T00:00:00+00:00,True,9495.146009007516,9329.787279544857,-0.017415080221598767
2025-11-01T00:00:00+00:00,2025-12-01T00:00:00+00:00,True,9329.787279544857,9230.436213616216,-0.010648802909629329
2025-12-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,True,9230.436213616216,9272.666823251204,0.0045751477674145224
2026-01-01T00:00:00+00:00,2026-02-01T00:00:00+00:00,True,9272.666823251204,9220.9497206742,-0.005577370950859972
2026-02-01T00:00:00+00:00,2026-03-01T00:00:00+00:00,True,9220.9497206742,9185.538253267558,-0.00384032756704511
2026-03-01T00:00:00+00:00,2026-04-01T00:00:00+00:00,True,9185.538253267558,9101.841177111051,-0.009111831429881923
2026-04-01T00:00:00+00:00,2026-05-01T00:00:00+00:00,True,9101.841177111051,9162.438607756963,0.006657711276955691
2026-05-01T00:00:00+00:00,2026-06-01T00:00:00+00:00,True,9162.438607756963,9126.66501846416,-0.003904374241865849
2026-06-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,True,9126.66501846416,8893.99560645539,-0.025493366036559606
2026-07-01T00:00:00+00:00,2026-08-01T00:00:00+00:00,True,8893.99560645539,8923.637782242879,0.0033328300461463733
2026-08-01T00:00:00+00:00,2026-08-31T00:00:00+00:00,False,8923.637782242879,8896.531041944232,-0.0030376334136494876
