timestamp,open,high,low,close,volume,quote_volume,trades,taker_buy_volume,taker_buy_quote_volume,original_open,original_close,aggregate_records
1730145600000,0.5174,0.5176,0.5172,0.5176,137980.7,71384.08004999999,329,44961.600000000006,23263.025079999996,0.5172,0.5172,87
1730145660000,0.5176,0.5181,0.5176,0.518,187473.90000000002,97097.32185000001,406,148398.1,76856.9637,0.5172,0.5172,108
1730145720000,0.518,0.5182,0.5176,0.5176,423666.30000000005,219418.66671000005,468,94820.6,49111.07073000001,0.5172,0.5172,95
1730145780000,0.5176,0.5178,0.5173,0.5178,437344.1,226400.36879,398,334050.39999999997,172929.74252000006,0.5172,0.5172,88
1730145840000,0.5177,0.5179,0.5175,0.5175,153613.19999999998,79533.36542999999,240,113863.19999999998,58957.23077,0.5172,0.5172,82
1730145900000,0.5176,0.5178,0.5173,0.5174,309765.8,160314.93416,365,99685.09999999999,51601.45483,0.5172,0.5172,96
1730145960000,0.5174,0.5175,0.517,0.5172,293817.2,151964.24982,371,209958.3,108590.25583000004,0.5172,0.5172,92
1730146020000,0.5172,0.5173,0.517,0.517,163082.0,84332.66952999998,205,9367.4,4845.14073,0.5172,0.5172,83
1730146080000,0.5171,0.5173,0.517,0.517,68750.7,35555.02713,211,33695.4,17425.03799,0.5172,0.5172,73
1730146140000,0.517,0.5173,0.517,0.5173,156125.7,80743.21264,223,143948.90000000002,74445.71190000001,0.5172,0.5172,79
1730146200000,0.5172,0.5173,0.5171,0.5172,124339.10000000002,64311.27011000001,203,63049.59999999999,32612.414499999995,0.5172,0.5172,77
1730146260000,0.5172,0.5176,0.5172,0.5176,84477.79999999999,43708.96074,207,68685.9,35540.44538,0.5172,0.5172,66
1730146320000,0.5176,0.5179,0.5175,0.5179,170678.8,88369.80849000001,223,158727.2,82183.01574000002,0.5172,0.5172,81
1730146380000,0.5179,0.5179,0.5178,0.5178,44996.0,23302.67038,109,37415.799999999996,19377.64282,0.5172,0.5172,66
1730146440000,0.5179,0.5181,0.5178,0.518,121349.1,62855.982720000015,216,77418.90000000002,40101.02522000001,0.5172,0.5172,80
1730146500000,0.518,0.5181,0.5178,0.518,81201.9,42057.734169999996,201,30770.6,15937.37169,0.5172,0.5172,80
1730146560000,0.518,0.5188,0.518,0.5186,1818294.1999999997,942916.50456,941,1135439.0999999999,588695.72639,0.5172,0.5172,102
1730146620000,0.5186,0.5186,0.5184,0.5186,90534.09999999999,46937.86751,161,56962.6,29532.388409999996,0.5172,0.5172,63
1730146680000,0.5186,0.5186,0.5184,0.5185,80089.9,41525.926269999996,180,26220.599999999995,13595.755179999998,0.5172,0.5172,68
1730146740000,0.5186,0.5187,0.5185,0.5186,90364.4,46859.680349999995,185,43907.100000000006,22770.443209999998,0.5172,0.5172,73
1730146800000,0.5185,0.5186,0.5183,0.5185,166398.90000000002,86262.65791000001,198,65774.5,34098.440709999995,0.5172,0.5172,77
1730146860000,0.5186,0.5186,0.5183,0.5183,73470.90000000002,38090.08659,143,15467.499999999998,8019.0293999999985,0.5172,0.5172,67
1730146920000,0.5184,0.5184,0.5181,0.5183,309729.4000000001,160515.75040999998,341,92435.99999999999,47905.602599999984,0.5172,0.5172,92
1730146980000,0.5183,0.5183,0.518,0.5182,162893.49999999997,84395.66179999999,244,44039.10000000001,22817.61516,0.5172,0.5172,82
1730147040000,0.5183,0.5185,0.5182,0.5182,116015.89999999998,60132.11089000001,182,40559.1,21026.54782,0.5172,0.5172,59
1730147100000,0.5182,0.5183,0.5181,0.5182,31689.399999999998,16422.38634,82,13398.900000000001,6944.41253,0.5172,0.5172,46
1730147160000,0.5182,0.5182,0.518,0.518,42327.600000000006,21930.982340000002,136,29899.600000000002,15492.256280000003,0.5172,0.5172,61
1730147220000,0.5181,0.5182,0.518,0.5181,138741.9,71879.98515000001,208,80504.9,41709.625140000004,0.5172,0.5172,66
1730147280000,0.5182,0.5182,0.5181,0.5181,26565.100000000002,13764.78655,89,14082.4,7297.49968,0.5172,0.5172,52
1730147340000,0.5181,0.5182,0.518,0.518,40140.4,20794.613679999995,111,822.7,426.32101,0.5172,0.5172,47
1730147400000,0.5181,0.5185,0.518,0.5184,128471.40000000001,66575.76175,201,119424.0,61887.74713,0.5172,0.5172,71
1730147460000,0.5185,0.5186,0.5184,0.5186,192261.7,99690.19222999999,306,118582.7,61488.76265999999,0.5172,0.5172,88
1730147520000,0.5185,0.5191,0.5185,0.5191,410031.7,212790.11763000002,420,351339.39999999997,182342.31711,0.5172,0.5172,118
1730147580000,0.5191,0.5191,0.5187,0.5189,115894.59999999999,60134.43634000001,236,69041.59999999999,35822.84452,0.5172,0.5172,70
1730147640000,0.5189,0.5192,0.5188,0.519,73329.59999999999,38061.26456000001,206,43356.399999999994,22507.19559,0.5172,0.5172,70
1730147700000,0.519,0.519,0.5185,0.5186,106237.30000000002,55105.096620000004,216,57199.299999999996,29664.01945,0.5172,0.5172,64
1730147760000,0.5187,0.5187,0.5186,0.5186,32192.0,16694.87291,92,1026.0,532.1853100000001,0.5172,0.5172,56
1730147820000,0.5185,0.5186,0.5183,0.5184,53580.3,27778.131379999995,133,29406.4,15245.282319999998,0.5172,0.5172,55
1730147880000,0.5184,0.5184,0.5183,0.5183,30103.600000000002,15603.119509999999,107,4236.3,2196.09792,0.5172,0.5172,55
1730147940000,0.5184,0.5184,0.5183,0.5183,79860.30000000002,41396.37074,119,47795.59999999999,24777.23673,0.5172,0.5172,50
1730148000000,0.5183,0.5184,0.5182,0.5182,139245.3,72168.29242,214,76274.29999999999,39533.184290000005,0.5172,0.5172,56
1730148060000,0.5183,0.5183,0.5173,0.5182,2087865.1,1080942.6481599999,1065,291528.89999999997,150965.33392,0.5172,0.5172,105
1730148120000,0.5181,0.5184,0.5181,0.5183,78099.5,40469.62454,148,56090.6,29066.467090000002,0.5172,0.5172,58
1730148180000,0.5184,0.5185,0.5183,0.5184,45906.7,23798.362629999996,116,14391.699999999999,7461.192679999999,0.5172,0.5172,41
1730148240000,0.5183,0.5184,0.5181,0.5181,108977.9,56480.90826999999,150,4292.8,2224.80102,0.5172,0.5172,52
1730148300000,0.5181,0.5184,0.5181,0.5182,227051.3,117668.82563,215,152613.80000000002,79091.69364000001,0.5172,0.5172,54
1730148360000,0.5182,0.5185,0.5182,0.5185,95194.89999999998,49345.14339,184,49618.30000000001,25718.436809999996,0.5172,0.5172,54
1730148420000,0.5184,0.5185,0.5184,0.5185,91932.5,47659.75737999999,149,48010.399999999994,24890.54074,0.5172,0.5172,64
1730148480000,0.5185,0.5185,0.5182,0.5183,176720.1,91605.70797999999,225,46388.90000000001,24049.579349999996,0.5172,0.5172,80
1730148540000,0.5183,0.5183,0.5181,0.5182,72443.90000000001,37535.558390000006,129,14065.5,7288.76327,0.5172,0.5172,48
1730148600000,0.5181,0.5184,0.5181,0.5184,137826.90000000002,71429.87226,137,129279.59999999999,67000.33745,0.5172,0.5172,72
1730148660000,0.5184,0.5185,0.5182,0.5183,169288.6,87754.29396000001,221,79548.59999999998,41238.020880000004,0.5172,0.5172,66
1730148720000,0.5183,0.5183,0.5178,0.5179,37227.0,19287.175089999997,158,4191.000000000002,2171.30108,0.5172,0.5172,53
1730148780000,0.5178,0.518,0.5178,0.518,123851.90000000001,64145.19808000002,118,115899.7,60026.82095000001,0.5172,0.5172,63
1730148840000,0.5179,0.5182,0.5179,0.5181,113061.2,58560.457239999996,167,47233.9,24468.17858,0.5172,0.5172,56
1730148900000,0.5182,0.5182,0.5179,0.5179,62897.200000000004,32584.662809999998,134,9316.2,4826.275200000001,0.5172,0.5172,60
1730148960000,0.5179,0.5182,0.5179,0.5182,170252.4,88200.03030999999,203,147250.69999999995,76286.26088,0.5172,0.5172,74
1730149020000,0.5181,0.5182,0.5179,0.5179,383094.29999999993,198435.81423000002,240,16194.4,8389.345560000002,0.5172,0.5172,78
1730149080000,0.518,0.5182,0.5179,0.5182,131399.5,68068.43865,193,117386.3,60809.96977999999,0.5172,0.5172,73
1730149140000,0.5181,0.5182,0.5181,0.5182,57430.09999999999,29758.61404,201,40792.3,21138.569859999996,0.5172,0.5172,96
1730149200000,0.5182,0.5187,0.5181,0.5186,275662.10000000003,142886.96182,397,265287.99999999994,137507.25509,0.5172,0.5172,144
1730149260000,0.5187,0.5187,0.5183,0.5185,322494.4,167224.32516999997,461,176958.6,91758.80579999997,0.5172,0.5172,142
1730149320000,0.5186,0.5186,0.5183,0.5185,126655.7,65668.67818999998,257,57362.0,29740.85978999999,0.5172,0.5172,104
1730149380000,0.5185,0.5185,0.5184,0.5185,66415.8,34433.92974,172,39790.200000000004,20631.218699999998,0.5172,0.5172,101
1730149440000,0.5185,0.5185,0.5176,0.5177,245450.8,127138.34496,516,58615.200000000004,30361.079900000008,0.5172,0.5172,129
1730149500000,0.5177,0.5179,0.5176,0.5178,311694.1,161372.3989,294,256188.0,132637.7868,0.5172,0.5172,134
1730149560000,0.5178,0.5178,0.5177,0.5178,32304.100000000002,16726.556980000005,132,27244.1,14106.994980000001,0.5172,0.5172,101
1730149620000,0.5178,0.518,0.5177,0.5178,188001.49999999997,97358.59933,280,127290.50000000001,65917.16704000001,0.5172,0.5172,116
1730149680000,0.5178,0.5178,0.5177,0.5178,92665.29999999999,47976.42317000001,162,35973.600000000006,18627.130080000006,0.5172,0.5172,110
1730149740000,0.5177,0.518,0.5177,0.5179,165683.19999999998,85795.10573000001,161,101037.5,52320.98216000001,0.5172,0.5172,57
1730149800000,0.5179,0.5179,0.5178,0.5178,65541.6,33937.60061000001,95,1601.3,829.3132700000001,0.5172,0.5172,55
1730149860000,0.5179,0.5179,0.5175,0.5175,273845.19999999995,141776.49242,291,151155.8,78261.98608000002,0.5172,0.5172,66
1730149920000,0.5176,0.5176,0.517,0.5173,498254.9,257692.1972,576,235109.89999999997,121599.24297,0.5172,0.5172,87
1730149980000,0.5174,0.5174,0.517,0.5172,294462.00000000006,152288.51283,260,164185.0,84912.66018,0.5172,0.5172,76
