end_boundary_utc,return
2022-09-01 00:00:00+00:00,-0.1391124757650758
2022-09-02 00:00:00+00:00,-0.13843488297129658
2022-09-03 00:00:00+00:00,-0.13915701854871043
2022-09-04 00:00:00+00:00,-0.14359302677380803
2022-09-05 00:00:00+00:00,-0.14262882394025056
2022-09-06 00:00:00+00:00,-0.14958258612069253
2022-09-07 00:00:00+00:00,-0.14961484313250972
2022-09-08 00:00:00+00:00,-0.12898081199644085
2022-09-09 00:00:00+00:00,-0.12882644184626557
2022-09-10 00:00:00+00:00,-0.14153418831254805
2022-09-11 00:00:00+00:00,-0.15032656837608283
2022-09-12 00:00:00+00:00,-0.14920625348311423
2022-09-13 00:00:00+00:00,-0.14554108440043845
2022-09-14 00:00:00+00:00,-0.14517050659704112
2022-09-15 00:00:00+00:00,-0.14452706470592103
2022-09-16 00:00:00+00:00,-0.14555815474860634
2022-09-17 00:00:00+00:00,-0.15360632703193533
2022-09-18 00:00:00+00:00,-0.1399413222650252
2022-09-19 00:00:00+00:00,-0.14053750372309015
2022-09-20 00:00:00+00:00,-0.140697885960397
2022-09-21 00:00:00+00:00,-0.12032151440746408
2022-09-22 00:00:00+00:00,-0.11948277079280989
2022-09-23 00:00:00+00:00,-0.12112433156006108
2022-09-24 00:00:00+00:00,-0.12061789343442852
2022-09-25 00:00:00+00:00,-0.12047540449363447
2022-09-26 00:00:00+00:00,-0.12064577427355616
2022-09-27 00:00:00+00:00,-0.12051030837822085
2022-09-28 00:00:00+00:00,-0.12055807660557116
2022-09-29 00:00:00+00:00,-0.12076648428185421
2022-09-30 00:00:00+00:00,-0.12008154338636856
2022-10-01 00:00:00+00:00,-0.10616583233151444
2022-10-02 00:00:00+00:00,-0.09127342349454892
2022-10-03 00:00:00+00:00,-0.10096499267476766
2022-10-04 00:00:00+00:00,-0.10073543322240774
2022-10-05 00:00:00+00:00,-0.10999624276707265
2022-10-06 00:00:00+00:00,-0.10974986345363769
2022-10-07 00:00:00+00:00,-0.10933428365719067
2022-10-08 00:00:00+00:00,-0.11522066153105459
2022-10-09 00:00:00+00:00,-0.12144519933964382
2022-10-10 00:00:00+00:00,-0.12298985286770425
2022-10-11 00:00:00+00:00,-0.12271381608111542
2022-10-12 00:00:00+00:00,-0.12710268389985313
2022-10-13 00:00:00+00:00,-0.12679812964196358
2022-10-14 00:00:00+00:00,-0.12723062277884045
2022-10-15 00:00:00+00:00,-0.11400908672124288
2022-10-16 00:00:00+00:00,-0.11417693881971758
2022-10-17 00:00:00+00:00,-0.11446089450833108
2022-10-18 00:00:00+00:00,-0.12300542747335852
2022-10-19 00:00:00+00:00,-0.12322352762409972
2022-10-20 00:00:00+00:00,-0.13160434219848616
2022-10-21 00:00:00+00:00,-0.13173011180995076
2022-10-22 00:00:00+00:00,-0.13113885109650691
2022-10-23 00:00:00+00:00,-0.13643765945611774
2022-10-24 00:00:00+00:00,-0.13626446907183598
2022-10-25 00:00:00+00:00,-0.13615516551472961
2022-10-26 00:00:00+00:00,-0.13620942665955693
2022-10-27 00:00:00+00:00,-0.1559123665266049
2022-10-28 00:00:00+00:00,-0.15596605129075547
2022-10-29 00:00:00+00:00,-0.1550765901751603
2022-10-30 00:00:00+00:00,-0.1664473191088932
2022-10-31 00:00:00+00:00,-0.1666059716045588
2022-11-01 00:00:00+00:00,-0.16653134729347863
2022-11-02 00:00:00+00:00,-0.16589480879929297
2022-11-03 00:00:00+00:00,-0.15187838350738503
2022-11-04 00:00:00+00:00,-0.1521017630911471
2022-11-05 00:00:00+00:00,-0.17124567282003544
2022-11-06 00:00:00+00:00,-0.1659436881994384
2022-11-07 00:00:00+00:00,-0.17733105230441637
2022-11-08 00:00:00+00:00,-0.17076702874185223
2022-11-09 00:00:00+00:00,-0.16036592752698708
2022-11-10 00:00:00+00:00,-0.17921402279487197
2022-11-11 00:00:00+00:00,-0.1779981171810897
2022-11-12 00:00:00+00:00,-0.17835985136265486
2022-11-13 00:00:00+00:00,-0.18523743829777373
2022-11-14 00:00:00+00:00,-0.18870946355952123
2022-11-15 00:00:00+00:00,-0.1859336353956197
2022-11-16 00:00:00+00:00,-0.18931902120595945
2022-11-17 00:00:00+00:00,-0.17054284440377976
2022-11-18 00:00:00+00:00,-0.17499309979071453
2022-11-19 00:00:00+00:00,-0.17458819172567963
2022-11-20 00:00:00+00:00,-0.17703572325842554
2022-11-21 00:00:00+00:00,-0.17728387209845098
2022-11-22 00:00:00+00:00,-0.18572909077907462
2022-11-23 00:00:00+00:00,-0.18515472835424807
2022-11-24 00:00:00+00:00,-0.19612945302291795
2022-11-25 00:00:00+00:00,-0.20210746258243417
2022-11-26 00:00:00+00:00,-0.20187842236263176
2022-11-27 00:00:00+00:00,-0.20182012015432227
2022-11-28 00:00:00+00:00,-0.2014588936274414
2022-11-29 00:00:00+00:00,-0.2087353629191927
2022-11-30 00:00:00+00:00,-0.20045233247359784
2022-12-01 00:00:00+00:00,-0.21866992971813715
2022-12-02 00:00:00+00:00,-0.2175916309555096
2022-12-03 00:00:00+00:00,-0.21241828367854287
2022-12-04 00:00:00+00:00,-0.2128952288887619
2022-12-05 00:00:00+00:00,-0.19462146362975485
2022-12-06 00:00:00+00:00,-0.1944356560617304
2022-12-07 00:00:00+00:00,-0.1939828153622165
