origin_utc,sample_count,last_outcome_session_utc,reference_price,mean_low_level,mean_low_touch,mean_low_terminal,mean_low_already_beyond_at_origin_open,mean_low_distance_pct,near97_low_level,near97_low_touch,near97_low_terminal,near97_low_already_beyond_at_origin_open,near97_low_distance_pct,mean_high_level,mean_high_touch,mean_high_terminal,mean_high_already_beyond_at_origin_open,mean_high_distance_pct,near97_high_level,near97_high_touch,near97_high_terminal,near97_high_already_beyond_at_origin_open,near97_high_distance_pct,screenshot_offset_low_touch
2021-09-01 00:00:00+00:00,28,2021-09-05 00:00:00+00:00,1.1872,1.0457571208949799,False,False,False,11.913989142943072,1.1746182582960065,True,False,False,1.059782825471156,1.3981619633786968,False,False,False,17.76970715790909,1.1991794175411217,True,True,False,1.0090479734772284,True
2021-09-02 00:00:00+00:00,28,2021-09-06 00:00:00+00:00,1.237,1.1033880745270026,False,False,False,10.80128742708144,1.220891133775087,True,False,False,1.302252726347064,1.4430859988885902,False,False,False,16.660145423491524,1.2443242166846813,True,True,False,0.5920951240647732,True
2021-09-03 00:00:00+00:00,28,2021-09-07 00:00:00+00:00,1.2542,1.126310867403232,True,False,False,10.196869127473128,1.2377444365265047,True,True,False,1.3120366347867396,1.4781314345088408,False,False,False,17.854523561540493,1.259257764683119,True,False,False,0.4032662002167786,True
2021-09-04 00:00:00+00:00,28,2021-09-08 00:00:00+00:00,1.2921,1.168069039630984,True,True,False,9.599176562883361,1.2799191033321011,True,True,False,0.9427208937310527,1.4962844413233254,False,False,False,15.802526222685964,1.3076352420827526,True,False,False,1.2023250586450374,True
2021-09-05 00:00:00+00:00,28,2021-09-09 00:00:00+00:00,1.2556,1.1266864626952153,True,True,False,10.267086437144368,1.234403712301043,True,True,False,1.6881401480532854,1.436130127298868,False,False,False,14.377996758431655,1.2803462497589921,True,False,False,1.9708704809646482,True
2021-09-06 00:00:00+00:00,28,2021-09-10 00:00:00+00:00,1.309,1.175970981528333,True,True,False,10.162644650241937,1.3004913358346115,True,True,False,0.6500125412825408,1.4993266423337615,False,False,False,14.539850445665504,1.3191425436544302,True,False,False,0.7748314480084284,True
2021-09-07 00:00:00+00:00,28,2021-09-11 00:00:00+00:00,1.3906,1.2597849918482686,True,True,False,9.407091050750138,1.3765755551841201,True,True,False,1.0085175331425278,1.5713960925465302,False,False,False,13.001301060443705,1.4049290346016894,False,False,False,1.030421012634064,True
2021-09-08 00:00:00+00:00,28,2021-09-12 00:00:00+00:00,1.1292,0.9974863110188349,False,False,False,11.672158769252194,1.117396181151837,True,False,False,1.0540882713329536,1.3285690354233686,False,False,False,17.64535866672883,1.1404371416455894,True,False,False,0.9861986757805141,True
2021-09-09 00:00:00+00:00,28,2021-09-13 00:00:00+00:00,1.1002,0.9871273991714714,False,False,False,10.269302865969332,1.0865008572866317,True,True,False,1.2361733218224091,1.2775767505832722,False,False,False,16.132783436348717,1.1064951986876035,True,False,False,0.5813288507956926,True
2021-09-10 00:00:00+00:00,28,2021-09-14 00:00:00+00:00,1.0878,0.9701649105876339,False,False,False,10.805837033406828,1.0731261403878607,True,False,False,1.3398786073493762,1.2897412512101598,False,False,False,18.57508974994575,1.0923112411599278,True,True,False,0.4239442088745049,True
2021-09-11 00:00:00+00:00,28,2021-09-15 00:00:00+00:00,1.0556,0.9335221622966685,False,False,False,11.564781896867338,1.043622635521037,True,False,False,1.134649912747554,1.2649533894191356,False,False,False,19.832643938910156,1.0709092177841313,True,True,False,1.4502858833015608,True
2021-09-12 00:00:00+00:00,28,2021-09-16 00:00:00+00:00,1.0795,0.9451796429749513,False,False,False,12.442830664664072,1.0576420608345365,True,False,False,2.0248206730396845,1.271124931818196,False,False,False,17.75126742178752,1.1051128782900663,True,False,False,2.372661258922326,True
2021-09-13 00:00:00+00:00,28,2021-09-17 00:00:00+00:00,1.1191,0.9795324662254002,False,False,False,12.494866336841138,1.1099294691932398,True,True,False,0.8460363415008221,1.3285080191422145,False,False,False,18.680366191014343,1.1300519015725388,True,False,False,0.951572411339896,True
2021-09-14 00:00:00+00:00,28,2021-09-18 00:00:00+00:00,1.0651,0.9391068759095451,False,False,False,11.837506955544008,1.051455622005512,True,False,False,1.2903096127007019,1.2482745799603583,False,False,False,17.186873822789938,1.0766467404016034,True,False,False,1.074609500713808,True
2021-09-15 00:00:00+00:00,28,2021-09-19 00:00:00+00:00,1.0965,0.9775658756026041,False,False,False,10.846705371399533,1.085720820896855,True,True,False,0.983053269780676,1.2782655777163472,False,False,False,16.57688807262627,1.1067554257606027,True,False,False,0.9352873470681811,True
2021-09-16 00:00:00+00:00,28,2021-09-20 00:00:00+00:00,1.1216,1.01732464187855,True,True,False,9.297018377447397,1.1086606118695566,True,True,False,1.1536544338840438,1.2907176808323666,False,False,False,15.0782525706461,1.127542065704377,True,False,False,0.5297847453973992,True
2021-09-17 00:00:00+00:00,28,2021-09-21 00:00:00+00:00,1.0908,0.9882562772712801,True,True,False,9.400781328265484,1.078063872040241,True,True,False,1.1675951558268283,1.2638159208040316,False,False,False,15.861378878257382,1.0947108351440855,True,False,False,0.35852907444862137,True
2021-09-18 00:00:00+00:00,28,2021-09-22 00:00:00+00:00,1.0672,0.9607043220782928,True,False,False,9.97898031500254,1.056765348259347,True,True,False,0.9777597208257882,1.2431192605413344,False,False,False,16.48418858145937,1.080513448315936,True,False,False,1.2475120236072001,True
2021-09-19 00:00:00+00:00,28,2021-09-23 00:00:00+00:00,1.0756,0.9601653728717088,True,False,False,10.75700596043232,1.0568687516189768,True,True,False,1.7688677740517966,1.2322579964011506,False,False,False,14.53276293346506,1.0974811078244802,False,False,False,2.0058655845784923,True
2021-09-20 00:00:00+00:00,28,2021-09-24 00:00:00+00:00,1.0483,0.9324009782395545,True,False,False,11.0474166915136,1.0383035744454348,True,True,False,0.944135237031607,1.2047526086933178,False,False,False,14.935375757805547,1.0553429829745655,False,False,False,0.681452296753049,True
2021-09-21 00:00:00+00:00,28,2021-09-25 00:00:00+00:00,0.9216,0.8208099510592691,False,False,False,10.946083209366474,0.9117837792728185,True,False,False,1.0758620730369373,1.0651998510330676,False,False,False,15.569041014762686,0.9308524919579513,True,True,False,0.9930011888848123,True
