end_exclusive_utc,net_return
2022-09-01 00:00:00+00:00,-0.33022901438686836
2022-09-02 00:00:00+00:00,-0.41104274905041693
2022-09-03 00:00:00+00:00,-0.4076345303343907
2022-09-04 00:00:00+00:00,-0.4162235693901668
2022-09-05 00:00:00+00:00,-0.4162235693901668
2022-09-06 00:00:00+00:00,-0.404314309849077
2022-09-07 00:00:00+00:00,-0.4085437034755208
2022-09-08 00:00:00+00:00,-0.46079248181248267
2022-09-09 00:00:00+00:00,-0.44762639908712865
2022-09-10 00:00:00+00:00,-0.47094794009011665
2022-09-11 00:00:00+00:00,-0.48727068208466073
2022-09-12 00:00:00+00:00,-0.48922393887657945
2022-09-13 00:00:00+00:00,-0.4845040063299423
2022-09-14 00:00:00+00:00,-0.47282738066736985
2022-09-15 00:00:00+00:00,-0.48919558305417354
2022-09-16 00:00:00+00:00,-0.49601748875823637
2022-09-17 00:00:00+00:00,-0.49601748875823637
2022-09-18 00:00:00+00:00,-0.48567876413199373
2022-09-19 00:00:00+00:00,-0.5123301089900557
2022-09-20 00:00:00+00:00,-0.5365019192535698
2022-09-21 00:00:00+00:00,-0.5390192830109359
2022-09-22 00:00:00+00:00,-0.5172960494695028
2022-09-23 00:00:00+00:00,-0.5074429894372761
2022-09-24 00:00:00+00:00,-0.4916586406954372
2022-09-25 00:00:00+00:00,-0.4952878678805054
2022-09-26 00:00:00+00:00,-0.50393801358563
2022-09-27 00:00:00+00:00,-0.47156272554083245
2022-09-28 00:00:00+00:00,-0.47156272554083245
2022-09-29 00:00:00+00:00,-0.49247963151651364
2022-09-30 00:00:00+00:00,-0.49947792179336215
2022-10-01 00:00:00+00:00,-0.46758921893857186
2022-10-02 00:00:00+00:00,-0.4925148828096889
2022-10-03 00:00:00+00:00,-0.48853455917952837
2022-10-04 00:00:00+00:00,-0.46731468947344446
2022-10-05 00:00:00+00:00,-0.47348704381641105
2022-10-06 00:00:00+00:00,-0.4626590776573871
2022-10-07 00:00:00+00:00,-0.4515598525484874
2022-10-08 00:00:00+00:00,-0.4515598525484874
2022-10-09 00:00:00+00:00,-0.4515598525484874
2022-10-10 00:00:00+00:00,-0.4515598525484874
2022-10-11 00:00:00+00:00,-0.4515598525484874
2022-10-12 00:00:00+00:00,-0.4518715227993607
2022-10-13 00:00:00+00:00,-0.4593889127247548
2022-10-14 00:00:00+00:00,-0.46302198406083694
2022-10-15 00:00:00+00:00,-0.4522905923278774
2022-10-16 00:00:00+00:00,-0.41099802934421426
2022-10-17 00:00:00+00:00,-0.42278342634311195
2022-10-18 00:00:00+00:00,-0.43419896651520473
2022-10-19 00:00:00+00:00,-0.42114845411329715
2022-10-20 00:00:00+00:00,-0.4372565870881049
2022-10-21 00:00:00+00:00,-0.45539156947960846
2022-10-22 00:00:00+00:00,-0.4329430128020062
2022-10-23 00:00:00+00:00,-0.4329430128020062
2022-10-24 00:00:00+00:00,-0.4329430128020062
2022-10-25 00:00:00+00:00,-0.43246811201561874
2022-10-26 00:00:00+00:00,-0.47718084782675585
2022-10-27 00:00:00+00:00,-0.4616178724487492
2022-10-28 00:00:00+00:00,-0.4660424221569416
2022-10-29 00:00:00+00:00,-0.4870666298060883
2022-10-30 00:00:00+00:00,-0.48458302396530994
2022-10-31 00:00:00+00:00,-0.4977873513594099
2022-11-01 00:00:00+00:00,-0.5050677623917581
2022-11-02 00:00:00+00:00,-0.5050677623917581
2022-11-03 00:00:00+00:00,-0.5152064760823296
2022-11-04 00:00:00+00:00,-0.5111360674646449
2022-11-05 00:00:00+00:00,-0.5306174208373986
2022-11-06 00:00:00+00:00,-0.5306174208373986
2022-11-07 00:00:00+00:00,-0.5306174208373986
2022-11-08 00:00:00+00:00,-0.5306174208373986
2022-11-09 00:00:00+00:00,-0.42587913433061153
2022-11-10 00:00:00+00:00,-0.4030393683273308
2022-11-11 00:00:00+00:00,-0.4062946351763046
2022-11-12 00:00:00+00:00,-0.40717528511808787
2022-11-13 00:00:00+00:00,-0.39319944647589833
2022-11-14 00:00:00+00:00,-0.38301093286276167
2022-11-15 00:00:00+00:00,-0.3625506846391945
2022-11-16 00:00:00+00:00,-0.36847222589587925
2022-11-17 00:00:00+00:00,-0.3363955544338946
2022-11-18 00:00:00+00:00,-0.32922036864572624
2022-11-19 00:00:00+00:00,-0.30454067187082123
2022-11-20 00:00:00+00:00,-0.29035048864339663
2022-11-21 00:00:00+00:00,-0.3045216996259229
2022-11-22 00:00:00+00:00,-0.3045216996259229
2022-11-23 00:00:00+00:00,-0.2999469067548207
2022-11-24 00:00:00+00:00,-0.34653605630480566
2022-11-25 00:00:00+00:00,-0.3343126213789108
2022-11-26 00:00:00+00:00,-0.3623603326019319
2022-11-27 00:00:00+00:00,-0.41583755758818297
2022-11-28 00:00:00+00:00,-0.41583755758818297
2022-11-29 00:00:00+00:00,-0.40737664197946477
2022-11-30 00:00:00+00:00,-0.41580122816148934
2022-12-01 00:00:00+00:00,-0.406712933003715
2022-12-02 00:00:00+00:00,-0.4155819254735663
2022-12-03 00:00:00+00:00,-0.40640563596473545
2022-12-04 00:00:00+00:00,-0.4007815964738244
2022-12-05 00:00:00+00:00,-0.40703414137000504
2022-12-06 00:00:00+00:00,-0.414593870295936
2022-12-07 00:00:00+00:00,-0.42902421744104025
2022-12-08 00:00:00+00:00,-0.4400362405807847
2022-12-09 00:00:00+00:00,-0.45034189222585197
2022-12-10 00:00:00+00:00,-0.45745057814710777
2022-12-11 00:00:00+00:00,-0.45745057814710777
2022-12-12 00:00:00+00:00,-0.45793770053616567
2022-12-13 00:00:00+00:00,-0.44625794626354753
2022-12-14 00:00:00+00:00,-0.43960049536322476
2022-12-15 00:00:00+00:00,-0.44111854450160815
2022-12-16 00:00:00+00:00,-0.44488556096100373
2022-12-17 00:00:00+00:00,-0.43624295534694324
2022-12-18 00:00:00+00:00,-0.44422148977917175
2022-12-19 00:00:00+00:00,-0.44256932147174843
2022-12-20 00:00:00+00:00,-0.4429560689084022
2022-12-21 00:00:00+00:00,-0.43159121977509984
2022-12-22 00:00:00+00:00,-0.43159121977509984
2022-12-23 00:00:00+00:00,-0.43159121977509984
2022-12-24 00:00:00+00:00,-0.43159121977509984
2022-12-25 00:00:00+00:00,-0.43159121977509984
2022-12-26 00:00:00+00:00,-0.43159121977509984
2022-12-27 00:00:00+00:00,-0.43159121977509984
2022-12-28 00:00:00+00:00,-0.43159121977509984
2022-12-29 00:00:00+00:00,-0.4330323605031874
2022-12-30 00:00:00+00:00,-0.4584527351030666
2022-12-31 00:00:00+00:00,-0.4463713613407493
2023-01-01 00:00:00+00:00,-0.4464009909853466
2023-01-02 00:00:00+00:00,-0.42547754151494666
2023-01-03 00:00:00+00:00,-0.44137864905384083
2023-01-04 00:00:00+00:00,-0.4249819026740276
2023-01-05 00:00:00+00:00,-0.4382228812501302
2023-01-06 00:00:00+00:00,-0.4382228812501302
2023-01-07 00:00:00+00:00,-0.43114201134670993
2023-01-08 00:00:00+00:00,-0.38206328951198454
2023-01-09 00:00:00+00:00,-0.4261245279664193
2023-01-10 00:00:00+00:00,-0.4347189472301034
2023-01-11 00:00:00+00:00,-0.4593921087863094
2023-01-12 00:00:00+00:00,-0.4720932798998154
2023-01-13 00:00:00+00:00,-0.4961115507441274
2023-01-14 00:00:00+00:00,-0.4819332405410598
2023-01-15 00:00:00+00:00,-0.44069850997000626
2023-01-16 00:00:00+00:00,-0.44013349123040324
2023-01-17 00:00:00+00:00,-0.43401839136677534
2023-01-18 00:00:00+00:00,-0.4246579015145979
2023-01-19 00:00:00+00:00,-0.43615941024418803
2023-01-20 00:00:00+00:00,-0.43592529888608544
2023-01-21 00:00:00+00:00,-0.4470832216843109
2023-01-22 00:00:00+00:00,-0.42429112294800997
2023-01-23 00:00:00+00:00,-0.40224043419463384
2023-01-24 00:00:00+00:00,-0.4037265113586693
2023-01-25 00:00:00+00:00,-0.40872786511345205
2023-01-26 00:00:00+00:00,-0.4252907552136833
2023-01-27 00:00:00+00:00,-0.4308603730871601
2023-01-28 00:00:00+00:00,-0.39897401568288005
2023-01-29 00:00:00+00:00,-0.4246856202951941
2023-01-30 00:00:00+00:00,-0.4206927486074137
2023-01-31 00:00:00+00:00,-0.3941723336354829
2023-02-01 00:00:00+00:00,-0.3800065804425523
2023-02-02 00:00:00+00:00,-0.3842437136254677
2023-02-03 00:00:00+00:00,-0.3815752342923887
2023-02-04 00:00:00+00:00,-0.36246703256558743
2023-02-05 00:00:00+00:00,-0.3747754580615934
2023-02-06 00:00:00+00:00,-0.36308299412745804
2023-02-07 00:00:00+00:00,-0.36308299412745804
2023-02-08 00:00:00+00:00,-0.37179754053783287
2023-02-09 00:00:00+00:00,-0.36303194044861675
2023-02-10 00:00:00+00:00,-0.3454389451873613
2023-02-11 00:00:00+00:00,-0.31782071108704646
2023-02-12 00:00:00+00:00,-0.328794808225248
2023-02-13 00:00:00+00:00,-0.32951008326152265
2023-02-14 00:00:00+00:00,-0.3560459428295796
2023-02-15 00:00:00+00:00,-0.3745797852652576
2023-02-16 00:00:00+00:00,-0.3342246909801325
2023-02-17 00:00:00+00:00,-0.3186681635802934
2023-02-18 00:00:00+00:00,-0.387068214582035
2023-02-19 00:00:00+00:00,-0.36340721401642606
2023-02-20 00:00:00+00:00,-0.3644392097773478
2023-02-21 00:00:00+00:00,-0.34260454785053696
2023-02-22 00:00:00+00:00,-0.29938033063037806
2023-02-23 00:00:00+00:00,-0.288036329507646
2023-02-24 00:00:00+00:00,-0.2845790434547031
2023-02-25 00:00:00+00:00,-0.29300785833843923
2023-02-26 00:00:00+00:00,-0.24454355278159923
2023-02-27 00:00:00+00:00,-0.2612800067265989
2023-02-28 00:00:00+00:00,-0.23901540797631693
2023-03-01 00:00:00+00:00,-0.23901540797631693
2023-03-02 00:00:00+00:00,-0.22206652919333625
2023-03-03 00:00:00+00:00,-0.23559504136473486
2023-03-04 00:00:00+00:00,-0.2455868771890719
2023-03-05 00:00:00+00:00,-0.21141200492080892
2023-03-06 00:00:00+00:00,-0.22808189303965198
2023-03-07 00:00:00+00:00,-0.22808189303965198
2023-03-08 00:00:00+00:00,-0.2334378517366995
2023-03-09 00:00:00+00:00,-0.21586999378459826
2023-03-10 00:00:00+00:00,-0.1557473232752007
2023-03-11 00:00:00+00:00,-0.1377202934812536
2023-03-12 00:00:00+00:00,-0.15518737266492244
2023-03-13 00:00:00+00:00,-0.13720920976421547
2023-03-14 00:00:00+00:00,-0.11080980945310337
2023-03-15 00:00:00+00:00,-0.10699643396466607
2023-03-16 00:00:00+00:00,-0.12410426772947702
2023-03-17 00:00:00+00:00,-0.10068453621347373
2023-03-18 00:00:00+00:00,-0.029654791944302095
2023-03-19 00:00:00+00:00,-0.051206351557809615
2023-03-20 00:00:00+00:00,-0.013670976542159208
2023-03-21 00:00:00+00:00,-0.007799977022267313
2023-03-22 00:00:00+00:00,0.029198397759194306
2023-03-23 00:00:00+00:00,0.01630630926996801
2023-03-24 00:00:00+00:00,-0.002344956866083603
2023-03-25 00:00:00+00:00,-0.06276573842946598
2023-03-26 00:00:00+00:00,-0.042317021154038015
2023-03-27 00:00:00+00:00,-0.016141516914567222
2023-03-28 00:00:00+00:00,-0.02237361946899541
2023-03-29 00:00:00+00:00,-0.08199645075097162
2023-03-30 00:00:00+00:00,-0.09140627812080404
2023-03-31 00:00:00+00:00,-0.09140627812080404
2023-04-01 00:00:00+00:00,-0.09128214615837216
2023-04-02 00:00:00+00:00,-0.1397336555354839
2023-04-03 00:00:00+00:00,-0.1397336555354839
2023-04-04 00:00:00+00:00,-0.14633642353828502
2023-04-05 00:00:00+00:00,-0.1642625738571436
2023-04-06 00:00:00+00:00,-0.2085871285667964
2023-04-07 00:00:00+00:00,-0.17987191855174234
2023-04-08 00:00:00+00:00,-0.16407426196028863
2023-04-09 00:00:00+00:00,-0.11878372155254135
2023-04-10 00:00:00+00:00,-0.11878372155254135
2023-04-11 00:00:00+00:00,-0.1187841855032632
2023-04-12 00:00:00+00:00,-0.10080872972803356
2023-04-13 00:00:00+00:00,-0.027112765659915716
2023-04-14 00:00:00+00:00,0.0007199993039095354
2023-04-15 00:00:00+00:00,0.04731880453153914
2023-04-16 00:00:00+00:00,0.044521357221387836
2023-04-17 00:00:00+00:00,0.021882735820015542
2023-04-18 00:00:00+00:00,0.04448160558442349
2023-04-19 00:00:00+00:00,0.051255094754720565
2023-04-20 00:00:00+00:00,0.1142369951943758
2023-04-21 00:00:00+00:00,0.13539428881746862
2023-04-22 00:00:00+00:00,0.21344483906792355
2023-04-23 00:00:00+00:00,0.17201556946955443
2023-04-24 00:00:00+00:00,0.15411730765684095
2023-04-25 00:00:00+00:00,0.10284323931909367
2023-04-26 00:00:00+00:00,0.12560702956806158
2023-04-27 00:00:00+00:00,0.021462457528873324
2023-04-28 00:00:00+00:00,0.08350236887935525
2023-04-29 00:00:00+00:00,0.1378719136406481
2023-04-30 00:00:00+00:00,0.16427953116147553
2023-05-01 00:00:00+00:00,0.1505541098715304
2023-05-02 00:00:00+00:00,0.17466216518773536
2023-05-03 00:00:00+00:00,0.16234843939494925
2023-05-04 00:00:00+00:00,0.167632124326194
2023-05-05 00:00:00+00:00,0.12558229114053843
2023-05-06 00:00:00+00:00,0.2295286630120239
2023-05-07 00:00:00+00:00,0.19266677552261746
2023-05-08 00:00:00+00:00,0.20433398334801933
2023-05-09 00:00:00+00:00,0.07994549561545039
2023-05-10 00:00:00+00:00,-0.0034128866774084665
2023-05-11 00:00:00+00:00,0.03226058480478122
2023-05-12 00:00:00+00:00,-0.04751537317363874
2023-05-13 00:00:00+00:00,-0.11842949889389354
2023-05-14 00:00:00+00:00,-0.13267109143972966
2023-05-15 00:00:00+00:00,-0.1455908338032681
2023-05-16 00:00:00+00:00,-0.13576480685556114
2023-05-17 00:00:00+00:00,-0.12807608129862957
2023-05-18 00:00:00+00:00,-0.07556295849404793
2023-05-19 00:00:00+00:00,-0.17969860846584784
2023-05-20 00:00:00+00:00,-0.20383221390646644
2023-05-21 00:00:00+00:00,-0.1704564816315447
2023-05-22 00:00:00+00:00,-0.19194911152754213
2023-05-23 00:00:00+00:00,-0.19242628270310502
2023-05-24 00:00:00+00:00,-0.21173377008841843
2023-05-25 00:00:00+00:00,-0.23713167429053983
2023-05-26 00:00:00+00:00,-0.25544082316289285
2023-05-27 00:00:00+00:00,-0.2248728505289488
2023-05-28 00:00:00+00:00,-0.2090635859647093
2023-05-29 00:00:00+00:00,-0.14591944225509512
2023-05-30 00:00:00+00:00,-0.12398946648707276
2023-05-31 00:00:00+00:00,-0.17356106636045832
2023-06-01 00:00:00+00:00,-0.23250080315669597
2023-06-02 00:00:00+00:00,-0.2898913011018689
2023-06-03 00:00:00+00:00,-0.2654655204791172
2023-06-04 00:00:00+00:00,-0.2416861525064461
2023-06-05 00:00:00+00:00,-0.2407214380166417
2023-06-06 00:00:00+00:00,-0.2687846809353315
2023-06-07 00:00:00+00:00,-0.2480110997847973
2023-06-08 00:00:00+00:00,-0.266585175198396
2023-06-09 00:00:00+00:00,-0.25930782595462143
2023-06-10 00:00:00+00:00,-0.25816283739281254
2023-06-11 00:00:00+00:00,-0.18155504745255158
2023-06-12 00:00:00+00:00,-0.2351445241010205
2023-06-13 00:00:00+00:00,-0.22346993288598338
2023-06-14 00:00:00+00:00,-0.24854107403850667
2023-06-15 00:00:00+00:00,-0.24795233910953152
2023-06-16 00:00:00+00:00,-0.24644294859253935
2023-06-17 00:00:00+00:00,-0.33627211132191814
2023-06-18 00:00:00+00:00,-0.3240112694292707
