trade_id,entry_index,exit_index,side,quantity,entry_price,exit_price,entry_fee,exit_fee,funding_paid,gross_pnl,net_pnl,balance_after,reason_code,equity_before,entry_leverage,exit_epoch_upper_bound,signal_available_utc,entry_utc_simulated,exit_bar_open_utc,exit_utc_upper_bound,initial_stop,initial_target,forecast_expires_utc,planned_price_RR,realized_net_R,exit_reason,intrabar_precision
1,886495.0,886499.0,1.0,0.039,49143.8,47938.9,0.9583041000000001,0.9348085500000001,0.0,-46.99110000000006,-48.88421265000006,9951.11578735,1.0,10000.0,0.19166082,1631026800.0,2021-09-07 14:55:00+00:00,2021-09-07 14:55:00+00:00,2021-09-07 14:59:00+00:00,2021-09-07 15:00:00+00:00,47948.5396377718,57957.13885686638,2021-09-12 00:00:00+00:00,7.373572432734702,-1.0486764136169766,stop,minute interval; not exact exchange fill
2,905015.0,905066.0,1.0,0.049,44108.9,43154.4,1.08066805,1.0572828000000003,0.0,-46.7705,-48.90845085,9902.2073365,1.0,9951.11578735,0.2171953523792298,1632140820.0,2021-09-20 11:35:00+00:00,2021-09-20 11:35:00+00:00,2021-09-20 12:26:00+00:00,2021-09-20 12:27:00+00:00,43163.058223686836,51491.78865384656,2021-09-25 00:00:00+00:00,7.805627578245291,-1.0552839544587016,stop,minute interval; not exact exchange fill
3,905155.0,905469.0,1.0,0.049,44106.200000000004,43154.4,1.0806019000000002,1.0572828000000003,0.214905892763653,-46.63820000000015,-48.9909905927638,9853.216345907236,1.0,9902.2073365,0.2182547513455613,1632165000.0,2021-09-20 13:55:00+00:00,2021-09-20 13:55:00+00:00,2021-09-20 19:09:00+00:00,2021-09-20 19:10:00+00:00,43163.058223686836,51491.78865384656,2021-09-25 00:00:00+00:00,7.8308360835393485,-1.0600910273051174,stop,minute interval; not exact exchange fill
4,907045.0,912960.0,1.0,0.024,41074.3,42638.3,0.49289160000000004,0.5116596000000001,0.6923283119941993,37.536,35.8391204880058,9889.055466395237,4.0,9853.216345907236,0.10004684413627721,1632614400.0,2021-09-21 21:25:00+00:00,2021-09-21 21:25:00+00:00,2021-09-26 00:00:00+00:00,2021-09-26 00:00:00+00:00,39138.83373313849,46929.39512774581,2021-09-26 00:00:00+00:00,3.025159997874948,0.7715436391571532,timeout,minute interval; not exact exchange fill
5,919870.0,920607.0,-1.0,0.058,43848.200000000004,44645.3,1.2715978000000003,1.2947137000000002,-0.05593463418070059,-46.231799999999915,-48.74217686581922,9840.313289529418,1.0,9889.055466395237,0.2571727510925821,1633073280.0,2021-09-30 19:10:00+00:00,2021-09-30 19:10:00+00:00,2021-10-01 07:27:00+00:00,2021-10-01 07:28:00+00:00,44636.29764962602,37249.74590007387,2021-10-05 00:00:00+00:00,8.372635171615272,-1.0663429337142365,stop,minute interval; not exact exchange fill
6,927225.0,928151.0,-1.0,0.037,51680.700000000004,52917.700000000004,0.95609295,0.97897745,-0.380687935583375,-45.769,-47.323382464416625,9792.989907065,1.0,9840.313289529418,0.19432164848193004,1633525920.0,2021-10-05 21:45:00+00:00,2021-10-05 21:45:00+00:00,2021-10-06 13:11:00+00:00,2021-10-06 13:12:00+00:00,52907.06773027753,44560.37724893458,2021-10-10 00:00:00+00:00,5.806025856089762,-1.0429256293189377,stop,minute interval; not exact exchange fill
7,928175.0,928751.0,-1.0,0.035,54217.3,55533.700000000004,0.9488027500000001,0.9718397500000002,-0.19254914,-46.074000000000055,-47.80209336000006,9745.187813705,1.0,9792.989907065,0.19377182229412923,1633561920.0,2021-10-06 13:35:00+00:00,2021-10-06 13:35:00+00:00,2021-10-06 23:11:00+00:00,2021-10-06 23:12:00+00:00,55522.57178287941,46418.44321259268,2021-10-11 00:00:00+00:00,5.9748911220643945,-1.046352272311541,stop,minute interval; not exact exchange fill
8,935750.0,940477.0,-1.0,0.034,57634.5,58965.4,0.9797865000000001,1.0024118000000002,-2.3215465358865437,-45.250600000000055,-44.911251764113516,9700.27656194089,1.0,9745.187813705,0.20108109124835785,1634265480.0,2021-10-11 19:50:00+00:00,2021-10-11 19:50:00+00:00,2021-10-15 02:37:00+00:00,2021-10-15 02:38:00+00:00,58953.563209816,49614.50152219841,2021-10-16 00:00:00+00:00,6.080071385601252,-1.0014070286419487,stop,minute interval; not exact exchange fill
9,960260.0,961450.0,-1.0,0.038,61762.100000000006,62946.9,1.1734799,1.1959911,-1.523125217771921,-45.022399999999834,-45.86874578222791,9654.407816158662,1.0,9700.27656194089,0.24194772025452502,1635523860.0,2021-10-28 20:20:00+00:00,2021-10-28 20:20:00+00:00,2021-10-29 16:10:00+00:00,2021-10-29 16:11:00+00:00,62934.30659331644,52895.55097525226,2021-11-02 00:00:00+00:00,7.563981533035314,-1.0297436171314935,stop,minute interval; not exact exchange fill
10,979050.0,984960.0,1.0,0.014,64880.9,65555.2,0.4541663,0.45888639999999997,2.4141296298966477,9.440199999999939,6.1130176701032894,9660.52083382877,4.0,9654.407816158662,0.09408475561594946,1636934400.0,2021-11-10 21:30:00+00:00,2021-11-10 21:30:00+00:00,2021-11-15 00:00:00+00:00,2021-11-15 00:00:00+00:00,61730.59522061908,73439.68453658666,2021-11-15 00:00:00+00:00,2.71681158997847,0.13860377007043057,timeout,minute interval; not exact exchange fill
11,987035.0,988036.0,1.0,0.051000000000000004,59624.9,58762.3,1.52043495,1.4984386500000002,0.6161480340000001,-43.99259999999993,-47.62762163399993,9612.893212194771,1.0,9660.52083382877,0.31477287325457864,1637119020.0,2021-11-16 10:35:00+00:00,2021-11-16 10:35:00+00:00,2021-11-17 03:16:00+00:00,2021-11-17 03:17:00+00:00,58774.08788652722,69730.78926236118,2021-11-21 00:00:00+00:00,11.877932979952156,-1.0976276891359413,stop,minute interval; not exact exchange fill
