trade_id,entry_index,exit_index,side,quantity,entry_price,exit_price,entry_fee,exit_fee,funding_paid,gross_pnl,net_pnl,balance_after,reason_code,equity_before,entry_leverage,exit_epoch_upper_bound,signal_available_utc,entry_utc_simulated,exit_bar_open_utc,exit_utc_upper_bound,initial_stop,initial_target,forecast_expires_utc,planned_price_RR,realized_net_R,exit_reason,intrabar_precision
12,851045.0,851048.0,-1.0,363.0,1.0632000000000001,1.0613000000000001,0.19297080000000003,0.19262595000000002,0.0,0.6897000000000046,0.3041032500000046,9938.043986429338,2.0,9937.73988317934,0.03883595309767027,1631578140.0,2021-09-14 00:05:00+00:00,2021-09-14 00:05:00+00:00,2021-09-14 00:08:00+00:00,2021-09-14 00:09:00+00:00,1.1982172824954533,1.0610130567329459,2021-09-15 00:00:00+00:00,0.01619750617575873,0.006204761231424018,target,minute interval; not exact exchange fill
13,852485.0,852486.0,-1.0,352.0,1.094,1.0926,0.19254400000000002,0.19229759999999999,0.0,0.4928000000000239,0.10795840000002385,9938.151944829338,2.0,9938.043986429338,0.03874887256746377,1631664420.0,2021-09-15 00:05:00+00:00,2021-09-15 00:05:00+00:00,2021-09-15 00:06:00+00:00,2021-09-15 00:07:00+00:00,1.2332644282859142,1.092300586089666,2021-09-16 00:00:00+00:00,0.012202785242798511,0.002202285276828935,target,minute interval; not exact exchange fill
14,853925.0,853955.0,-1.0,368.0,1.1216000000000002,1.1168,0.20637440000000004,0.20549119999999998,0.0,1.7664000000000506,1.3545344000000505,9939.506479229338,2.0,9938.151944829338,0.041531745770374,1631752560.0,2021-09-16 00:05:00+00:00,2021-09-16 00:05:00+00:00,2021-09-16 00:35:00+00:00,2021-09-16 00:36:00+00:00,1.2548192257670279,1.1165042538158265,2021-09-17 00:00:00+00:00,0.038250831701161635,0.027629645637162605,target,minute interval; not exact exchange fill
15,855365.0,855417.0,-1.0,402.0,1.0891,1.0865,0.2189091,0.2183865,0.0,1.0451999999999741,0.6079043999999741,9940.114383629338,2.0,9939.506479229338,0.0440482835757401,1631840280.0,2021-09-17 00:05:00+00:00,2021-09-17 00:05:00+00:00,2021-09-17 00:57:00+00:00,2021-09-17 00:58:00+00:00,1.2107499216166635,1.0861925740901803,2021-09-18 00:00:00+00:00,0.023899940675517622,0.01243075194709205,target,minute interval; not exact exchange fill
16,856805.0,856805.0,-1.0,406.0,1.0631000000000002,1.063,0.21580930000000004,0.21578899999999998,0.0,0.04060000000008568,-0.3909982999999143,9939.723385329338,2.0,9940.114383629338,0.04342189469276583,1631923560.0,2021-09-18 00:05:00+00:00,2021-09-18 00:05:00+00:00,2021-09-18 00:05:00+00:00,2021-09-18 00:06:00+00:00,1.1837492112457426,1.0627215885004477,2021-09-19 00:00:00+00:00,0.00313646061706662,-0.007982232043259823,target,minute interval; not exact exchange fill
17,858245.0,858281.0,-1.0,420.0,1.0766,1.0713000000000001,0.226086,0.22497300000000003,0.0,2.2259999999999414,1.7749409999999413,9941.498326329338,2.0,9939.723385329338,0.045491406799850094,1632012120.0,2021-09-19 00:05:00+00:00,2021-09-19 00:05:00+00:00,2021-09-19 00:41:00+00:00,2021-09-19 00:42:00+00:00,1.193179355357222,1.0710822310105457,2021-09-20 00:00:00+00:00,0.047330584154860016,0.03625041489593429,target,minute interval; not exact exchange fill
18,862565.0,862596.0,-1.0,533.0,0.8816,0.8702000000000001,0.23494640000000003,0.23190830000000004,0.0,6.076199999999981,5.6093452999999815,9947.107671629337,2.0,9941.498326329338,0.04726579279860894,1632271020.0,2021-09-22 00:05:00+00:00,2021-09-22 00:05:00+00:00,2021-09-22 00:36:00+00:00,2021-09-22 00:37:00+00:00,0.9733288296090965,0.869984131539179,2021-09-23 00:00:00+00:00,0.1266326901839067,0.1147305601177792,target,minute interval; not exact exchange fill
19,865445.0,865450.0,-1.0,346.0,1.0,0.9968,0.17300000000000001,0.17244640000000003,0.0,1.1071999999999933,0.7617535999999933,9947.869425229337,2.0,9947.107671629337,0.0347839805722466,1632442260.0,2021-09-24 00:05:00+00:00,2021-09-24 00:05:00+00:00,2021-09-24 00:10:00+00:00,2021-09-24 00:11:00+00:00,1.1419568306479861,0.9965471682311835,2021-09-25 00:00:00+00:00,0.024323111139178445,0.015508940217602789,target,minute interval; not exact exchange fill
20,866885.0,866885.0,-1.0,357.0,0.9399000000000001,0.9394,0.16777215,0.1676829,0.0,0.17850000000001998,-0.15695504999998003,9947.712470179336,2.0,9947.869425229337,0.033730267824887986,1632528360.0,2021-09-25 00:05:00+00:00,2021-09-25 00:05:00+00:00,2021-09-25 00:05:00+00:00,2021-09-25 00:06:00+00:00,1.077670219959455,0.9391861819387183,2021-09-26 00:00:00+00:00,0.005181221758169967,-0.0031911831172900126,target,minute interval; not exact exchange fill
21,868325.0,868334.0,-1.0,380.0,0.9416,0.9354,0.178904,0.177726,0.0,2.3559999999999937,1.9993699999999934,9949.711840179336,2.0,9947.712470179336,0.035968872348554067,1632615300.0,2021-09-26 00:05:00+00:00,2021-09-26 00:05:00+00:00,2021-09-26 00:14:00+00:00,2021-09-26 00:15:00+00:00,1.0706497074328976,0.9351837601345014,2021-09-27 00:00:00+00:00,0.049719135309429716,0.04077111141639607,target,minute interval; not exact exchange fill
