trade_id,entry_index,exit_index,side,quantity,entry_price,exit_price,entry_fee,exit_fee,funding_paid,gross_pnl,net_pnl,balance_after,reason_code,equity_before,entry_leverage,exit_epoch_upper_bound,signal_available_utc,entry_utc_simulated,exit_bar_open_utc,exit_utc_upper_bound,initial_stop,initial_target,forecast_expires_utc,planned_price_RR,realized_net_R,exit_reason,intrabar_precision
13,871205.0,872060.0,-1.0,388.0,0.9212,0.913,0.17871280000000003,0.17712200000000003,-0.03596567552,3.181599999999994,2.861730875519994,10009.752009740934,2.0,10006.890278865412,0.03571794933685684,1632838860.0,2021-09-28 00:05:00+00:00,2021-09-28 00:05:00+00:00,2021-09-28 14:20:00+00:00,2021-09-28 14:21:00+00:00,1.177544419053743,0.9128002371355456,2021-10-03 00:00:00+00:00,0.03276748873824091,0.028772208371946967,target,minute interval; not exact exchange fill
14,872645.0,872653.0,-1.0,437.0,0.8955000000000001,0.888,0.19566675,0.194028,0.0,3.2775000000000274,2.8878052500000275,10012.639814990935,2.0,10009.752009740934,0.03909522429918104,1632874440.0,2021-09-29 00:05:00+00:00,2021-09-29 00:05:00+00:00,2021-09-29 00:13:00+00:00,2021-09-29 00:14:00+00:00,1.122809645526638,0.8877302003358095,2021-10-04 00:00:00+00:00,0.03418156605800535,0.029071577603712616,target,minute interval; not exact exchange fill
15,874085.0,881280.0,-1.0,344.0,0.9234,1.0438,0.15882480000000002,0.17953360000000002,-0.5245290971280001,-41.41760000000002,-41.231429302872016,9971.408385688062,4.0,10012.639814990935,0.03172486036343929,1633392000.0,2021-09-30 00:05:00+00:00,2021-09-30 00:05:00+00:00,2021-10-05 00:00:00+00:00,2021-10-05 00:00:00+00:00,1.21238692633003,0.9174312533277735,2021-10-05 00:00:00+00:00,0.02065403701138374,-0.4147551158633329,timeout,minute interval; not exact exchange fill
16,882725.0,882727.0,-1.0,342.0,1.0826,1.079,0.18512460000000003,0.18450899999999998,0.0,1.2312000000000163,0.8615664000000163,9972.269952088061,2.0,9971.408385688062,0.03713108376259243,1633478880.0,2021-10-06 00:05:00+00:00,2021-10-06 00:05:00+00:00,2021-10-06 00:07:00+00:00,2021-10-06 00:08:00+00:00,1.3723360889067704,1.0787031602414472,2021-10-11 00:00:00+00:00,0.0134496181447618,0.008694809160658828,target,minute interval; not exact exchange fill
17,884165.0,884174.0,-1.0,323.0,1.0756000000000001,1.0695000000000001,0.1737094,0.17272425000000002,0.0,1.9702999999999982,1.6238663499999983,9973.893818438062,2.0,9972.269952088061,0.034838487292179164,1633565700.0,2021-10-07 00:05:00+00:00,2021-10-07 00:05:00+00:00,2021-10-07 00:14:00+00:00,2021-10-07 00:15:00+00:00,1.381780120278909,1.0692821140989068,2021-10-12 00:00:00+00:00,0.020634539875868232,0.016419909938699923,target,minute interval; not exact exchange fill
18,885605.0,885794.0,-1.0,355.0,1.068,1.0608,0.18957000000000002,0.18829200000000001,0.0,2.556000000000034,2.178138000000034,9976.071956438062,2.0,9973.893818438062,0.03801323804942756,1633662900.0,2021-10-08 00:05:00+00:00,2021-10-08 00:05:00+00:00,2021-10-08 03:14:00+00:00,2021-10-08 03:15:00+00:00,1.346733140331786,1.0605666113309737,2021-10-13 00:00:00+00:00,0.026668478172986877,0.022012452457919694,target,minute interval; not exact exchange fill
19,887045.0,894240.0,-1.0,248.0,1.0595,1.1288,0.13137800000000002,0.13997120000000002,-1.0262752800658816,-17.186399999999978,-16.4314739199341,9959.640482518127,4.0,9976.071956438062,0.02633862317226274,1634169600.0,2021-10-09 00:05:00+00:00,2021-10-09 00:05:00+00:00,2021-10-14 00:00:00+00:00,2021-10-14 00:00:00+00:00,1.4598849237587102,1.0540919671651505,2021-10-14 00:00:00+00:00,0.013507084093178067,-0.1654806145135213,timeout,minute interval; not exact exchange fill
20,895685.0,895704.0,-1.0,547.0,1.1303,1.1254,0.30913705,0.3077969,0.0,2.680300000000069,2.0633660500000692,9961.703848568126,2.0,9959.640482518127,0.062077953625458565,1634257500.0,2021-10-15 00:05:00+00:00,2021-10-15 00:05:00+00:00,2021-10-15 00:24:00+00:00,2021-10-15 00:25:00+00:00,1.3104242947788003,1.125077572218058,2021-10-20 00:00:00+00:00,0.028993466918804597,0.020941927931667832,target,minute interval; not exact exchange fill
21,897125.0,897167.0,-1.0,403.0,1.1451,1.1381000000000001,0.23073765000000002,0.22932715000000004,0.0,2.820999999999958,2.360935199999958,9964.064783768126,2.0,9961.703848568126,0.04632493667901315,1634345280.0,2021-10-16 00:05:00+00:00,2021-10-16 00:05:00+00:00,2021-10-16 00:47:00+00:00,2021-10-16 00:48:00+00:00,1.3900847015473083,1.1378540245382407,2021-10-21 00:00:00+00:00,0.02957725693071517,0.023913329946721577,target,minute interval; not exact exchange fill
22,898565.0,898565.0,-1.0,592.0,1.1308,1.1246,0.33471680000000004,0.3328816,0.0,3.67039999999999,3.0028015999999904,9967.067585368126,2.0,9964.064783768126,0.06718478999559849,1634429160.0,2021-10-17 00:05:00+00:00,2021-10-17 00:05:00+00:00,2021-10-17 00:05:00+00:00,2021-10-17 00:06:00+00:00,1.2973030479482268,1.1242925482555144,2021-10-22 00:00:00+00:00,0.03908307880651586,0.030463706595792693,target,minute interval; not exact exchange fill
