end_boundary_utc,return
2022-09-01 00:00:00+00:00,-0.0757917239260607
2022-09-02 00:00:00+00:00,-0.07539412478717322
2022-09-03 00:00:00+00:00,-0.07581006256910594
2022-09-04 00:00:00+00:00,-0.07535575019641527
2022-09-05 00:00:00+00:00,-0.07783488259383642
2022-09-06 00:00:00+00:00,-0.07740604289076769
2022-09-07 00:00:00+00:00,-0.08287977393584145
2022-09-08 00:00:00+00:00,-0.07730898517403195
2022-09-09 00:00:00+00:00,-0.07680360219580384
2022-09-10 00:00:00+00:00,-0.08266205457530795
2022-09-11 00:00:00+00:00,-0.08788981835751852
2022-09-12 00:00:00+00:00,-0.0869778862103825
2022-09-13 00:00:00+00:00,-0.08166053560084297
2022-09-14 00:00:00+00:00,-0.08189560169453336
2022-09-15 00:00:00+00:00,-0.08208910257546842
2022-09-16 00:00:00+00:00,-0.08276657281563304
2022-09-17 00:00:00+00:00,-0.08235560648714679
2022-09-18 00:00:00+00:00,-0.07696826170151494
2022-09-19 00:00:00+00:00,-0.07701216335422001
2022-09-20 00:00:00+00:00,-0.07061664001013357
2022-09-21 00:00:00+00:00,-0.06455694206896312
2022-09-22 00:00:00+00:00,-0.06456930776339209
2022-09-23 00:00:00+00:00,-0.07044224615187811
2022-09-24 00:00:00+00:00,-0.0704685202540144
2022-09-25 00:00:00+00:00,-0.07039140183344916
2022-09-26 00:00:00+00:00,-0.06973564480652183
2022-09-27 00:00:00+00:00,-0.06408903078188544
2022-09-28 00:00:00+00:00,-0.06970605404509356
2022-09-29 00:00:00+00:00,-0.06897080950508949
2022-09-30 00:00:00+00:00,-0.06817614375854175
2022-10-01 00:00:00+00:00,-0.06235493278335724
2022-10-02 00:00:00+00:00,-0.056564201486375865
2022-10-03 00:00:00+00:00,-0.05630023387851879
2022-10-04 00:00:00+00:00,-0.05604777825033991
2022-10-05 00:00:00+00:00,-0.05603359547957554
2022-10-06 00:00:00+00:00,-0.05551190625407432
2022-10-07 00:00:00+00:00,-0.05093930142508185
2022-10-08 00:00:00+00:00,-0.05116660796844785
2022-10-09 00:00:00+00:00,-0.050844346114204075
2022-10-10 00:00:00+00:00,-0.05340643528114464
2022-10-11 00:00:00+00:00,-0.047672948806892546
2022-10-12 00:00:00+00:00,-0.048490904414161706
2022-10-13 00:00:00+00:00,-0.04893997150315177
2022-10-14 00:00:00+00:00,-0.04881108254795574
2022-10-15 00:00:00+00:00,-0.04884469490346921
2022-10-16 00:00:00+00:00,-0.04839569413403977
2022-10-17 00:00:00+00:00,-0.05402199616044534
2022-10-18 00:00:00+00:00,-0.05861454867839078
2022-10-19 00:00:00+00:00,-0.05864282699360002
2022-10-20 00:00:00+00:00,-0.05795138423262125
2022-10-21 00:00:00+00:00,-0.05854641150339923
2022-10-22 00:00:00+00:00,-0.05848387015317014
2022-10-23 00:00:00+00:00,-0.06127585988913831
2022-10-24 00:00:00+00:00,-0.060697799717851164
2022-10-25 00:00:00+00:00,-0.060556563106822225
2022-10-26 00:00:00+00:00,-0.06579012051044675
