timestamp,equity,net_return_365_days
2024-10-01 00:00:00+00:00,7231.653600059062,-0.27683463999409375
2024-10-02 00:00:00+00:00,8305.08006882799,-0.17042944264649373
2024-10-03 00:00:00+00:00,8307.944072127166,-0.17014336559564425
2024-10-04 00:00:00+00:00,8276.453549090966,-0.1732888633548465
2024-10-05 00:00:00+00:00,7733.729308118306,-0.2275000265635938
2024-10-06 00:00:00+00:00,7684.910039813305,-0.23237644283914272
2024-10-07 00:00:00+00:00,7630.781533492164,-0.23778318362735984
2024-10-08 00:00:00+00:00,7461.430128555794,-0.254699208303506
2024-10-09 00:00:00+00:00,7461.430128555794,-0.16968863034668136
2024-10-10 00:00:00+00:00,7330.153340355792,-0.17580118915070464
2024-10-11 00:00:00+00:00,7219.974884983653,-0.18818960009962504
2024-10-12 00:00:00+00:00,6991.582318242532,-0.21386994717756402
2024-10-13 00:00:00+00:00,6991.582318242532,-0.21386994717756402
2024-10-14 00:00:00+00:00,6991.582318242532,-0.21386994717756402
2024-10-15 00:00:00+00:00,7027.766854792531,-0.2098013758106525
2024-10-16 00:00:00+00:00,6226.415553683701,-0.2999049191854185
2024-10-17 00:00:00+00:00,6223.889984886401,-0.3001888928900329
2024-10-18 00:00:00+00:00,6223.889984886401,-0.3001888928900329
2024-10-19 00:00:00+00:00,6223.889984886401,-0.3001888928900329
2024-10-20 00:00:00+00:00,6223.889984886401,-0.3001888928900329
2024-10-21 00:00:00+00:00,6760.590004019041,-0.23984260857472484
2024-10-22 00:00:00+00:00,6761.703308201087,-0.23971742920393269
2024-10-23 00:00:00+00:00,6927.635910005854,-0.2602080721494344
2024-10-24 00:00:00+00:00,6709.747112770065,-0.33025040643243375
2024-10-25 00:00:00+00:00,6476.282769077836,-0.36152919456041555
2024-10-26 00:00:00+00:00,7298.780230726884,-0.20078955536274556
2024-10-27 00:00:00+00:00,7272.498787943088,-0.2036673517765244
2024-10-28 00:00:00+00:00,7272.498787943088,-0.2036673517765244
2024-10-29 00:00:00+00:00,7243.934091143085,-0.20679516263104925
2024-10-30 00:00:00+00:00,7643.992336055935,-0.16298911316930842
2024-10-31 00:00:00+00:00,7323.388553470935,-0.2029675240248977
2024-11-01 00:00:00+00:00,7613.122790490775,-0.1714346353053402
2024-11-02 00:00:00+00:00,7470.175470853678,-0.19363652417930666
2024-11-03 00:00:00+00:00,7431.598165288409,-0.19757874060244018
2024-11-04 00:00:00+00:00,7591.590598820927,-0.18030367712970186
2024-11-05 00:00:00+00:00,7591.590598820927,-0.18030367712970186
2024-11-06 00:00:00+00:00,7524.727029215927,-0.18752322110085762
2024-11-07 00:00:00+00:00,6397.103752591779,-0.309277501893519
2024-11-08 00:00:00+00:00,5989.419829174664,-0.3532968689244871
2024-11-09 00:00:00+00:00,5879.50476536272,-0.4613625688159323
2024-11-10 00:00:00+00:00,5260.110625248721,-0.5185850098586571
2024-11-11 00:00:00+00:00,5064.690413811769,-0.5292774455258771
2024-11-12 00:00:00+00:00,5485.323605220144,-0.48328568413781825
2024-11-13 00:00:00+00:00,5946.758065231284,-0.4398188244810811
2024-11-14 00:00:00+00:00,5792.4334220919245,-0.4543561167430258
2024-11-15 00:00:00+00:00,5946.293625318264,-0.45423445652980865
2024-11-16 00:00:00+00:00,5936.754105948265,-0.45393933999401115
2024-11-17 00:00:00+00:00,6186.858128262195,-0.4466914911515255
2024-11-18 00:00:00+00:00,6521.056590848431,-0.41680316186394517
2024-11-19 00:00:00+00:00,6521.056590848431,-0.41680316186394517
2024-11-20 00:00:00+00:00,6399.957764739014,-0.427633378026785
2024-11-21 00:00:00+00:00,6426.686293203771,-0.42524296888502855
2024-11-22 00:00:00+00:00,7365.471755508467,-0.34128468610113993
2024-11-23 00:00:00+00:00,7365.471755508467,-0.3418917538672075
2024-11-24 00:00:00+00:00,7620.219222838827,-0.28855423605516073
2024-11-25 00:00:00+00:00,7784.944236729068,-0.273175031084689
2024-11-26 00:00:00+00:00,8042.972428490323,-0.24908477086531122
2024-11-27 00:00:00+00:00,7873.499594579409,-0.2649072460807592
2024-11-28 00:00:00+00:00,8587.298196462034,-0.11040077291115746
2024-11-29 00:00:00+00:00,8447.244190553152,-0.12490963618302664
2024-11-30 00:00:00+00:00,8454.64776879399,-0.12414266415875785
2024-12-01 00:00:00+00:00,8034.437746466039,-0.17454791225561583
2024-12-02 00:00:00+00:00,8034.437746466039,-0.19649357904678844
2024-12-03 00:00:00+00:00,8364.90786935104,-0.14808912376203343
2024-12-04 00:00:00+00:00,8487.02160581886,-0.13905260489032056
2024-12-05 00:00:00+00:00,8007.629461526109,-0.24026634160496407
2024-12-06 00:00:00+00:00,8324.974264494202,-0.19532087713802915
2024-12-07 00:00:00+00:00,8333.338729542005,-0.20130696064640596
2024-12-08 00:00:00+00:00,8333.338729542005,-0.21111620158568278
2024-12-09 00:00:00+00:00,8304.730976046123,-0.21382438302104512
2024-12-10 00:00:00+00:00,7467.925848551345,-0.29304137262575536
