trade_id,entry_index,exit_index,side,quantity,entry_price,exit_price,entry_fee,exit_fee,funding_paid,gross_pnl,net_pnl,balance_after,reason_code,equity_before,entry_leverage,exit_epoch_upper_bound,signal_available_utc,entry_utc_simulated,exit_bar_open_utc,exit_utc_upper_bound,initial_stop,initial_target,forecast_expires_utc,planned_price_RR,realized_net_R,exit_reason,intrabar_precision
1,877980.0,878400.0,1.0,0.126,48518.3,48842.9,0.0,0.0,2.4937836008558243,40.899599999999815,38.40581639914399,10038.405816399145,4.0,10000.0,0.61133058,1630540800.0,2021-09-01 17:00:00+00:00,2021-09-01 17:00:00+00:00,2021-09-02 00:00:00+00:00,2021-09-02 00:00:00+00:00,47728.53581362212,50097.67837275576,2021-09-02 00:00:00+00:00,1.9998100698884604,0.38594820063672663,timeout,minute interval; not exact exchange fill
2,878510.0,879840.0,1.0,0.112,49776.5,49299.100000000006,0.0,0.0,8.551670760416407,-53.46879999999935,-62.020470760415755,9976.38534563873,4.0,10038.405816399145,0.5553638796802284,1630627200.0,2021-09-02 01:50:00+00:00,2021-09-02 01:50:00+00:00,2021-09-03 00:00:00+00:00,2021-09-03 00:00:00+00:00,48881.1367268661,51567.1965462678,2021-09-03 00:00:00+00:00,1.9999664940467112,-0.6184687487568898,timeout,minute interval; not exact exchange fill
3,880485.0,880502.0,1.0,0.124,50404.5,49601.600000000006,0.0,0.0,0.0,-99.55959999999928,-99.55959999999928,9876.825745638731,1.0,9976.38534563873,0.6264952468713847,1630666980.0,2021-09-03 10:45:00+00:00,2021-09-03 10:45:00+00:00,2021-09-03 11:02:00+00:00,2021-09-03 11:03:00+00:00,49601.66847082664,52009.98305834673,2021-09-04 00:00:00+00:00,1.9997757935588574,-1.00008528666868,stop,minute interval; not exact exchange fill
4,880575.0,881280.0,1.0,0.129,50363.4,50027.0,0.0,0.0,4.425503733640479,-43.39560000000019,-47.82110373364067,9829.00464190509,4.0,9876.825745638731,0.6577901410145663,1630713600.0,2021-09-03 12:15:00+00:00,2021-09-03 12:15:00+00:00,2021-09-04 00:00:00+00:00,2021-09-04 00:00:00+00:00,49601.66847082664,51886.62305834672,2021-09-04 00:00:00+00:00,1.9996849283627978,-0.48666257900028465,timeout,minute interval; not exact exchange fill
5,883880.0,884160.0,1.0,0.10400000000000001,50873.600000000006,51799.5,0.0,0.0,1.4428417986424003,96.2935999999994,94.850758201357,9923.855400106448,4.0,9829.00464190509,0.5382899482459202,1630886400.0,2021-09-05 19:20:00+00:00,2021-09-05 19:20:00+00:00,2021-09-06 00:00:00+00:00,2021-09-06 00:00:00+00:00,49932.13204852078,52756.26590295844,2021-09-06 00:00:00+00:00,1.9997132138172233,0.9687281651318346,timeout,minute interval; not exact exchange fill
6,889280.0,889708.0,1.0,0.109,47084.200000000004,46177.200000000004,0.0,0.0,0.512183306113138,-98.863,-99.37518330611314,9824.480216800335,1.0,9923.855400106448,0.5171556409361779,1631219340.0,2021-09-09 13:20:00+00:00,2021-09-09 13:20:00+00:00,2021-09-09 20:28:00+00:00,2021-09-09 20:29:00+00:00,46177.28211596457,48897.88576807087,2021-09-10 00:00:00+00:00,1.999834604650929,-1.0052717511283074,stop,minute interval; not exact exchange fill
7,893340.0,894042.0,1.0,0.10300000000000001,46132.200000000004,45185.3,0.0,0.0,0.47284324124000005,-97.53070000000015,-98.00354324124015,9726.476673559097,1.0,9824.480216800335,0.48365068636145325,1631479380.0,2021-09-12 09:00:00+00:00,2021-09-12 09:00:00+00:00,2021-09-12 20:42:00+00:00,2021-09-12 20:43:00+00:00,45185.38380609202,48025.652387815964,2021-09-13 00:00:00+00:00,1.9998098891831666,-1.00493709043222,stop,minute interval; not exact exchange fill
8,894185.0,894240.0,1.0,0.114,46032.4,46048.0,0.0,0.0,0.524909238,1.7783999999998341,1.2534907619998341,9727.730164321096,4.0,9726.476673559097,0.5395266730311062,1631491200.0,2021-09-12 23:05:00+00:00,2021-09-12 23:05:00+00:00,2021-09-13 00:00:00+00:00,2021-09-13 00:00:00+00:00,45185.38380609202,47726.31238781597,2021-09-13 00:00:00+00:00,1.9998583262033647,0.01298149088421448,timeout,minute interval; not exact exchange fill
9,901715.0,902880.0,1.0,0.109,48245.100000000006,48284.600000000006,0.0,0.0,1.5840823920239393,4.3055,2.7214176079760612,9730.451581929072,4.0,9727.730164321096,0.5405902313458146,1632009600.0,2021-09-18 04:35:00+00:00,2021-09-18 04:35:00+00:00,2021-09-19 00:00:00+00:00,2021-09-19 00:00:00+00:00,47354.31866466482,50026.39267067037,2021-09-19 00:00:00+00:00,1.9996968953105536,0.028028353343005578,timeout,minute interval; not exact exchange fill
10,905780.0,905861.0,-1.0,0.074,41348.9,42660.0,0.0,0.0,0.0,-97.02139999999989,-97.02139999999989,9633.430181929072,1.0,9730.451581929072,0.3144580263553799,1632188520.0,2021-09-21 00:20:00+00:00,2021-09-21 00:20:00+00:00,2021-09-21 01:41:00+00:00,2021-09-21 01:42:00+00:00,42659.94780785064,38717.05438429872,2021-09-22 00:00:00+00:00,2.0074367997426306,-1.000039809493631,stop,minute interval; not exact exchange fill
11,906830.0,906855.0,-1.0,0.101,41712.5,42660.0,0.0,0.0,0.0,-95.6975,-95.6975,9537.732681929072,1.0,9633.430181929072,0.4373273507398135,1632248160.0,2021-09-21 17:50:00+00:00,2021-09-21 17:50:00+00:00,2021-09-21 18:15:00+00:00,2021-09-21 18:16:00+00:00,42659.94780785064,39829.63438429872,2021-09-22 00:00:00+00:00,1.9873027306619695,-1.0000550870970664,stop,minute interval; not exact exchange fill
