trade_id,entry_index,exit_index,side,quantity,entry_price,exit_price,entry_fee,exit_fee,funding_paid,gross_pnl,net_pnl,balance_after,reason_code,equity_before,entry_leverage,exit_epoch_upper_bound,signal_available_utc,entry_utc_simulated,exit_bar_open_utc,exit_utc_upper_bound,initial_stop,initial_target,forecast_expires_utc,planned_price_RR,realized_net_R,exit_reason,intrabar_precision
1,877955.0,877966.0,1.0,0.628,3667.71,3813.5,1.15166094,1.1974390000000001,0.0,91.55611999999998,89.20702005999998,10089.20702006,2.0,10000.0,0.230332188,1630514820.0,2021-09-01 16:35:00+00:00,2021-09-01 16:35:00+00:00,2021-09-01 16:46:00+00:00,2021-09-01 16:47:00+00:00,3593.3365959588295,3814.266808082341,2021-09-02 00:00:00+00:00,1.9705539899883062,1.9099488161301106,target,minute interval; not exact exchange fill
2,880710.0,881067.0,1.0,0.585,3995.44,3914.05,1.1686661999999999,1.144859625,1.5173763421635,-47.61314999999992,-51.44405216716342,10037.762967892837,1.0,10089.20702006,0.2316666111967737,1630700880.0,2021-09-03 14:30:00+00:00,2021-09-03 14:30:00+00:00,2021-09-03 20:27:00+00:00,2021-09-03 20:28:00+00:00,3914.8401762128983,4154.2396475742025,2021-09-04 00:00:00+00:00,1.9702232599622003,-1.091051401618232,stop,minute interval; not exact exchange fill
3,893525.0,894034.0,1.0,0.5640000000000001,3448.78,3363.98,0.9725559600000001,0.94864236,0.19278535200000002,-47.827200000000104,-49.94118367200011,9987.821784220838,1.0,10037.762967892837,0.19377942338563958,1631478900.0,2021-09-12 12:05:00+00:00,2021-09-12 12:05:00+00:00,2021-09-12 20:34:00+00:00,2021-09-12 20:35:00+00:00,3364.658025577863,3614.9539488442742,2021-09-13 00:00:00+00:00,1.9753928742849927,-1.0526167343107236,stop,minute interval; not exact exchange fill
4,907005.0,907200.0,-1.0,0.529,2797.43,2766.03,0.739920235,0.7316149350000001,-0.14624505799768403,16.61059999999981,15.285309887997494,10003.107094108835,4.0,9987.821784220838,0.14816448490680034,1632268800.0,2021-09-21 20:45:00+00:00,2021-09-21 20:45:00+00:00,2021-09-22 00:00:00+00:00,2021-09-22 00:00:00+00:00,2887.835581752032,2617.938836495936,2021-09-22 00:00:00+00:00,1.9853991316197632,0.3196121868387421,timeout,minute interval; not exact exchange fill
5,910650.0,911378.0,-1.0,0.501,2880.76,2976.9700000000003,0.7216303800000001,0.745730985,0.16164513673635672,-48.20121000000002,-49.83021650173637,9953.276877607097,1.0,10003.107094108835,0.14428124645891124,1632519540.0,2021-09-24 09:30:00+00:00,2021-09-24 09:30:00+00:00,2021-09-24 21:38:00+00:00,2021-09-24 21:39:00+00:00,2976.3658803013086,2691.3182393973825,2021-09-25 00:00:00+00:00,1.9814864944036832,-1.0403283738410867,stop,minute interval; not exact exchange fill
6,913420.0,913523.0,-1.0,0.446,2762.51,2870.64,0.6160397300000001,0.6401527199999999,-0.03256436224110821,-48.22597999999984,-49.44960808775873,9903.82726951934,1.0,9953.276877607097,0.12378631431141388,1632648240.0,2021-09-26 07:40:00+00:00,2021-09-26 07:40:00+00:00,2021-09-26 09:23:00+00:00,2021-09-26 09:24:00+00:00,2870.06307712097,2549.3238457580605,2021-09-27 00:00:00+00:00,1.9821483489696896,-1.0308729764205697,stop,minute interval; not exact exchange fill
7,922755.0,923040.0,1.0,0.483,3451.15,3386.56,0.833452725,0.8178542400000001,0.163611462498204,-31.196970000000068,-33.01188842749827,9870.81538109184,4.0,9903.82726951934,0.16830922073228965,1633219200.0,2021-10-02 19:15:00+00:00,2021-10-02 19:15:00+00:00,2021-10-03 00:00:00+00:00,2021-10-03 00:00:00+00:00,3353.6090760074876,3643.981847985025,2021-10-03 00:00:00+00:00,1.9769327590112564,-0.7007068652869711,timeout,minute interval; not exact exchange fill
8,939730.0,940320.0,1.0,0.615,3786.87,3793.42,1.164462525,1.1664766500000001,1.7172304888904764,4.028250000000112,-0.019919663890364925,9870.79546142795,4.0,9870.81538109184,0.2359404932708194,1634256000.0,2021-10-14 14:10:00+00:00,2021-10-14 14:10:00+00:00,2021-10-15 00:00:00+00:00,2021-10-15 00:00:00+00:00,3712.0652024257934,3933.899595148414,2021-10-15 00:00:00+00:00,1.9655102335189176,-0.0004329895733034575,timeout,minute interval; not exact exchange fill
9,948810.0,948960.0,1.0,0.686,4145.95,4163.29,1.42206085,1.42800847,1.446233924007026,11.8952400000001,7.598936755993075,9878.394398183942,4.0,9870.79546142795,0.28813500503722905,1634774400.0,2021-10-20 21:30:00+00:00,2021-10-20 21:30:00+00:00,2021-10-21 00:00:00+00:00,2021-10-21 00:00:00+00:00,4079.837924064411,4275.714151871179,2021-10-21 00:00:00+00:00,1.9627904590018346,0.1675513455904922,timeout,minute interval; not exact exchange fill
10,953245.0,953280.0,1.0,0.64,4164.96,4169.66,1.3327872,1.3342912,0.506093056704,3.0079999999998837,-0.16517145670411637,9878.229226727237,4.0,9878.394398183942,0.2698388313479408,1635033600.0,2021-10-23 23:25:00+00:00,2021-10-23 23:25:00+00:00,2021-10-24 00:00:00+00:00,2021-10-24 00:00:00+00:00,4093.755865647391,4304.848268705217,2021-10-24 00:00:00+00:00,1.9646087966251906,-0.0036245142707886295,timeout,minute interval; not exact exchange fill
11,959575.0,960244.0,1.0,0.618,4142.56,4287.41,1.28005104,1.3248096900000002,0.25672152600000003,89.51729999999966,86.65571774399966,9964.884944471236,2.0,9878.229226727237,0.25916609356191156,1635451500.0,2021-10-28 08:55:00+00:00,2021-10-28 08:55:00+00:00,2021-10-28 20:04:00+00:00,2021-10-28 20:05:00+00:00,4068.4894348814546,4288.271130237091,2021-10-29 00:00:00+00:00,1.9671934459240035,1.8930543836891995,target,minute interval; not exact exchange fill
12,967655.0,967680.0,1.0,0.552,4580.62,4592.25,1.2642511200000002,1.267461,0.25349865456084003,6.4197600000000605,3.6345492254392204,9968.519493696675,4.0,9964.884944471236,0.25374123776540697,1635897600.0,2021-11-02 23:35:00+00:00,2021-11-02 23:35:00+00:00,2021-11-03 00:00:00+00:00,2021-11-03 00:00:00+00:00,4496.882813153235,4745.364373693531,2021-11-03 00:00:00+00:00,1.9673979972005111,0.07863087541983092,timeout,minute interval; not exact exchange fill
