start_utc,end_exclusive_utc,return,full_calendar_month
2021-09-01 00:00:00+00:00,2021-10-01 00:00:00+00:00,0.011181243186483059,True
2021-10-01 00:00:00+00:00,2021-11-01 00:00:00+00:00,0.013962021527891277,True
2021-11-01 00:00:00+00:00,2021-12-01 00:00:00+00:00,0.009295534986514475,True
2021-12-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,0.009207708811799442,True
2022-01-01 00:00:00+00:00,2022-02-01 00:00:00+00:00,0.022892038046246954,True
2022-02-01 00:00:00+00:00,2022-03-01 00:00:00+00:00,0.0029778241547155915,True
2022-03-01 00:00:00+00:00,2022-04-01 00:00:00+00:00,-0.027436934561760107,True
2022-04-01 00:00:00+00:00,2022-05-01 00:00:00+00:00,-0.014376600560562891,True
2022-05-01 00:00:00+00:00,2022-06-01 00:00:00+00:00,0.020295818025569012,True
2022-06-01 00:00:00+00:00,2022-07-01 00:00:00+00:00,0.016534860447241284,True
2022-07-01 00:00:00+00:00,2022-08-01 00:00:00+00:00,-0.018016758390890786,True
2022-08-01 00:00:00+00:00,2022-09-01 00:00:00+00:00,-0.012516580875980843,True
2022-09-01 00:00:00+00:00,2022-10-01 00:00:00+00:00,-0.0213120272075491,True
2022-10-01 00:00:00+00:00,2022-11-01 00:00:00+00:00,0.008173808762314883,True
2022-11-01 00:00:00+00:00,2022-12-01 00:00:00+00:00,-0.0006588071288877728,True
2022-12-01 00:00:00+00:00,2023-01-01 00:00:00+00:00,0.004006280035433019,True
2023-01-01 00:00:00+00:00,2023-02-01 00:00:00+00:00,-0.006446295661339696,True
2023-02-01 00:00:00+00:00,2023-03-01 00:00:00+00:00,-0.004298021385467199,True
2023-03-01 00:00:00+00:00,2023-04-01 00:00:00+00:00,0.022409812854359945,True
2023-04-01 00:00:00+00:00,2023-05-01 00:00:00+00:00,-0.03327388697122102,True
2023-05-01 00:00:00+00:00,2023-06-01 00:00:00+00:00,-0.012977943642397793,True
2023-06-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,-0.0011946828333861959,True
2023-07-01 00:00:00+00:00,2023-08-01 00:00:00+00:00,-0.010572935951399742,True
2023-08-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,-0.014752891420456438,True
2023-09-01 00:00:00+00:00,2023-10-01 00:00:00+00:00,0.0053971683584495,True
2023-10-01 00:00:00+00:00,2023-11-01 00:00:00+00:00,-0.01945731308347909,True
2023-11-01 00:00:00+00:00,2023-12-01 00:00:00+00:00,-0.012707152772063357,True
2023-12-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,-0.01562734786021025,True
2024-01-01 00:00:00+00:00,2024-02-01 00:00:00+00:00,-0.00659860393140943,True
2024-02-01 00:00:00+00:00,2024-03-01 00:00:00+00:00,-0.007481306285119227,True
2024-03-01 00:00:00+00:00,2024-04-01 00:00:00+00:00,-0.012199873063313937,True
2024-04-01 00:00:00+00:00,2024-05-01 00:00:00+00:00,-0.007445873931505198,True
2024-05-01 00:00:00+00:00,2024-06-01 00:00:00+00:00,-0.01586247714642386,True
2024-06-01 00:00:00+00:00,2024-07-01 00:00:00+00:00,-0.01241954470134421,True
2024-07-01 00:00:00+00:00,2024-08-01 00:00:00+00:00,-0.004888902734037304,True
2024-08-01 00:00:00+00:00,2024-09-01 00:00:00+00:00,0.005907281779488738,True
2024-09-01 00:00:00+00:00,2024-10-01 00:00:00+00:00,0.0066258084270434114,True
2024-10-01 00:00:00+00:00,2024-11-01 00:00:00+00:00,-0.022606738455851705,True
2024-11-01 00:00:00+00:00,2024-12-01 00:00:00+00:00,0.0012848359304755697,True
2024-12-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,-0.005524854250163358,True
2025-01-01 00:00:00+00:00,2025-02-01 00:00:00+00:00,-0.009545544750280688,True
2025-02-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,0.0442006059584521,True
2025-03-01 00:00:00+00:00,2025-04-01 00:00:00+00:00,0.019435921127768152,True
2025-04-01 00:00:00+00:00,2025-05-01 00:00:00+00:00,-0.025284777315972895,True
2025-05-01 00:00:00+00:00,2025-06-01 00:00:00+00:00,-0.013005531145438454,True
2025-06-01 00:00:00+00:00,2025-07-01 00:00:00+00:00,0.00442691869442613,True
2025-07-01 00:00:00+00:00,2025-08-01 00:00:00+00:00,-0.022935033991544396,True
2025-08-01 00:00:00+00:00,2025-09-01 00:00:00+00:00,0.01831686665227772,True
2025-09-01 00:00:00+00:00,2025-10-01 00:00:00+00:00,-0.0027388983854905735,True
2025-10-01 00:00:00+00:00,2025-11-01 00:00:00+00:00,-0.017136812054241446,True
2025-11-01 00:00:00+00:00,2025-12-01 00:00:00+00:00,-0.00019751178295535077,True
2025-12-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,-0.012521718964378592,True
2026-01-01 00:00:00+00:00,2026-02-01 00:00:00+00:00,0.01085144000095073,True
2026-02-01 00:00:00+00:00,2026-03-01 00:00:00+00:00,0.03895185606359708,True
2026-03-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,-0.01976714751608022,True
2026-04-01 00:00:00+00:00,2026-05-01 00:00:00+00:00,-0.011462990196617784,True
2026-05-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,-0.03464855010189438,True
2026-06-01 00:00:00+00:00,2026-07-01 00:00:00+00:00,-0.015568462791809345,True
2026-07-01 00:00:00+00:00,2026-08-01 00:00:00+00:00,-0.02330966656000011,True
2026-08-01 00:00:00+00:00,2026-09-01 00:00:00+00:00,-0.030119819276910986,True
