trade_id,entry_index,exit_index,side,quantity,entry_price,exit_price,entry_fee,exit_fee,funding_paid,gross_pnl,net_pnl,balance_after,reason_code,equity_before,entry_leverage,exit_epoch_upper_bound,signal_available_utc,entry_utc_simulated,exit_bar_open_utc,exit_utc_upper_bound,initial_stop,initial_target,forecast_expires_utc,planned_price_RR,realized_net_R,exit_reason,intrabar_precision
1,886215.0,886456.0,1.0,0.116,51090.3,50292.5,2.9632374000000006,2.9169650000000003,0.0,-92.54480000000034,-98.42500240000034,9901.5749976,1.0,10000.0,0.5926474800000001,1631024220.0,2021-09-07 10:15:00+00:00,2021-09-07 10:15:00+00:00,2021-09-07 14:16:00+00:00,2021-09-07 14:17:00+00:00,50302.606061484905,54108.41374659561,2021-09-08 00:00:00+00:00,3.831581784525508,-1.0771841174752665,stop,minute interval; not exact exchange fill
2,887435.0,887535.0,1.0,0.077,45894.100000000006,44677.200000000004,1.7669228500000003,1.7200722000000002,0.347273542,-93.70130000000012,-97.53556859200012,9804.039429008,1.0,9901.5749976,0.3568973320766195,1631088960.0,2021-09-08 06:35:00+00:00,2021-09-08 06:35:00+00:00,2021-09-08 08:15:00+00:00,2021-09-08 08:16:00+00:00,44686.173971559125,48820.63401674059,2021-09-09 00:00:00+00:00,2.422775855337745,-1.0486533663282154,stop,minute interval; not exact exchange fill
3,887560.0,888480.0,1.0,0.089,45715.8,46050.8,2.0343531,2.0492606,0.820128772812934,29.814999999999998,24.911257527187065,9828.950686535187,4.0,9804.039429008,0.41500304333350513,1631145600.0,2021-09-08 08:40:00+00:00,2021-09-08 08:40:00+00:00,2021-09-09 00:00:00+00:00,2021-09-09 00:00:00+00:00,44686.173971559125,48820.63401674059,2021-09-09 00:00:00+00:00,3.015496822124933,0.2718479935790261,timeout,minute interval; not exact exchange fill
4,890770.0,891228.0,1.0,0.069,45806.9,44444.4,1.5803380500000004,1.5333318000000002,0.34849253659269813,-94.0125,-97.4746623865927,9731.476024148595,1.0,9828.950686535187,0.3215680087122478,1631310540.0,2021-09-10 14:10:00+00:00,2021-09-10 14:10:00+00:00,2021-09-10 21:48:00+00:00,2021-09-10 21:49:00+00:00,44453.37872251869,47975.046557254725,2021-09-11 00:00:00+00:00,1.6018562791190847,-1.0437045135345964,stop,minute interval; not exact exchange fill
5,892110.0,892800.0,-1.0,0.10300000000000001,45659.700000000004,45203.3,2.3514745500000003,2.3279699500000004,-0.9349295782586581,47.009200000000156,43.264685078258815,9774.740709226853,4.0,9731.476024148595,0.4832719197303331,1631404800.0,2021-09-11 12:30:00+00:00,2021-09-11 12:30:00+00:00,2021-09-12 00:00:00+00:00,2021-09-12 00:00:00+00:00,46532.95909560204,43579.382946009515,2021-09-12 00:00:00+00:00,2.382244931049121,0.4810090021531386,timeout,minute interval; not exact exchange fill
6,894485.0,895098.0,1.0,0.1,44769.700000000004,43848.5,2.2384850000000003,2.192425,0.4449214,-92.12000000000045,-96.99583140000044,9677.744877826854,1.0,9774.740709226853,0.45801419527926407,1631542740.0,2021-09-13 04:05:00+00:00,2021-09-13 04:05:00+00:00,2021-09-13 14:18:00+00:00,2021-09-13 14:19:00+00:00,43857.29964651016,48192.66807241477,2021-09-14 00:00:00+00:00,3.7516075693331823,-1.0630841058862008,stop,minute interval; not exact exchange fill
7,895380.0,895680.0,1.0,0.10200000000000001,44735.600000000006,44966.9,2.2815156000000005,2.2933119000000004,0.45870795144382204,23.592599999999557,18.559064548555735,9696.303942375409,4.0,9677.744877826854,0.47149736406614534,1631577600.0,2021-09-13 19:00:00+00:00,2021-09-13 19:00:00+00:00,2021-09-14 00:00:00+00:00,2021-09-14 00:00:00+00:00,43857.29964651016,48192.66807241477,2021-09-14 00:00:00+00:00,3.9360886724893454,0.20716331548560438,timeout,minute interval; not exact exchange fill
8,896230.0,896595.0,-1.0,0.09,45905.700000000004,46926.100000000006,2.0657565,2.1116745000000003,0.0,-91.83600000000013,-96.01343100000014,9600.29051137541,1.0,9696.303942375409,0.4260915318407251,1631632560.0,2021-09-14 09:10:00+00:00,2021-09-14 09:10:00+00:00,2021-09-14 15:15:00+00:00,2021-09-14 15:16:00+00:00,46916.671246356964,43192.890321143364,2021-09-15 00:00:00+00:00,2.6833697680643884,-1.0552386171656996,stop,minute interval; not exact exchange fill
9,903640.0,904320.0,1.0,0.093,47258.5,47247.4,2.19752025,2.1970041,0.8826258493786291,-1.0322999999998648,-6.309450199378494,9593.981061176031,4.0,9600.29051137541,0.45780286490208866,1632096000.0,2021-09-19 12:40:00+00:00,2021-09-19 12:40:00+00:00,2021-09-20 00:00:00+00:00,2021-09-20 00:00:00+00:00,46300.35314570557,49685.83005584174,2021-09-20 00:00:00+00:00,2.5333591035261582,-0.07080704823783099,timeout,minute interval; not exact exchange fill
10,904635.0,904774.0,1.0,0.106,45782.5,44941.0,2.4264725,2.381873,0.0,-89.199,-94.0073455,9499.973715676031,1.0,9593.981061176031,0.5058322472240867,1632123300.0,2021-09-20 05:15:00+00:00,2021-09-20 05:15:00+00:00,2021-09-20 07:34:00+00:00,2021-09-20 07:35:00+00:00,44950.015580608546,49318.49325784709,2021-09-21 00:00:00+00:00,4.247518842973543,-1.065319337325611,stop,minute interval; not exact exchange fill
11,907475.0,908128.0,-1.0,0.099,41864.700000000004,42766.600000000006,2.0723026500000006,2.1169467000000006,-0.42113105100000003,-89.28810000000014,-93.05621829900014,9406.917497377031,1.0,9499.973715676031,0.4362754491794997,1632324540.0,2021-09-22 04:35:00+00:00,2021-09-22 04:35:00+00:00,2021-09-22 15:28:00+00:00,2021-09-22 15:29:00+00:00,42758.019339068735,39000.2809535209,2021-09-23 00:00:00+00:00,3.2064894615012025,-1.0522125290379307,stop,minute interval; not exact exchange fill
