origin_utc,sample_count,last_outcome_session_utc,reference_price,mean_low_level,mean_low_touch,mean_low_terminal,mean_low_already_beyond_at_origin_open,mean_low_distance_pct,near97_low_level,near97_low_touch,near97_low_terminal,near97_low_already_beyond_at_origin_open,near97_low_distance_pct,mean_high_level,mean_high_touch,mean_high_terminal,mean_high_already_beyond_at_origin_open,mean_high_distance_pct,near97_high_level,near97_high_touch,near97_high_terminal,near97_high_already_beyond_at_origin_open,near97_high_distance_pct,screenshot_offset_low_touch
2021-09-01 13:30:00+00:00,196,2021-09-08 13:30:00+00:00,379.9500122070313,375.953899180248,False,False,False,1.334796675051575,381.2136628965309,True,True,True,-0.045573784304742126,384.4319204157913,False,False,False,0.8901721065517787,379.6892728809413,True,True,True,-0.3544865719320778,False
2021-09-02 13:30:00+00:00,196,2021-09-09 13:30:00+00:00,380.5799865722656,376.56241688587335,False,False,False,1.4157091702354019,381.84566418199194,True,True,False,0.032551519311418975,385.10240230175697,False,False,False,0.8200646833634195,380.3188289870517,True,False,True,-0.432277987374563,False
2021-09-03 13:30:00+00:00,196,2021-09-10 13:30:00+00:00,380.3999938964844,376.43219060871036,True,False,False,0.7351433476659563,381.6515690466217,True,True,True,-0.6412024202551159,384.9221122618072,False,False,False,1.5036419552631797,380.14174067107086,True,False,False,0.2430619290650915,True
2021-09-07 13:30:00+00:00,196,2021-09-13 13:30:00+00:00,381.5700073242188,377.68708252386705,True,True,False,1.0461408060511213,382.7994453750549,True,True,True,-0.2932961435640591,386.04528055906036,False,False,False,1.1437036174403614,381.316311529193,True,False,True,-0.09528430977969737,True
2021-09-08 13:30:00+00:00,196,2021-09-14 13:30:00+00:00,382.1099853515625,378.2212854353131,True,True,False,0.97104372832445,383.3412720786411,True,True,True,-0.36951258867428116,386.5983911364777,False,False,False,1.2223178462602124,381.8559081238547,True,False,True,-0.019397416633237796,True
2021-09-09 13:30:00+00:00,196,2021-09-15 13:30:00+00:00,380.7799987792969,376.95111069885183,True,False,False,1.0652998511167633,381.9912708770923,True,True,True,-0.25754208191823835,385.1939057063615,False,False,False,1.098106567675261,380.5300453775848,True,False,True,-0.1259715954274876,True
2021-09-10 13:30:00+00:00,196,2021-09-16 13:30:00+00:00,379.4700012207031,375.61653535385153,True,False,False,1.4724642527363607,380.6888869123312,True,True,False,0.14194162537123356,383.9058053870688,False,False,False,0.7018845116148587,379.2184814058319,True,False,True,-0.5276419805701926,True
2021-09-13 13:30:00+00:00,196,2021-09-17 13:30:00+00:00,376.5899963378906,372.5661371020744,False,False,False,1.6949928224563315,377.8583934339414,True,True,False,0.2985822395292881,381.19773886982443,False,False,False,0.5825348142002751,376.32828430394375,True,False,True,-0.7023156281212639,True
2021-09-14 13:30:00+00:00,196,2021-09-20 13:30:00+00:00,376.3299865722656,372.27772522547036,True,True,False,1.4773356117341652,377.59570995048176,True,True,False,0.06994003369656943,380.9004847173907,False,False,False,0.8046629660982241,376.06882546357474,True,False,True,-0.4740274062947525,True
2021-09-15 13:30:00+00:00,196,2021-09-21 13:30:00+00:00,375.260009765625,371.14534499445193,True,True,False,1.2202022350679353,376.5322800722824,True,True,True,-0.21352275902801754,379.83046139066295,False,False,False,1.091328955483406,374.9975020762257,True,False,True,-0.19495618893458078,True
2021-09-16 13:30:00+00:00,196,2021-09-22 13:30:00+00:00,378.0499877929688,374.0217645409045,True,True,False,0.7056993168110259,379.2842504711778,True,True,True,-0.6913714150031947,382.46533259418123,False,False,False,1.5358766143386715,377.79530298413243,True,False,False,0.2960896065725249,True
2021-09-17 13:30:00+00:00,196,2021-09-23 13:30:00+00:00,378.30999755859375,374.5983346387916,True,True,False,0.8527003925079657,379.4403524641455,True,True,True,-0.42886694947741333,382.34676456929685,False,False,False,1.1981253394009572,378.0767148049267,False,False,False,0.06794438508588296,True
2021-09-20 13:30:00+00:00,196,2021-09-24 13:30:00+00:00,373.8299865722656,369.69822680190845,True,False,True,-0.6091099436342118,375.08342322349,True,True,True,-2.0746290604929163,378.30142386909057,False,False,False,2.950370833864735,373.5713590124387,True,False,False,1.6631382189828514,True
2021-09-21 13:30:00+00:00,196,2021-09-27 13:30:00+00:00,365.7000122070313,360.71764990477163,False,False,False,1.8668961636040704,367.1906523048887,True,False,False,0.10591824408273665,371.02465221544816,True,False,False,0.9371200198641239,365.39257507536416,True,True,True,-0.5950844923031218,False
2021-09-22 13:30:00+00:00,196,2021-09-28 13:30:00+00:00,366.1499938964844,361.5745650247096,True,True,False,1.502473880575128,367.4971644075506,True,True,True,-0.11091777867060504,370.96282880972973,True,False,False,1.0550089924745043,365.87208034198176,True,False,True,-0.33177586097655754,True
2021-09-23 13:30:00+00:00,196,2021-09-29 13:30:00+00:00,369.5700073242188,364.6902169109175,True,True,False,1.637121775496897,370.9857504196131,True,True,True,-0.06088592298041373,374.6168098322468,False,False,False,1.040241656337182,369.27797424809296,True,False,True,-0.3997290642183571,True
2021-09-24 13:30:00+00:00,196,2021-09-30 13:30:00+00:00,372.9800109863281,367.78492116776033,True,True,False,0.7729860450299109,374.4650397507095,True,True,True,-1.0292852872110236,378.2577780963999,False,False,False,2.052552090973525,372.62009576317496,True,False,False,0.5315262104768292,True
2021-09-27 13:30:00+00:00,196,2021-10-01 13:30:00+00:00,373.3299865722656,368.1794950939292,True,True,False,0.5457906662553413,374.7924522208634,True,True,True,-1.2405294063750238,378.52166051644514,False,False,False,2.2478789937910637,372.9755257141932,False,False,False,0.7497334996330984,True
2021-09-28 13:30:00+00:00,196,2021-10-04 13:30:00+00:00,370.3500061035156,365.3799657179426,True,True,False,0.0793195228323329,371.77547312809367,True,True,True,-1.6696637613589527,375.44983153738826,False,False,False,2.674492780520721,370.00449804601374,True,False,False,1.1853541332658368,True
2021-09-29 13:30:00+00:00,196,2021-10-05 13:30:00+00:00,359.8699951171875,353.9645900891084,True,False,False,1.995022585137085,361.56258660681755,True,True,True,-0.10869484300686238,365.9366164506328,False,False,False,1.3197671029386848,359.45995776842875,True,False,True,-0.4734766441643612,True
2021-09-30 13:30:00+00:00,196,2021-10-06 13:30:00+00:00,359.2799987792969,353.3501005232664,True,False,False,2.1109512346367487,360.96853895225803,True,True,False,0.00040509417407186277,365.29944565759837,False,False,False,1.1993917561720524,358.87094197946146,True,True,True,-0.5815051760930889,True
2021-10-01 13:30:00+00:00,196,2021-10-07 13:30:00+00:00,357.9599914550781,351.98830032423336,True,False,False,1.8437550660201807,359.6240118412502,True,False,True,-0.28555653103892187,363.8552005081291,True,False,False,1.4654752691489081,357.55490772614803,True,True,True,-0.29143847171767545,True
2021-10-04 13:30:00+00:00,196,2021-10-08 13:30:00+00:00,360.17999267578125,353.92761273651934,True,False,False,1.2809261457880416,361.89231044088353,True,True,True,-0.9406229863192062,366.17907658331535,False,False,False,2.1363069854806405,359.7463968249426,True,True,False,0.34207515587756365,True
2021-10-05 13:30:00+00:00,196,2021-10-11 13:30:00+00:00,352.6199951171875,345.9362725994121,False,False,False,2.1977662614750537,354.4251726526052,True,False,True,-0.20219423109453238,358.91530234587185,True,False,False,1.4716324154091076,352.1629893904352,True,True,True,-0.4373645364890377,False
2021-10-06 13:30:00+00:00,196,2021-10-12 13:30:00+00:00,357.3800048828125,350.1711614330145,False,False,False,1.1039384567004706,359.3258341707646,True,True,True,-1.4815430968811105,364.16795257933114,True,False,False,2.849064163361459,356.88749123894576,True,True,False,0.7929012576674221,True
2021-10-07 13:30:00+00:00,196,2021-10-13 13:30:00+00:00,359.6700134277344,352.284263890914,False,False,False,2.8984906989731107,361.6664041171609,True,True,False,0.31245416591766384,366.6484935316972,False,False,False,1.0607789052420102,359.16473545631413,True,True,True,-1.0019990239716114,True
2021-10-08 13:30:00+00:00,196,2021-10-14 13:30:00+00:00,362.9700012207031,355.31898909396904,False,False,False,2.406338662220764,365.0413038861786,True,False,True,-0.2640401421027061,370.2353079416981,False,False,False,1.6906508449924695,362.4458143439154,True,True,True,-0.44884978263584063,True
2021-10-11 13:30:00+00:00,196,2021-10-15 13:30:00+00:00,361.1600036621094,353.5373912396244,False,False,False,1.6804593020437242,363.21203371750727,True,False,True,-1.0100804496558702,368.34032553083455,True,True,False,2.4362698942390404,360.6406861029919,True,True,False,0.2949829162733675,True
2021-10-12 13:30:00+00:00,196,2021-10-18 13:30:00+00:00,358.3900146484375,350.8039650127658,False,False,False,2.5219628061865063,360.43732855184254,True,False,True,-0.1548637494354521,365.5868527074829,True,True,False,1.5857640733690337,357.8719005709414,True,True,True,-0.5579927433103649,False
2021-10-13 13:30:00+00:00,196,2021-10-19 13:30:00+00:00,357.1400146484375,349.55473790145567,False,False,False,2.76912230362083,359.18056123136836,True,False,False,0.09163820903663744,364.2987526836361,True,True,False,1.3320193563269633,356.62361351466615,True,True,True,-0.8028695092079818,False
2021-10-14 13:30:00+00:00,196,2021-10-20 13:30:00+00:00,360.0,352.35981578228507,False,False,False,3.115341797427229,362.0616004172572,False,False,False,0.4477445113194922,367.2120905568665,True,True,False,0.9684313816208379,359.47827503351886,True,True,True,-1.1580542163971086,False
2021-10-15 13:30:00+00:00,196,2021-10-21 13:30:00+00:00,366.6300048828125,358.3039950220467,False,False,False,2.6030253706819995,368.89075313328345,True,False,True,-0.27474943923437856,374.5426977713362,True,True,False,1.8111049255438827,366.0580388466709,True,True,True,-0.4952609579098932,False
2021-10-18 13:30:00+00:00,196,2021-10-22 13:30:00+00:00,368.9400024414063,360.6975978534603,False,False,False,1.880359014593025,371.1908146356643,True,False,True,-0.9740837917330492,376.8381449313045,True,False,False,2.5103125452146546,368.3705269373639,True,True,False,0.2068881739091033,False
