symbol,case,net_return,cagr,geometric_weekly,worst_week,conservative_intrabar_drawdown,trades,win_rate,profit_factor,longest_losing_streak,minimum_rolling_365_day_return,maximum_rolling_365_day_return,all_requested_targets_pass
ETHUSDT,RULE_PRIMARY_756f54981a8d58c4,0.2692784775321495,0.08529623388780871,0.00156997198011255,-0.0750844595167196,0.41057836029575023,393,0.3053435114503817,1.0412796693109014,7,-0.28242682165914645,0.7055031953224655,False
ETHUSDT,RULE_DIAGNOSTIC_d342c272c5a5a26c,0.8951105526373455,0.24538735600193018,0.004214627560868323,-0.07767866199212115,0.4567717246973253,391,0.31202046035805625,1.0995477689476012,7,-0.260939636871391,1.0429962102720038,False
ETHUSDT,RULE_DIAGNOSTIC_8b148ac5f7b865b7,0.10180845005169115,0.03384132506739812,0.0006380513323023251,-0.022388516913823264,0.14864064567286295,395,0.30632911392405066,1.0692505127919187,7,-0.10769238275580673,0.2223444627438893,False
ETHUSDT,RULE_DIAGNOSTIC_4ecf0b7fd02eee75,0.10180845005169115,0.03384132506739812,0.0006380513323023251,-0.022388516913823264,0.14864064567286295,395,0.30632911392405066,1.0692505127919187,7,-0.10769238275580673,0.2223444627438893,False
ETHUSDT,RULE_DIAGNOSTIC_da2520c6e5b8a1c9,0.10180845005169115,0.03384132506739812,0.0006380513323023251,-0.022388516913823264,0.14864064567286295,395,0.30632911392405066,1.0692505127919187,7,-0.10769238275580673,0.2223444627438893,False
ETHUSDT,RULE_DIAGNOSTIC_80548f3e773537cd,0.015118810997178267,0.005164328006744601,9.872632583984853e-05,-0.07938881051199531,0.44970626770977007,419,0.29832935560859186,1.0026200693794305,7,-0.29891040762471754,0.5712728918409691,False
ETHUSDT,RULE_DIAGNOSTIC_5b7b634f692b4299,0.18666489929821517,0.06051015282433925,0.001126599708528131,-0.04426805346024465,0.2854315391780544,395,0.30632911392405066,1.0559537295171513,7,-0.20296103514189734,0.48006750856635216,False
ETHUSDT,RULE_DIAGNOSTIC_a9dad2763e946ff0,0.19414881494579017,0.06280132705901198,0.0011680081884919424,-0.04426287450762645,0.280734683595912,395,0.30632911392405066,1.0581052428370616,7,-0.20240430498277961,0.48006750856635216,False
ETHUSDT,RULE_DIAGNOSTIC_7d67db65856b3db4,0.19414881494579017,0.06280132705901198,0.0011680081884919424,-0.04426287450762645,0.280734683595912,395,0.30632911392405066,1.0581052428370616,7,-0.20240430498277961,0.48006750856635216,False
ETHUSDT,RULE_DIAGNOSTIC_4a3feadda8590b6c,0.04754441363173445,0.016072403986449713,0.0003056307189996943,-0.028543407264309484,0.16563688126989307,423,0.30023640661938533,1.0317582230288023,7,-0.12755248833326382,0.20908059619221286,False
