start,end_exclusive,start_equity,end_equity,net_return
2021-09-01T00:00:00+00:00,2022-09-01T00:00:00+00:00,10000.0,7904.3593449132795,-0.20956406550867201
2022-09-01T00:00:00+00:00,2023-09-01T00:00:00+00:00,7904.3593449132795,5751.133136966687,-0.27240995936403956
2023-09-01T00:00:00+00:00,2024-09-01T00:00:00+00:00,5751.133136966687,4963.824400618715,-0.13689628071507676
2024-09-01T00:00:00+00:00,2025-09-01T00:00:00+00:00,4963.824400618715,3590.5437006387942,-0.27665779228788767
2025-09-01T00:00:00+00:00,2026-09-01T00:00:00+00:00,3590.5437006387942,2270.0543364961572,-0.3677686373536433
