boundary_utc,equity
2021-09-01 00:00:00+00:00,10000.0
2021-09-02 00:00:00+00:00,10000.0
2021-09-03 00:00:00+00:00,10000.0
2021-09-04 00:00:00+00:00,10000.0
2021-09-05 00:00:00+00:00,10000.0
2021-09-06 00:00:00+00:00,9946.0109544
2021-09-07 00:00:00+00:00,9806.610362713367
2021-09-08 00:00:00+00:00,9363.556828217363
2021-09-09 00:00:00+00:00,9045.536921397916
2021-09-10 00:00:00+00:00,9045.536921397916
2021-09-11 00:00:00+00:00,9056.765392448968
2021-09-12 00:00:00+00:00,9115.644975950938
2021-09-13 00:00:00+00:00,9275.827926531869
2021-09-14 00:00:00+00:00,8858.416979010868
2021-09-15 00:00:00+00:00,8858.416979010868
2021-09-16 00:00:00+00:00,8858.416979010868
2021-09-17 00:00:00+00:00,8858.416979010868
2021-09-18 00:00:00+00:00,8858.416979010868
2021-09-19 00:00:00+00:00,8858.416979010868
2021-09-20 00:00:00+00:00,8858.416979010868
2021-09-21 00:00:00+00:00,9605.413716209174
2021-09-22 00:00:00+00:00,11472.45154156237
2021-09-23 00:00:00+00:00,10926.469753697535
2021-09-24 00:00:00+00:00,10708.547628697534
2021-09-25 00:00:00+00:00,10708.547628697534
2021-09-26 00:00:00+00:00,10708.547628697534
2021-09-27 00:00:00+00:00,10695.569225879533
2021-09-28 00:00:00+00:00,10495.706623156371
2021-09-29 00:00:00+00:00,10495.706623156371
2021-09-30 00:00:00+00:00,10495.706623156371
2021-10-01 00:00:00+00:00,10495.706623156371
2021-10-02 00:00:00+00:00,10495.706623156371
2021-10-03 00:00:00+00:00,10495.706623156371
2021-10-04 00:00:00+00:00,10286.207472156373
2021-10-05 00:00:00+00:00,10286.207472156373
2021-10-06 00:00:00+00:00,10386.913355166671
2021-10-07 00:00:00+00:00,10873.689686491201
2021-10-08 00:00:00+00:00,10873.689686491201
2021-10-09 00:00:00+00:00,10656.388880991202
2021-10-10 00:00:00+00:00,10656.388880991202
2021-10-11 00:00:00+00:00,10656.388880991202
2021-10-12 00:00:00+00:00,10656.388880991202
2021-10-13 00:00:00+00:00,10656.388880991202
2021-10-14 00:00:00+00:00,10656.388880991202
2021-10-15 00:00:00+00:00,10656.388880991202
2021-10-16 00:00:00+00:00,11259.189722294544
2021-10-17 00:00:00+00:00,11259.189722294544
2021-10-18 00:00:00+00:00,11034.863595094545
2021-10-19 00:00:00+00:00,11034.863595094545
2021-10-20 00:00:00+00:00,10953.540464250555
2021-10-21 00:00:00+00:00,10824.455541086303
2021-10-22 00:00:00+00:00,11448.932219548446
2021-10-23 00:00:00+00:00,11448.932219548446
2021-10-24 00:00:00+00:00,11448.932219548446
2021-10-25 00:00:00+00:00,11448.932219548446
2021-10-26 00:00:00+00:00,11448.932219548446
2021-10-27 00:00:00+00:00,11448.932219548446
2021-10-28 00:00:00+00:00,11448.932219548446
2021-10-29 00:00:00+00:00,11448.932219548446
2021-10-30 00:00:00+00:00,11448.932219548446
2021-10-31 00:00:00+00:00,11448.932219548446
2021-11-01 00:00:00+00:00,11448.932219548446
2021-11-02 00:00:00+00:00,11448.932219548446
2021-11-03 00:00:00+00:00,11448.932219548446
2021-11-04 00:00:00+00:00,11448.932219548446
2021-11-05 00:00:00+00:00,11448.932219548446
2021-11-06 00:00:00+00:00,11448.932219548446
2021-11-07 00:00:00+00:00,11448.932219548446
2021-11-08 00:00:00+00:00,11448.932219548446
2021-11-09 00:00:00+00:00,11448.932219548446
2021-11-10 00:00:00+00:00,11448.932219548446
2021-11-11 00:00:00+00:00,11143.551862898445
2021-11-12 00:00:00+00:00,11000.351277906982
2021-11-13 00:00:00+00:00,11000.351277906982
2021-11-14 00:00:00+00:00,11000.351277906982
2021-11-15 00:00:00+00:00,11000.351277906982
2021-11-16 00:00:00+00:00,11000.351277906982
2021-11-17 00:00:00+00:00,10565.147773006982
2021-11-18 00:00:00+00:00,10130.507438839717
2021-11-19 00:00:00+00:00,9942.158635651884
2021-11-20 00:00:00+00:00,9942.158635651884
2021-11-21 00:00:00+00:00,9942.158635651884
2021-11-22 00:00:00+00:00,9942.158635651884
2021-11-23 00:00:00+00:00,9942.158635651884
2021-11-24 00:00:00+00:00,9942.158635651884
2021-11-25 00:00:00+00:00,9942.158635651884
2021-11-26 00:00:00+00:00,9942.158635651884
2021-11-27 00:00:00+00:00,10248.462636958016
2021-11-28 00:00:00+00:00,10009.977618167797
2021-11-29 00:00:00+00:00,9753.344245154758
2021-11-30 00:00:00+00:00,9753.344245154758
2021-12-01 00:00:00+00:00,9753.344245154758
2021-12-02 00:00:00+00:00,9558.511298654757
2021-12-03 00:00:00+00:00,9558.511298654757
2021-12-04 00:00:00+00:00,9368.108067204757
2021-12-05 00:00:00+00:00,9798.886856946077
2021-12-06 00:00:00+00:00,9798.886856946077
2021-12-07 00:00:00+00:00,9603.319422096078
2021-12-08 00:00:00+00:00,9603.319422096078
2021-12-09 00:00:00+00:00,9603.319422096078
2021-12-10 00:00:00+00:00,9603.319422096078
2021-12-11 00:00:00+00:00,9696.53892498408
2021-12-12 00:00:00+00:00,9508.854534324886
2021-12-13 00:00:00+00:00,9415.974879134068
2021-12-14 00:00:00+00:00,9046.310549434067
2021-12-15 00:00:00+00:00,9518.292388363467
2021-12-16 00:00:00+00:00,9667.28157961773
2021-12-17 00:00:00+00:00,9386.632485752505
