start_utc,end_exclusive_utc,return,complete_period
2021-09-01 00:00:00+00:00,2021-10-01 00:00:00+00:00,0.00022290258839330335,True
2021-10-01 00:00:00+00:00,2021-11-01 00:00:00+00:00,0.0005056522746371694,True
2021-11-01 00:00:00+00:00,2021-12-01 00:00:00+00:00,0.004090344043983674,True
2021-12-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,-0.024206029253643346,True
2022-01-01 00:00:00+00:00,2022-02-01 00:00:00+00:00,0.00791864560690514,True
2022-02-01 00:00:00+00:00,2022-03-01 00:00:00+00:00,-0.007490462852007607,True
2022-03-01 00:00:00+00:00,2022-04-01 00:00:00+00:00,0.011840974791383907,True
2022-04-01 00:00:00+00:00,2022-05-01 00:00:00+00:00,-0.0014338899134398453,True
2022-05-01 00:00:00+00:00,2022-06-01 00:00:00+00:00,-0.012887550654456792,True
2022-06-01 00:00:00+00:00,2022-07-01 00:00:00+00:00,-0.02509939141911799,True
2022-07-01 00:00:00+00:00,2022-08-01 00:00:00+00:00,-0.008663876720431674,True
2022-08-01 00:00:00+00:00,2022-09-01 00:00:00+00:00,0.016240063205334332,True
2022-09-01 00:00:00+00:00,2022-10-01 00:00:00+00:00,-0.004481762674299339,True
2022-10-01 00:00:00+00:00,2022-11-01 00:00:00+00:00,-0.020918502149654628,True
2022-11-01 00:00:00+00:00,2022-12-01 00:00:00+00:00,-0.0025168238515013153,True
2022-12-01 00:00:00+00:00,2023-01-01 00:00:00+00:00,0.002592177619043401,True
2023-01-01 00:00:00+00:00,2023-02-01 00:00:00+00:00,-0.0028003234728082305,True
2023-02-01 00:00:00+00:00,2023-03-01 00:00:00+00:00,-0.004047476316988319,True
2023-03-01 00:00:00+00:00,2023-04-01 00:00:00+00:00,-0.014138589463289497,True
2023-04-01 00:00:00+00:00,2023-05-01 00:00:00+00:00,0.007221118512159563,True
2023-05-01 00:00:00+00:00,2023-06-01 00:00:00+00:00,-0.03402483599117134,True
2023-06-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,-0.005308142492799206,True
2023-07-01 00:00:00+00:00,2023-08-01 00:00:00+00:00,-0.023206407584827282,True
2023-08-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,-0.018933816225727318,True
2023-09-01 00:00:00+00:00,2023-10-01 00:00:00+00:00,-0.00604129144237342,True
2023-10-01 00:00:00+00:00,2023-11-01 00:00:00+00:00,-0.03718236044550227,True
2023-11-01 00:00:00+00:00,2023-12-01 00:00:00+00:00,-0.006151181702426678,True
2023-12-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,-0.013249288828312444,True
2024-01-01 00:00:00+00:00,2024-02-01 00:00:00+00:00,-0.0007018402866044715,True
2024-02-01 00:00:00+00:00,2024-03-01 00:00:00+00:00,-0.012411521882379817,True
2024-03-01 00:00:00+00:00,2024-04-01 00:00:00+00:00,-0.0048907527029289355,True
2024-04-01 00:00:00+00:00,2024-05-01 00:00:00+00:00,-0.004724195133583242,True
2024-05-01 00:00:00+00:00,2024-06-01 00:00:00+00:00,0.005441163068375721,True
2024-06-01 00:00:00+00:00,2024-07-01 00:00:00+00:00,-0.006816475330720051,True
2024-07-01 00:00:00+00:00,2024-08-01 00:00:00+00:00,-0.009891240148481528,True
2024-08-01 00:00:00+00:00,2024-09-01 00:00:00+00:00,-0.01268529156082443,True
2024-09-01 00:00:00+00:00,2024-10-01 00:00:00+00:00,-0.02666552850201742,True
2024-10-01 00:00:00+00:00,2024-11-01 00:00:00+00:00,-0.026239412474870827,True
2024-11-01 00:00:00+00:00,2024-12-01 00:00:00+00:00,0.009673756213184781,True
2024-12-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,-0.026372572200138222,True
2025-01-01 00:00:00+00:00,2025-02-01 00:00:00+00:00,-0.007524108826844622,True
2025-02-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,-0.00038174938469681674,True
2025-03-01 00:00:00+00:00,2025-04-01 00:00:00+00:00,-0.011539834831541196,True
2025-04-01 00:00:00+00:00,2025-05-01 00:00:00+00:00,-0.0039028674973794475,True
2025-05-01 00:00:00+00:00,2025-06-01 00:00:00+00:00,-0.003850350667184088,True
2025-06-01 00:00:00+00:00,2025-07-01 00:00:00+00:00,-0.019629387094018402,True
2025-07-01 00:00:00+00:00,2025-08-01 00:00:00+00:00,-0.019881536017360535,True
2025-08-01 00:00:00+00:00,2025-09-01 00:00:00+00:00,-0.010383829899294095,True
2025-09-01 00:00:00+00:00,2025-10-01 00:00:00+00:00,-0.03192163928755243,True
2025-10-01 00:00:00+00:00,2025-11-01 00:00:00+00:00,-0.0015986212024936552,True
2025-11-01 00:00:00+00:00,2025-12-01 00:00:00+00:00,0.008578786652622572,True
2025-12-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,-0.02436031638361602,True
2026-01-01 00:00:00+00:00,2026-02-01 00:00:00+00:00,0.0016964311614269256,True
2026-02-01 00:00:00+00:00,2026-03-01 00:00:00+00:00,-0.0027463025675427133,True
2026-03-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,-0.021930150703037388,True
2026-04-01 00:00:00+00:00,2026-05-01 00:00:00+00:00,-0.021355351241852505,True
2026-05-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,-0.005156520515760432,True
2026-06-01 00:00:00+00:00,2026-07-01 00:00:00+00:00,-0.010334883740459433,True
2026-07-01 00:00:00+00:00,2026-08-01 00:00:00+00:00,-0.01992566645720506,True
2026-08-01 00:00:00+00:00,2026-09-01 00:00:00+00:00,-0.011952538532479462,True
