calendar_days,trades,skipped_days,maximum_entries_per_day,all_trades_close_same_UTC_day,initial_equity,final_equity,net_return,cagr,win_rate,net_profit_factor,average_win,average_loss,price_pnl_before_fees_funding,commissions,net_funding_paid,close_to_close_drawdown,conservative_intrabar_drawdown_bound,complete_Monday_weeks,geometric_weekly_7day_equivalent,worst_complete_week,longest_losing_week_streak,mean_anniversary_return,positive_years,minimum_rolling_365day_return,maximum_rolling_365day_return,max_entry_notional_equity_ratio,modeled_liquidations,trades_exposed_to_mark_gaps,counts_target_pass,CAGR65_trade1000_pass,arithmetic_annual65_trade1000_pass,all_five_years_positive,case,symbol,start_utc,end_exclusive_utc
1826,1823,3,1,True,10000.0,7678.477560059253,-0.23215224399407475,-0.05146719912124187,0.8107515085024685,0.7656747906763175,5.132438885296151,-28.716716267850607,429.7037999999992,2742.7074449,8.518795040691485,0.24801631395670487,0.2504432047030384,260,-0.0010121635386856065,-0.018069366800197106,9,-0.05118899515062216,0,-0.10101918696468914,-0.00861233105600867,0.28217447781602595,0,0,True,False,False,False,DIAGNOSTIC_iv_regime,BTCUSDT,2021-09-01 00:00:00+00:00,2026-09-01 00:00:00+00:00
1826,1824,2,1,True,10000.0,7104.232667811697,-0.28957673321883026,-0.06610085165261492,0.7231359649122807,0.7857822841351335,8.053148690394103,-26.768060306570543,-215.47819999999882,2624.2614346000005,56.027697588267124,0.2968687983522257,0.29803814312403987,260,-0.00130979883135951,-0.01787376926988926,9,-0.06591902491462472,0,-0.11552475063750711,-0.018150993561435125,0.27461961798327916,0,1,True,False,False,False,DIAGNOSTIC_conditional_mean,BTCUSDT,2021-09-01 00:00:00+00:00,2026-09-01 00:00:00+00:00
1826,1826,0,1,True,10000.0,6630.883429124074,-0.33691165708759263,-0.07889290891411405,0.778751369112815,0.7155082129299415,5.958834604437142,-29.313315293033515,-698.4130999999942,2660.5366875500004,10.166783325897047,0.34291792167282686,0.3438052329734831,260,-0.001573749049034734,-0.018086565023783252,10,-0.07798243737019746,0,-0.17632395786816546,-0.010204984147313634,0.32528328696469244,0,0,True,False,False,False,DIAGNOSTIC_opening_reversal,BTCUSDT,2021-09-01 00:00:00+00:00,2026-09-01 00:00:00+00:00
1826,1810,16,1,True,10000.0,5692.47068555177,-0.4307529314448231,-0.10658247910622742,0.7237569060773481,0.6086801206308393,5.114629191988404,-22.01538711190608,-2221.2656000000015,2090.3114989000005,-4.047784451739703,0.43614607727180565,0.43706622616110924,260,-0.002157627930008843,-0.018563075476174085,10,-0.10588646215072306,0,-0.15746303670669015,-0.03533746574348051,0.24874757677613515,0,1,True,False,False,False,DIAGNOSTIC_wall_continuation,BTCUSDT,2021-09-01 00:00:00+00:00,2026-09-01 00:00:00+00:00
1826,1826,0,1,True,10000.0,2423.492201663771,-0.757650779833623,-0.24686297543120217,0.46276013143483025,0.8816937763675711,66.82247375340563,-65.28185333329664,-1998.6060200000056,5350.964011120001,226.93776721627938,0.7955141395684505,0.7994671834184638,260,-0.005418796688544392,-0.08315075263576677,10,-0.24409972538891486,0,-0.45196712784325344,-0.02310395793196962,1.1295646173246467,0,3,True,False,False,False,PRIMARY_DAILY,ETHUSDT,2021-09-01 00:00:00+00:00,2026-09-01 00:00:00+00:00
1826,1352,474,1,True,10000.0,191.32131243997935,-0.9808678687560021,-0.5467762305714384,0.3224852071005917,0.7878376052824225,83.53958567677657,-50.47154808147883,-4376.146100000025,5481.50904094,-48.976453380002596,0.9873275153550748,0.987654099416825,260,-0.015052431250473508,-0.1321907530436709,10,-0.5001655811564407,0,-0.8081094415725797,-0.11675482341725762,3.5342239068342742,0,1,True,False,False,False,WALL_ONLY_PRIMARY,ETHUSDT,2021-09-01 00:00:00+00:00,2026-09-01 00:00:00+00:00
1826,1826,0,1,True,10000.0,3412.650020687804,-0.6587349979312196,-0.1934942219085538,0.5996714129244249,0.8467308548294444,33.23435610642031,-58.794760486788554,-2163.771050000007,4090.863527885,332.71540142720517,0.710124725686478,0.7129564140861887,260,-0.004112916177515635,-0.0829811510729016,6,-0.19027716220927443,0,-0.3548155616440758,0.06339333988362594,0.7714620223865817,0,3,True,False,False,False,DIAGNOSTIC_long,ETHUSDT,2021-09-01 00:00:00+00:00,2026-09-01 00:00:00+00:00
1826,1826,0,1,True,10000.0,7958.151474298342,-0.20418485257016583,-0.04465522729219762,0.5854326396495071,0.8596728194392729,11.701383466890366,-19.22143652814724,-686.7819600000025,1487.95088641,-132.8843207083354,0.20695566866162352,0.20783137265096152,260,-0.0008751471903744035,-0.016318688830502692,5,-0.04442776490720377,0,-0.09683006695694574,0.002058203537272263,0.18753015190744415,0,1,True,False,False,False,DIAGNOSTIC_short,ETHUSDT,2021-09-01 00:00:00+00:00,2026-09-01 00:00:00+00:00
1826,1826,0,1,True,10000.0,8000.132512854124,-0.19998674871458766,-0.043649298598912756,0.5761226725082147,0.862835267667917,11.958340298436353,-18.83726289547922,-508.45683000000247,1484.3679537950002,7.04270335089207,0.21412233757927723,0.2156167897866208,260,-0.0008549951328126193,-0.01970996849028317,5,-0.042946693750396545,1,-0.11630898185227467,0.026253467004776265,0.19276621750444878,0,1,True,False,False,False,DIAGNOSTIC_momentum1,ETHUSDT,2021-09-01 00:00:00+00:00,2026-09-01 00:00:00+00:00
1826,1760,66,1,True,10000.0,2939.8129290353454,-0.7060187070964654,-0.21719865299951369,0.4823863636363636,0.8427801911245232,44.577486136070895,-49.29360351316009,-2460.0705299999913,4539.338199365,60.77834159966165,0.7511748362856072,0.7537960103077874,260,-0.004682144624170159,-0.07291031242019264,9,-0.2059812054772565,1,-0.47246520789574753,0.08886516915321452,4.999957978526159,0,2,True,False,False,False,DIAGNOSTIC_momentum3,ETHUSDT,2021-09-01 00:00:00+00:00,2026-09-01 00:00:00+00:00
1826,1825,1,1,True,10000.0,4522.533380315925,-0.5477466619684075,-0.14676564206859843,0.7693150684931507,0.8294910277357213,18.979164407078006,-76.30454500527695,-747.4699399999987,4794.98643823,-64.98975854595942,0.6049445576378834,0.6081290392285594,260,-0.0030373217973941324,-0.06093057321191919,11,-0.14431199095328784,0,-0.2987545005767648,0.023660627489713093,0.7703009043655138,0,1,True,False,False,False,DIAGNOSTIC_reversal1,ETHUSDT,2021-09-01 00:00:00+00:00,2026-09-01 00:00:00+00:00
1826,1825,1,1,True,10000.0,171.45344849384063,-0.982854655150616,-0.5566077020550113,0.49424657534246574,0.749287829438005,32.565370463618116,-42.4729260126649,-5043.678669999997,4888.934425725,-104.06654421882989,0.9851082368588969,0.9854713515104945,260,-0.015466333691084744,-0.10346582870047483,10,-0.5350805163330631,0,-0.7627431857549615,-0.2278008683807502,4.33196156079392,0,0,True,False,False,False,DIAGNOSTIC_reversal3,ETHUSDT,2021-09-01 00:00:00+00:00,2026-09-01 00:00:00+00:00
1826,1826,0,1,True,10000.0,3844.3647955423125,-0.6155635204457688,-0.17404715177182095,0.5093099671412924,0.8086576016430012,27.97327960590798,-35.90489423878584,-3390.0666799999995,2754.04562517,11.522899287699572,0.6466072538087693,0.6473364176362788,260,-0.00365804487902166,-0.03863000944111028,10,-0.17082194413012292,0,-0.2956813107201651,-0.028338976020152007,0.5620246873200377,0,3,True,False,False,False,DIAGNOSTIC_iv_rise_short,ETHUSDT,2021-09-01 00:00:00+00:00,2026-09-01 00:00:00+00:00
1826,1826,0,1,True,10000.0,8475.96670915231,-0.15240332908476906,-0.032532962637056295,0.5032858707557503,0.9154832800346234,17.963324913965035,-19.881288739560702,62.53079000000358,1551.1268773250001,35.437203522628394,0.16462888907294204,0.1670029642189973,260,-0.0006336724535128679,-0.014741653358859907,7,-0.03226776828076163,1,-0.08063637050131855,0.05502448102993318,0.19245184712869715,0,3,True,False,False,False,DIAGNOSTIC_iv_regime,ETHUSDT,2021-09-01 00:00:00+00:00,2026-09-01 00:00:00+00:00
1826,1821,5,1,True,10000.0,5897.182484606166,-0.4102817515393834,-0.10024643691840229,0.7622185612300933,0.7224663975174652,7.6947553151574395,-34.14119605734955,-1336.8991499999966,2755.9393038350004,9.97906155888381,0.4170116562913476,0.4179042217623282,260,-0.002022471652460278,-0.023385063340230272,9,-0.0990490658214744,0,-0.19366424922379655,-0.027375917704810515,0.40457544084278985,0,1,True,False,False,False,DIAGNOSTIC_conditional_mean,ETHUSDT,2021-09-01 00:00:00+00:00,2026-09-01 00:00:00+00:00
1826,1826,0,1,True,10000.0,2066.0603525941924,-0.7933939647405808,-0.27052122394748424,0.5903614457831325,0.8656423389235666,47.41832255202969,-78.94504192312007,-1880.5112700000209,6092.059985635001,-38.63160822921553,0.8243582127826108,0.8273922174789272,260,-0.006026994684645182,-0.08128133787949554,9,-0.25521292012288355,1,-0.5087521051093489,0.11100399227616498,1.1012952687056825,0,1,True,False,False,False,DIAGNOSTIC_opening_momentum,ETHUSDT,2021-09-01 00:00:00+00:00,2026-09-01 00:00:00+00:00
1826,1765,61,1,True,10000.0,478.9471922230004,-0.9521052807777,-0.4554637325618669,0.4351274787535411,0.7633646586358489,39.992282978108726,-40.356194719121866,-5339.164789999997,4207.958554765,-26.070536987994533,0.961264385626062,0.9629770525772353,260,-0.011581508463780033,-0.11987310010003582,9,-0.4274093602645205,0,-0.7402571322857932,-0.040605294636078426,4.999940875533034,0,2,True,False,False,False,DIAGNOSTIC_opening_reversal,ETHUSDT,2021-09-01 00:00:00+00:00,2026-09-01 00:00:00+00:00
1826,1809,17,1,True,10000.0,7131.617695877286,-0.2868382304122714,-0.06538188633940079,0.6650082918739635,0.7299286256807679,6.444262884329644,-17.526123026355243,-1585.3239000000017,1277.1803862900001,5.87801783270551,0.28821458580318415,0.2900654453681113,260,-0.0012950692105911932,-0.01512202010746444,9,-0.06533802859085343,0,-0.10204249695588541,-0.03168244922515129,0.1767196748464385,0,2,True,False,False,False,DIAGNOSTIC_wall_continuation,ETHUSDT,2021-09-01 00:00:00+00:00,2026-09-01 00:00:00+00:00
