calendar_days,trades,skipped_days,maximum_entries_per_day,all_trades_close_same_UTC_day,initial_equity,final_equity,net_return,cagr,win_rate,net_profit_factor,average_win,average_loss,price_pnl_before_fees_funding,commissions,net_funding_paid,close_to_close_drawdown,conservative_intrabar_drawdown_bound,complete_Monday_weeks,geometric_weekly_7day_equivalent,worst_complete_week,longest_losing_week_streak,mean_anniversary_return,positive_years,minimum_rolling_365day_return,maximum_rolling_365day_return,max_entry_notional_equity_ratio,modeled_liquidations,trades_exposed_to_mark_gaps,counts_target_pass,CAGR65_trade1000_pass,arithmetic_annual65_trade1000_pass,all_five_years_positive,case,symbol,start_utc,end_exclusive_utc
1826,1826,0,1,True,10000.0,1200.3807395471417,-0.8799619260452858,-0.3456013798637777,0.49835706462212487,0.8653159436765283,62.12708934375628,-71.32671458872389,-1217.1006999999909,7634.923853850001,-52.40529339712276,0.9064447172786877,0.9076213515528394,260,-0.008093914271035674,-0.11783708484553435,15,-0.285945242305114,1,-0.6802944547834162,0.29140801682145057,1.5644594026846084,0,1,True,False,False,False,PRIMARY_DAILY,BTCUSDT,2021-09-01 00:00:00+00:00,2026-09-01 00:00:00+00:00
1826,1628,198,1,True,10000.0,1646.341819025996,-0.8353658180974004,-0.30291495354699705,0.4668304668304668,0.8601922854252958,67.62815124341952,-68.83761880872446,-468.2571999999939,7830.660211800001,54.74076917401884,0.8602120158886339,0.8616731263866657,260,-0.006891916208019877,-0.1316480231449444,8,-0.2980004345422335,0,-0.49158443638630567,-0.03760619450247371,1.9653627907777524,0,1,True,False,False,False,WALL_ONLY_PRIMARY,BTCUSDT,2021-09-01 00:00:00+00:00,2026-09-01 00:00:00+00:00
1826,1825,1,1,True,10000.0,3438.3387829137273,-0.6561661217086272,-0.1922835241483426,0.7331506849315068,0.7617509387359406,15.67976286360175,-56.552739073070676,-1375.1726999999935,4885.543731850001,300.9447852362884,0.684228575973699,0.686554675527139,260,-0.004084285240498864,-0.06447130814676238,6,-0.19084493296374522,0,-0.3460402756110573,-0.03354207912134355,0.8357341431009576,0,1,True,False,False,False,DIAGNOSTIC_long,BTCUSDT,2021-09-01 00:00:00+00:00,2026-09-01 00:00:00+00:00
1826,1825,1,1,True,10000.0,6223.525206408176,-0.3776474793591824,-0.09050043268736696,0.6356164383561644,0.7707677361887438,10.946527812068313,-24.773604594873785,-1470.4145000000058,2469.4297038500004,-163.369410258165,0.3776474793591824,0.37950464126516337,260,-0.0018163878816915835,-0.022272106281864823,10,-0.0898506038931504,0,-0.15061325165124517,-0.012030841752203703,0.2829587996693713,0,0,True,False,False,False,DIAGNOSTIC_short,BTCUSDT,2021-09-01 00:00:00+00:00,2026-09-01 00:00:00+00:00
1826,1823,3,1,True,10000.0,7826.244021000964,-0.21737559789990368,-0.04784380047166292,0.7273724629731212,0.7742558682092892,5.622575572412394,-19.374831364221073,-347.88270000000193,1820.0886232500002,5.784655749074839,0.22294481226814233,0.22466924074587147,260,-0.0009391626109108708,-0.01184099817412132,8,-0.04774127222706566,0,-0.08812027472173678,-0.00957297282000713,0.1809751150246849,0,0,True,False,False,False,DIAGNOSTIC_momentum1,BTCUSDT,2021-09-01 00:00:00+00:00,2026-09-01 00:00:00+00:00
1826,1823,3,1,True,10000.0,2270.0789282350734,-0.7729921071764927,-0.25665024369249223,0.7131102578167855,0.7812956477826366,21.241720333136193,-67.57965106088332,-1137.1868000000013,6536.654183500001,56.08008826492497,0.7875753245478536,0.7895711697613411,260,-0.005668099593783005,-0.06980941383883121,15,-0.2536952469579801,0,-0.45973072586603736,-0.05489406738360825,1.1027081384341446,0,0,True,False,False,False,DIAGNOSTIC_momentum3,BTCUSDT,2021-09-01 00:00:00+00:00,2026-09-01 00:00:00+00:00
1826,1823,3,1,True,10000.0,2437.591559303265,-0.7562408440696735,-0.2459885879069028,0.7970378496982995,0.7155551177141383,13.09300950400235,-71.85554391895175,-961.4644999999914,6542.47038115,58.473559546758054,0.7646549558702457,0.7666961942460147,260,-0.005396678997926285,-0.06876614668050796,15,-0.24291441710889625,0,-0.4234039848840604,-0.048985597733970265,1.2794875943445785,0,0,True,False,False,False,DIAGNOSTIC_momentum7,BTCUSDT,2021-09-01 00:00:00+00:00,2026-09-01 00:00:00+00:00
1826,1826,0,1,True,10000.0,5859.43617105801,-0.414056382894199,-0.10140134875357709,0.5514786418400877,0.7865993996089344,15.156118317946014,-23.69081193542567,-1683.5824999999982,2464.2136345500003,-7.232305607984925,0.42163510544002025,0.42455005845113214,260,-0.00204703775631232,-0.02690710962343512,8,-0.0999316706327428,0,-0.20702597660935307,-0.030390006178400153,0.3711345253198159,0,1,True,False,False,False,DIAGNOSTIC_reversal1,BTCUSDT,2021-09-01 00:00:00+00:00,2026-09-01 00:00:00+00:00
1826,1826,0,1,True,10000.0,6585.324296951679,-0.3414675703048321,-0.08016228858552477,0.5739320920043811,0.75455641333285,10.01678166954502,-17.88208598037468,-1785.2405000000012,1646.3879331500002,-16.952730101637215,0.35671948521569685,0.35782575992231835,260,-0.0016001371308239642,-0.021079541728447615,9,-0.0800694056966031,0,-0.12537381520087953,-0.04950630214529661,0.20234322577603595,0,1,True,False,False,False,DIAGNOSTIC_reversal3,BTCUSDT,2021-09-01 00:00:00+00:00,2026-09-01 00:00:00+00:00
1826,1824,2,1,True,10000.0,1391.201023992398,-0.8608798976007602,-0.32600288091707075,0.7094298245614035,0.716281099517551,16.79590903474645,-57.250387296168896,-3508.635399999997,5039.132072900001,61.03150310759593,0.864357332753115,0.8657692312305469,260,-0.007532779801850853,-0.07947993372228201,9,-0.32469879644189464,0,-0.5272345594615213,-0.10308863401566659,1.0966872885113177,0,0,True,False,False,False,DIAGNOSTIC_iv_rise_short,BTCUSDT,2021-09-01 00:00:00+00:00,2026-09-01 00:00:00+00:00
