start,end_exclusive,net_return
2021-09-01,2022-09-01,-0.07890111094597729
2022-09-01,2023-09-01,-0.09181376931377905
2023-09-01,2024-09-01,-0.014309410862559213
2024-09-01,2025-09-01,-0.021357835272857284
2025-09-01,2026-09-01,-0.0030495675039592385
