start,end_exclusive,net_return
2021-09-01,2022-09-01,-0.0809354977770359
2022-09-01,2023-09-01,-0.060884951906954865
2023-09-01,2024-09-01,-0.0325300571867192
2024-09-01,2025-09-01,-0.0034231316634296682
2025-09-01,2026-09-01,-0.013597800960789552
