origin_utc,reference_price,horizon_sessions,sample_count,rv_daily_sigma,projection_sigma,latest_sample_origin_utc,latest_matured_session_utc,low_q0.050000,high_q0.050000,low_q0.100000,high_q0.100000,low_q0.250000,high_q0.250000,low_q0.500000,high_q0.500000,low_q0.750000,high_q0.750000,low_q0.900000,high_q0.900000,low_q0.950000,high_q0.950000,low_q0.973684,high_q0.973684,low_q0.026316,high_q0.026316,mean_low_proxy,mean_high_proxy,terminal_median,historical_terminal_up_rate,train_mean_low_hit,train_mean_high_hit,training_near_low_hit,training_near_high_hit
2022-12-11 00:00:00+00:00,1265.88,5,28,0.028574351059818762,0.06389419138269792,2022-12-04 00:00:00+00:00,2022-12-08 00:00:00+00:00,1012.5427748526616,1268.6973200852422,1106.4666222653375,1272.1942184837023,1175.5482978245882,1280.381961701242,1231.2603529007495,1310.7206612614173,1242.648201486238,1346.386011196669,1252.7860363121597,1376.509266796624,1253.0303426559003,1407.0566849951515,1254.8203813965392,1510.6180123830884,946.7243402324355,1267.606891176593,1190.759253111203,1329.5530869377521,1277.5786737364524,0.5357142857142857,0.32142857142857145,0.32142857142857145,0.9642857142857143,0.9642857142857143
2022-12-12 00:00:00+00:00,1262.43,5,28,0.027379337554166286,0.06122205995002865,2022-12-05 00:00:00+00:00,2022-12-09 00:00:00+00:00,1043.4800756486663,1275.236122113733,1108.6384329677808,1281.345398810026,1170.717995696942,1287.6443949644795,1205.538224794872,1312.967678559485,1239.5412861072282,1337.0314254385785,1248.4242437172547,1370.0807992964308,1257.3710460136263,1407.90385072882,1260.014114151604,1478.347463429485,1000.2825505752339,1272.5988863876005,1188.493726477691,1328.3497924258627,1281.2204388641808,0.5357142857142857,0.32142857142857145,0.32142857142857145,0.9642857142857143,0.9642857142857143
2022-12-13 00:00:00+00:00,1274.88,5,28,0.02690016817224269,0.060150604639310934,2022-12-06 00:00:00+00:00,2022-12-10 00:00:00+00:00,1100.8161801855506,1281.782144725099,1117.2786846708364,1289.1410216267957,1181.0812317107398,1298.6508844070174,1223.7554013999284,1313.0615036108093,1241.5074113143696,1335.7385715602709,1260.1959236576254,1381.4084584310906,1262.1904061600742,1466.6036060755448,1264.5452573296748,1587.0998422434927,1054.1406762778631,1281.1253815044745,1198.909918256691,1341.1806668707256,1267.7188615328635,0.4642857142857143,0.39285714285714285,0.25,0.9642857142857143,0.9642857142857143
2022-12-14 00:00:00+00:00,1321.06,5,28,0.02671933908272514,0.059746258502840294,2022-12-07 00:00:00+00:00,2022-12-11 00:00:00+00:00,1133.4120430539585,1327.8333925779227,1167.874457765851,1331.6759224947307,1222.6180264818308,1345.8617762264084,1275.4248542180433,1366.928158637075,1300.974714360042,1396.2092197213756,1313.4089397295943,1450.7824684297868,1317.5116074958196,1499.8667046705586,1318.4471280013518,1549.0202496809559,1130.638852213418,1326.8762704817912,1256.2030337423487,1385.4122247870048,1326.2034480306777,0.5,0.35714285714285715,0.35714285714285715,0.9642857142857143,0.9642857142857143
2022-12-15 00:00:00+00:00,1307.76,5,28,0.0268164883709854,0.05996349091535596,2022-12-08 00:00:00+00:00,2022-12-12 00:00:00+00:00,1116.495249461793,1318.0825456325495,1129.8555982511841,1322.3352251589813,1247.568109923065,1330.1363252255426,1268.6548362965998,1356.245138245708,1294.235207836565,1380.7205286225453,1303.383623888473,1418.880672699055,1305.3530615763598,1434.465310359113,1305.7628921171672,1497.6681352200158,1070.1616519062322,1317.2264875387289,1243.3600161420063,1369.9357298892162,1318.526456070959,0.5357142857142857,0.25,0.39285714285714285,0.9642857142857143,0.9642857142857143
2022-12-16 00:00:00+00:00,1266.26,5,28,0.0279926604723846,0.06259349168732334,2022-12-09 00:00:00+00:00,2022-12-13 00:00:00+00:00,1042.7228359300602,1270.8776561839675,1116.7182846386772,1271.9292178048304,1171.1576346334655,1280.2561199402219,1222.3319738653508,1303.4427336564966,1237.4124546442133,1333.729320220964,1255.8008000774994,1376.0012593436993,1259.7005439960767,1499.9527268085137,1262.1870667604774,1596.1943263348487,979.28220241085,1269.4433873794944,1193.5684189824258,1329.4866933818373,1259.8069060219468,0.39285714285714285,0.2857142857142857,0.2857142857142857,0.9642857142857143,0.9642857142857143
2022-12-17 00:00:00+00:00,1166.2,5,28,0.033822114194962,0.07562854648269561,2022-12-10 00:00:00+00:00,2022-12-14 00:00:00+00:00,860.6912451089244,1173.7307803879694,1030.7309081166568,1176.620010929099,1085.435435407868,1183.2852719729385,1114.8548993264633,1209.9835392335658,1124.7817882315073,1228.994836852536,1143.434033936549,1256.7129669467622,1146.9385001368676,1391.0098609818988,1151.1232742214702,1533.1922298121408,779.0770684203793,1171.0683359640202,1084.9064365764784,1234.6379209270394,1150.2400458959853,0.4642857142857143,0.25,0.21428571428571427,0.9642857142857143,0.9642857142857143
2022-12-18 00:00:00+00:00,1186.45,5,28,0.03401961276731915,0.07607016671594535,2022-12-11 00:00:00+00:00,2022-12-15 00:00:00+00:00,909.4723081385481,1189.5944023664645,1010.7783023102188,1193.4991309418624,1086.3514100036411,1202.649775222935,1147.920720687918,1236.6532108614817,1159.9497487482408,1284.2894716891353,1165.1451835223022,1310.9014452953818,1172.1254814626034,1345.6095034812276,1174.1193064198444,1464.3325260244221,839.5316868850089,1188.3772199772934,1103.2059927881155,1258.8609088036278,1192.336559004911,0.5357142857142857,0.32142857142857145,0.32142857142857145,0.9642857142857143,0.9642857142857143
2022-12-19 00:00:00+00:00,1182.45,5,28,0.0336442443834695,0.07523081749305331,2022-12-12 00:00:00+00:00,2022-12-16 00:00:00+00:00,935.6879365633097,1197.206500996083,1007.9896055457084,1204.2582001926378,1068.0125276685735,1211.5369445653494,1113.1490577283146,1240.8809752061186,1156.1607213547536,1272.623510516795,1166.3503398317448,1307.535898256927,1176.6299771845777,1352.0309575698002,1179.6700013250736,1435.6280132857937,888.3172860456714,1194.1648286346385,1095.3710987102593,1259.893475284385,1204.1138866048436,0.5357142857142857,0.35714285714285715,0.32142857142857145,0.9642857142857143,0.9642857142857143
2022-12-20 00:00:00+00:00,1167.21,5,28,0.032396404177830934,0.07244056196818816,2022-12-13 00:00:00+00:00,2022-12-17 00:00:00+00:00,978.0660649062389,1179.4243704451449,995.7082143718006,1186.6021655305804,1040.784926146307,1194.0794663439967,1111.0729989687118,1212.1696735119544,1130.512180995929,1242.5754127634466,1151.0383161669185,1285.6504878131107,1153.2326057362532,1381.7324511943768,1155.8242777722094,1519.574120720436,928.3407835325038,1175.424831609795,1083.0769798992949,1244.4179848635488,1159.3186025793166,0.4642857142857143,0.39285714285714285,0.25,0.9642857142857143,0.9642857142857143
