start,end_exclusive,net_return
2021-09-01,2022-09-01,-0.07901232441005279
2022-09-01,2023-09-01,-0.09181070066368635
2023-09-01,2024-09-01,-0.014357776755659746
2024-09-01,2025-09-01,-0.021470791485440177
2025-09-01,2026-09-01,-0.0032437659128446983
