boundary_utc,equity
2021-09-01 00:00:00+00:00,10000.0
2021-09-02 00:00:00+00:00,10000.0
2021-09-03 00:00:00+00:00,10000.0
2021-09-04 00:00:00+00:00,10000.0
2021-09-05 00:00:00+00:00,10000.0
2021-09-06 00:00:00+00:00,9529.33660589
2021-09-07 00:00:00+00:00,9695.092451895438
2021-09-08 00:00:00+00:00,11704.993397097078
2021-09-09 00:00:00+00:00,14325.275571962793
2021-09-10 00:00:00+00:00,14979.961918239007
2021-09-11 00:00:00+00:00,17003.281921304842
2021-09-12 00:00:00+00:00,17003.281921304842
2021-09-13 00:00:00+00:00,16378.750108710923
2021-09-14 00:00:00+00:00,17271.122544124722
2021-09-15 00:00:00+00:00,16176.435524730685
2021-09-16 00:00:00+00:00,16002.592126827763
2021-09-17 00:00:00+00:00,16002.592126827763
2021-09-18 00:00:00+00:00,16002.592126827763
2021-09-19 00:00:00+00:00,16377.410625267765
2021-09-20 00:00:00+00:00,16768.128768208262
2021-09-21 00:00:00+00:00,16768.128768208262
2021-09-22 00:00:00+00:00,15803.231838353262
2021-09-23 00:00:00+00:00,16695.00511817144
2021-09-24 00:00:00+00:00,17371.120073486116
2021-09-25 00:00:00+00:00,15727.08565675227
2021-09-26 00:00:00+00:00,15727.08565675227
2021-09-27 00:00:00+00:00,15727.08565675227
2021-09-28 00:00:00+00:00,15727.08565675227
2021-09-29 00:00:00+00:00,15727.08565675227
2021-09-30 00:00:00+00:00,16024.33815579167
2021-10-01 00:00:00+00:00,15198.549409858993
2021-10-02 00:00:00+00:00,16183.248119303824
2021-10-03 00:00:00+00:00,16183.248119303824
2021-10-04 00:00:00+00:00,16183.248119303824
2021-10-05 00:00:00+00:00,16183.248119303824
2021-10-06 00:00:00+00:00,16183.248119303824
2021-10-07 00:00:00+00:00,19046.44071601127
2021-10-08 00:00:00+00:00,17465.62648154815
2021-10-09 00:00:00+00:00,17465.62648154815
2021-10-10 00:00:00+00:00,17465.62648154815
2021-10-11 00:00:00+00:00,17465.62648154815
2021-10-12 00:00:00+00:00,17465.62648154815
2021-10-13 00:00:00+00:00,17465.62648154815
2021-10-14 00:00:00+00:00,17465.62648154815
2021-10-15 00:00:00+00:00,17504.39076133177
2021-10-16 00:00:00+00:00,16929.384391235144
2021-10-17 00:00:00+00:00,16929.384391235144
2021-10-18 00:00:00+00:00,16004.93709619408
2021-10-19 00:00:00+00:00,15842.135291516557
2021-10-20 00:00:00+00:00,16044.171948329822
2021-10-21 00:00:00+00:00,16405.364780905813
2021-10-22 00:00:00+00:00,16405.364780905813
2021-10-23 00:00:00+00:00,16405.364780905813
2021-10-24 00:00:00+00:00,16405.364780905813
2021-10-25 00:00:00+00:00,16405.364780905813
2021-10-26 00:00:00+00:00,16405.364780905813
2021-10-27 00:00:00+00:00,16405.364780905813
2021-10-28 00:00:00+00:00,15415.392278723002
2021-10-29 00:00:00+00:00,17516.956831811007
2021-10-30 00:00:00+00:00,17516.956831811007
2021-10-31 00:00:00+00:00,17516.956831811007
2021-11-01 00:00:00+00:00,17516.956831811007
2021-11-02 00:00:00+00:00,17516.956831811007
2021-11-03 00:00:00+00:00,17516.956831811007
2021-11-04 00:00:00+00:00,17516.956831811007
2021-11-05 00:00:00+00:00,17516.956831811007
2021-11-06 00:00:00+00:00,17516.956831811007
2021-11-07 00:00:00+00:00,17516.956831811007
2021-11-08 00:00:00+00:00,17516.956831811007
2021-11-09 00:00:00+00:00,17517.88155631827
2021-11-10 00:00:00+00:00,17350.440628114637
2021-11-11 00:00:00+00:00,17350.440628114637
2021-11-12 00:00:00+00:00,17350.440628114637
2021-11-13 00:00:00+00:00,17350.440628114637
2021-11-14 00:00:00+00:00,17350.440628114637
2021-11-15 00:00:00+00:00,17350.440628114637
2021-11-16 00:00:00+00:00,17350.440628114637
2021-11-17 00:00:00+00:00,17350.440628114637
2021-11-18 00:00:00+00:00,16312.755237961886
2021-11-19 00:00:00+00:00,18148.124049220885
2021-11-20 00:00:00+00:00,16556.335548475538
2021-11-21 00:00:00+00:00,16556.335548475538
2021-11-22 00:00:00+00:00,16556.335548475538
2021-11-23 00:00:00+00:00,16556.335548475538
2021-11-24 00:00:00+00:00,16886.263872550535
2021-11-25 00:00:00+00:00,15551.24725974576
2021-11-26 00:00:00+00:00,15551.24725974576
2021-11-27 00:00:00+00:00,19822.79844403076
2021-11-28 00:00:00+00:00,19822.79844403076
2021-11-29 00:00:00+00:00,19100.311789679956
2021-11-30 00:00:00+00:00,18816.92283368075
2021-12-01 00:00:00+00:00,18816.92283368075
2021-12-02 00:00:00+00:00,18816.92283368075
2021-12-03 00:00:00+00:00,18816.92283368075
2021-12-04 00:00:00+00:00,18816.92283368075
2021-12-05 00:00:00+00:00,18228.089953851875
2021-12-06 00:00:00+00:00,17694.089605637666
2021-12-07 00:00:00+00:00,19035.642449310544
2021-12-08 00:00:00+00:00,18788.686554615757
2021-12-09 00:00:00+00:00,19527.330343010042
2021-12-10 00:00:00+00:00,18746.08887140539
2021-12-11 00:00:00+00:00,18746.08887140539
2021-12-12 00:00:00+00:00,18765.89688716539
2021-12-13 00:00:00+00:00,18300.559029973978
2021-12-14 00:00:00+00:00,18300.559029973978
2021-12-15 00:00:00+00:00,18300.559029973978
2021-12-16 00:00:00+00:00,18300.559029973978
2021-12-17 00:00:00+00:00,18300.559029973978
