timestamp,open,high,low,close,volume,quote_volume,trades,taker_buy_volume,taker_buy_quote_volume,original_open,original_close,aggregate_records
1730145600000,69605.8,69622.1,69525.3,69583.3,424.69199999999995,29551895.896199998,5405,176.807,12304206.9695,69566.1,69566.1,2522
1730145660000,69583.2,69662.7,69573.6,69647.8,212.393,14787982.079600003,2732,156.687,10908789.694200002,69566.1,69566.1,1222
1730145720000,69648.0,69691.1,69616.2,69616.2,206.63599999999997,14395934.2044,2988,92.928,6473566.1581999995,69566.1,69566.1,1260
1730145780000,69616.2,69626.7,69566.0,69579.2,147.426,10259520.2399,2505,53.41399999999999,3717042.5252,69566.1,69566.1,1179
1730145840000,69579.2,69587.0,69529.2,69552.0,106.80699999999999,7428649.704499999,1864,47.586,3309676.1323999995,69566.1,69566.1,763
1730145900000,69551.9,69583.6,69527.0,69540.4,261.361,18177450.6345,3388,173.98799999999997,12100833.3986,69566.1,69566.1,1493
1730145960000,69540.5,69540.5,69505.0,69511.8,94.986,6603259.196199999,1614,37.888999999999996,2633903.2324,69566.1,69566.1,775
1730146020000,69511.9,69511.9,69470.6,69470.7,119.45299999999999,8300782.6705,2014,37.18600000000001,2583771.2590000005,69566.1,69566.1,819
1730146080000,69470.8,69482.3,69438.5,69441.0,181.676,12619190.0332,2072,54.92999999999999,3815440.4099999997,69566.1,69566.1,779
1730146140000,69440.9,69455.0,69430.7,69439.1,151.329,10508514.7245,2088,67.457,4684313.2893,69566.1,69566.1,687
1730146200000,69439.2,69489.0,69429.0,69449.3,187.469,13020512.8344,2791,142.43099999999998,9892801.8409,69566.1,69566.1,1187
1730146260000,69449.3,69487.3,69435.0,69487.3,118.51100000000001,8231643.771400001,1754,73.881,5131844.0611000005,69566.1,69566.1,669
1730146320000,69487.3,69489.9,69465.0,69471.0,102.14599999999999,7097049.411800001,1107,57.79499999999999,4015526.9487,69566.1,69566.1,452
