timestamp,equity
2023-10-02 00:00:00+00:00,10000.0
2023-10-03 00:00:00+00:00,9435.023633966797
2023-10-04 00:00:00+00:00,9435.023633966797
2023-10-05 00:00:00+00:00,9661.325084176553
2023-10-06 00:00:00+00:00,8957.78123229297
2023-10-07 00:00:00+00:00,9237.862059325551
2023-10-08 00:00:00+00:00,9121.873984726783
2023-10-09 00:00:00+00:00,9065.29298394385
2023-10-10 00:00:00+00:00,8895.259446548744
2023-10-11 00:00:00+00:00,8582.839658367542
2023-10-12 00:00:00+00:00,8471.405966651206
2023-10-13 00:00:00+00:00,8455.523161177467
2023-10-14 00:00:00+00:00,8460.883257801532
2023-10-15 00:00:00+00:00,8460.883257801532
2023-10-16 00:00:00+00:00,8281.985919119837
2023-10-17 00:00:00+00:00,9713.389190366286
2023-10-18 00:00:00+00:00,9563.196249632212
2023-10-19 00:00:00+00:00,9461.668143313724
2023-10-20 00:00:00+00:00,9624.522421594791
2023-10-21 00:00:00+00:00,10330.5315807993
2023-10-22 00:00:00+00:00,10410.092039241996
2023-10-23 00:00:00+00:00,10356.335249593682
2023-10-24 00:00:00+00:00,13127.963768949456
2023-10-25 00:00:00+00:00,13487.094903505384
2023-10-26 00:00:00+00:00,13476.884362072102
2023-10-27 00:00:00+00:00,13308.964800151047
2023-10-28 00:00:00+00:00,13081.34442773235
2023-10-29 00:00:00+00:00,13175.05254994983
2023-10-30 00:00:00+00:00,13461.33192406983
2023-10-31 00:00:00+00:00,13169.537898422474
2023-11-01 00:00:00+00:00,13223.26875544714
2023-11-02 00:00:00+00:00,12431.476843837136
2023-11-03 00:00:00+00:00,12272.705429077441
2023-11-04 00:00:00+00:00,12244.88327617379
2023-11-05 00:00:00+00:00,12105.287973716599
2023-11-06 00:00:00+00:00,11505.64022229985
2023-11-07 00:00:00+00:00,11414.197268620961
2023-11-08 00:00:00+00:00,11164.999346163537
2023-11-09 00:00:00+00:00,11269.541837781422
2023-11-10 00:00:00+00:00,12237.6827321303
2023-11-11 00:00:00+00:00,12341.992590530297
2023-11-12 00:00:00+00:00,12158.246182624314
2023-11-13 00:00:00+00:00,12123.578308789372
2023-11-14 00:00:00+00:00,12052.333321913156
2023-11-15 00:00:00+00:00,11932.808447302432
2023-11-16 00:00:00+00:00,13319.565468037332
2023-11-17 00:00:00+00:00,12917.268923875705
2023-11-18 00:00:00+00:00,12917.268923875705
2023-11-19 00:00:00+00:00,12798.166122813875
2023-11-20 00:00:00+00:00,13379.836434879777
2023-11-21 00:00:00+00:00,13475.159808464732
2023-11-22 00:00:00+00:00,12941.700511417093
2023-11-23 00:00:00+00:00,13392.753188550132
2023-11-24 00:00:00+00:00,13520.207046150133
2023-11-25 00:00:00+00:00,13564.020040314073
2023-11-26 00:00:00+00:00,13549.591766031059
2023-11-27 00:00:00+00:00,13290.830163966566
2023-11-28 00:00:00+00:00,13107.821595366566
2023-11-29 00:00:00+00:00,13558.428909726565
2023-11-30 00:00:00+00:00,13443.467296656147
2023-12-01 00:00:00+00:00,13175.323767707127
2023-12-02 00:00:00+00:00,13686.221097687485
2023-12-03 00:00:00+00:00,14318.50766849201
2023-12-04 00:00:00+00:00,15006.196287919625
2023-12-05 00:00:00+00:00,17130.500647521032
2023-12-06 00:00:00+00:00,18022.710347260803
2023-12-07 00:00:00+00:00,17924.302782499264
2023-12-08 00:00:00+00:00,17924.302782499264
2023-12-09 00:00:00+00:00,18397.920072714685
2023-12-10 00:00:00+00:00,17985.37321377631
2023-12-11 00:00:00+00:00,17782.472437883844
2023-12-12 00:00:00+00:00,17073.925601846844
2023-12-13 00:00:00+00:00,16876.758111336203
2023-12-14 00:00:00+00:00,16773.444506169762
2023-12-15 00:00:00+00:00,16566.031734439017
2023-12-16 00:00:00+00:00,16042.234049752293
2023-12-17 00:00:00+00:00,15994.710208912295
2023-12-18 00:00:00+00:00,15431.625016231414
2023-12-19 00:00:00+00:00,14369.93082619835
2023-12-20 00:00:00+00:00,14326.958469960056
2023-12-21 00:00:00+00:00,14848.736399741034
2023-12-22 00:00:00+00:00,14894.680128135464
2023-12-23 00:00:00+00:00,14689.961569163266
2023-12-24 00:00:00+00:00,14484.905496027419
2023-12-25 00:00:00+00:00,14201.34259060999
2023-12-26 00:00:00+00:00,14074.441096738441
2023-12-27 00:00:00+00:00,13232.946937669814
2023-12-28 00:00:00+00:00,13352.537092613988
2023-12-29 00:00:00+00:00,12907.562683057247
2023-12-30 00:00:00+00:00,12495.977014078759
2023-12-31 00:00:00+00:00,12314.186032468802
2024-01-01 00:00:00+00:00,12177.391059561562
2024-01-02 00:00:00+00:00,12898.78870867466
2024-01-03 00:00:00+00:00,13297.884432915016
2024-01-04 00:00:00+00:00,12697.839166578968
2024-01-05 00:00:00+00:00,13003.484199300116
2024-01-06 00:00:00+00:00,12924.639251646915
2024-01-07 00:00:00+00:00,12734.40107211802
2024-01-08 00:00:00+00:00,12575.665530443399
2024-01-09 00:00:00+00:00,14012.550295699975
2024-01-10 00:00:00+00:00,13085.028881684886
2024-01-11 00:00:00+00:00,13149.337708062005
2024-01-12 00:00:00+00:00,13093.485205664461
2024-01-13 00:00:00+00:00,13301.034609014463
2024-01-14 00:00:00+00:00,13237.610172709252
2024-01-15 00:00:00+00:00,13942.975764509256
2024-01-16 00:00:00+00:00,12945.511840065274
2024-01-17 00:00:00+00:00,12566.683255089634
2024-01-18 00:00:00+00:00,12452.460304228256
2024-01-19 00:00:00+00:00,13183.382650593736
2024-01-20 00:00:00+00:00,12268.638187063369
2024-01-21 00:00:00+00:00,12268.638187063369
2024-01-22 00:00:00+00:00,12268.638187063369
2024-01-23 00:00:00+00:00,12888.380720680585
2024-01-24 00:00:00+00:00,12861.603593217773
2024-01-25 00:00:00+00:00,12428.726835299598
2024-01-26 00:00:00+00:00,12555.106286469125
2024-01-27 00:00:00+00:00,12555.106286469125
2024-01-28 00:00:00+00:00,12654.213609569122
2024-01-29 00:00:00+00:00,12445.533032664129
2024-01-30 00:00:00+00:00,13100.27799948634
2024-01-31 00:00:00+00:00,12847.635248643815
2024-02-01 00:00:00+00:00,12373.600109697856
2024-02-02 00:00:00+00:00,12309.806624041123
2024-02-03 00:00:00+00:00,12125.465525866359
2024-02-04 00:00:00+00:00,11968.207015386275
2024-02-05 00:00:00+00:00,11257.147619248499
2024-02-06 00:00:00+00:00,11221.433055009998
2024-02-07 00:00:00+00:00,11222.868412721464
2024-02-08 00:00:00+00:00,11990.909546161158
2024-02-09 00:00:00+00:00,12584.476423355309
2024-02-10 00:00:00+00:00,13793.623301199825
