trade_id,entry_index,exit_index,side,quantity,entry_price,exit_price,entry_fee,exit_fee,funding_paid,gross_pnl,net_pnl,balance_after,reason_code,equity_before,entry_leverage,exit_epoch_upper_bound,signal_available_utc,entry_utc_simulated,exit_bar_open_utc,exit_utc_upper_bound,initial_stop,initial_target,forecast_expires_utc,planned_price_RR,realized_net_R,exit_reason,intrabar_precision
13,1026230.0,1029305.0,-1.0,0.341,3803.13,3944.27,0.648433665,0.672498035,-0.6320207421219032,-48.12873999999996,-48.81765095787805,9900.960469826096,1.0,9949.778120783973,0.1303413316615563,1639595160.0,2021-12-13 15:50:00+00:00,2021-12-13 15:50:00+00:00,2021-12-15 19:05:00+00:00,2021-12-15 19:06:00+00:00,3943.474086162143,3524.751827675714,2021-12-18 00:00:00+00:00,1.9835404535868284,-1.0200662575354171,stop,minute interval; not exact exchange fill
14,1031920.0,1031989.0,-1.0,0.523,3730.1800000000003,3820.21,0.97544207,0.998984915,0.0,-47.08568999999987,-49.06011698499987,9851.900352841096,1.0,9900.960469826096,0.1970398877912363,1639756200.0,2021-12-17 14:40:00+00:00,2021-12-17 14:40:00+00:00,2021-12-17 15:49:00+00:00,2021-12-17 15:50:00+00:00,3819.445466438379,3553.719067123242,2021-12-22 00:00:00+00:00,1.976810741235215,-1.050856492916609,stop,minute interval; not exact exchange fill
15,1047920.0,1049720.0,-1.0,0.585,3825.11,3670.7400000000002,1.118844675,1.07369145,-0.5531109377593555,90.30644999999993,88.66702481275928,9940.567377653855,2.0,9851.900352841096,0.2271327632089472,1640820060.0,2021-12-28 17:20:00+00:00,2021-12-28 17:20:00+00:00,2021-12-29 23:20:00+00:00,2021-12-29 23:21:00+00:00,3903.8173759437886,3670.005248112423,2022-01-02 00:00:00+00:00,1.9706507811713898,1.9257097821523297,target,minute interval; not exact exchange fill
16,1049740.0,1050184.0,-1.0,0.5720000000000001,3630.9300000000003,3713.42,1.03844598,1.0620381200000002,-0.1916008393728,-47.18427999999988,-49.09316326062707,9891.474214393227,1.0,9940.567377653855,0.20893092728980453,1640847900.0,2021-12-29 23:40:00+00:00,2021-12-29 23:40:00+00:00,2021-12-30 07:04:00+00:00,2021-12-30 07:05:00+00:00,3712.6750852730465,3470.8298294539068,2022-01-03 00:00:00+00:00,1.958529616934454,-1.0499372312221382,stop,minute interval; not exact exchange fill
17,1059585.0,1059608.0,-1.0,0.9440000000000001,3688.05,3596.6,1.7407596,1.6975952,0.0,86.32880000000026,82.89044520000026,9974.364659593228,2.0,9891.474214393227,0.3519717207505825,1641413340.0,2022-01-05 19:45:00+00:00,2022-01-05 19:45:00+00:00,2022-01-05 20:08:00+00:00,2022-01-05 20:09:00+00:00,3735.2463137377454,3595.877372524509,2022-01-10 00:00:00+00:00,1.9529624281181117,1.8604773984663172,target,minute interval; not exact exchange fill
18,1060410.0,1060719.0,-1.0,0.721,3357.07,3422.13,1.210223735,1.233677865,0.0,-46.908259999999956,-49.35216159999995,9925.012497993226,1.0,9974.364659593228,0.24266683168356412,1641480000.0,2022-01-06 09:30:00+00:00,2022-01-06 09:30:00+00:00,2022-01-06 14:39:00+00:00,2022-01-06 14:40:00+00:00,3421.44525524465,3230.9894895107,2022-01-11 00:00:00+00:00,1.9585244362938425,-1.063290541371308,stop,minute interval; not exact exchange fill
19,1060755.0,1060887.0,-1.0,0.779,3362.55,3422.13,1.3097132250000003,1.3329196350000003,-0.11456502189197633,-46.41281999999995,-48.940887838107976,9876.071610155117,1.0,9925.012497993226,0.26392172811164033,1641490080.0,2022-01-06 15:15:00+00:00,2022-01-06 15:15:00+00:00,2022-01-06 17:27:00+00:00,2022-01-06 17:28:00+00:00,3421.44525524465,3246.7994895107,2022-01-11 00:00:00+00:00,1.9653622351830315,-1.0667289403649867,stop,minute interval; not exact exchange fill
20,1061495.0,1061539.0,-1.0,0.909,3274.19,3177.44,1.488119355,1.4441464800000001,0.0,87.94575,85.01348416500001,9961.085094320117,2.0,9876.071610155117,0.30135855909951775,1641529200.0,2022-01-07 03:35:00+00:00,2022-01-07 03:35:00+00:00,2022-01-07 04:19:00+00:00,2022-01-07 04:20:00+00:00,3323.89021093012,3176.799578139761,2022-01-12 00:00:00+00:00,1.9595575157049867,1.8817663597343344,target,minute interval; not exact exchange fill
21,1063795.0,1064082.0,-1.0,0.74,3061.66,3125.23,1.1328142,1.1563351,0.0,-47.04180000000012,-49.33094930000012,9911.754145020117,1.0,9961.085094320117,0.227447951558197,1641681780.0,2022-01-08 17:55:00+00:00,2022-01-08 17:55:00+00:00,2022-01-08 22:42:00+00:00,2022-01-08 22:43:00+00:00,3124.5968375236803,2937.64632495264,2022-01-13 00:00:00+00:00,1.9704465608189925,-1.0592118641950763,stop,minute interval; not exact exchange fill
22,1066460.0,1066578.0,-1.0,0.5700000000000001,2968.12,3051.44,0.8459142000000001,0.8696604000000001,-0.027382857962891655,-47.492400000000096,-49.18059174203721,9862.57355327808,1.0,9911.754145020117,0.1706891005614795,1641831540.0,2022-01-10 14:20:00+00:00,2022-01-10 14:20:00+00:00,2022-01-10 16:18:00+00:00,2022-01-10 16:19:00+00:00,3050.8205475390296,2804.5189049219402,2022-01-15 00:00:00+00:00,1.97823472693273,-1.0433031275589932,stop,minute interval; not exact exchange fill
23,1066655.0,1066667.0,-1.0,0.6970000000000001,2984.28,3051.44,1.0400215800000001,1.0634268400000002,0.0,-46.810519999999904,-48.913968419999904,9813.65958485808,1.0,9862.57355327808,0.21090267654416067,1641836880.0,2022-01-10 17:35:00+00:00,2022-01-10 17:35:00+00:00,2022-01-10 17:47:00+00:00,2022-01-10 17:48:00+00:00,3050.8205475390296,2852.998904921941,2022-01-15 00:00:00+00:00,1.972948824941004,-1.054663097847775,stop,minute interval; not exact exchange fill
24,1076980.0,1077130.0,-1.0,0.717,3157.67,3222.29,1.1320246950000001,1.155190965,-0.1736702837013,-46.332539999999916,-48.44608537629862,9765.21349948178,1.0,9813.65958485808,0.23070388476621911,1642464660.0,2022-01-17 21:40:00+00:00,2022-01-17 21:40:00+00:00,2022-01-18 00:10:00+00:00,2022-01-18 00:11:00+00:00,3221.640651993336,3031.6486960133275,2022-01-22 00:00:00+00:00,1.9699862368105983,-1.0562306296040018,stop,minute interval; not exact exchange fill
25,1079020.0,1079230.0,-1.0,0.8240000000000001,3056.66,3112.23,1.25934392,1.2822387600000003,0.04335955568000001,-45.78968000000014,-48.374622235680135,9716.838877246098,1.0,9765.21349948178,0.2579245031492308,1642590660.0,2022-01-19 07:40:00+00:00,2022-01-19 07:40:00+00:00,2022-01-19 11:10:00+00:00,2022-01-19 11:11:00+00:00,3111.6036104912214,2948.662779017557,2022-01-24 00:00:00+00:00,1.9656010956851426,-1.068496687697288,stop,minute interval; not exact exchange fill
26,1081650.0,1082732.0,-1.0,0.632,2835.16,2691.78,0.8959105599999999,0.8506024800000002,-0.04343177583759998,90.61615999999978,88.91307873583737,9805.751955981936,2.0,9716.838877246098,0.1844037081026324,1642800780.0,2022-01-21 03:30:00+00:00,2022-01-21 03:30:00+00:00,2022-01-21 21:32:00+00:00,2022-01-21 21:33:00+00:00,2908.0206673735493,2691.238665252902,2022-01-26 00:00:00+00:00,1.9752953127539628,1.930880627856733,target,minute interval; not exact exchange fill
27,1083470.0,1083513.0,-1.0,0.768,2390.13,2451.06,0.9178099200000001,0.94120704,0.0,-46.794239999999874,-48.65325695999988,9757.098699021935,1.0,9805.751955981936,0.18719827385396914,1642847640.0,2022-01-22 09:50:00+00:00,2022-01-22 09:50:00+00:00,2022-01-22 10:33:00+00:00,2022-01-22 10:34:00+00:00,2450.5626632306626,2270.7046735386753,2022-01-27 00:00:00+00:00,1.976171826243967,-1.0482840175055677,stop,minute interval; not exact exchange fill
28,1083800.0,1083863.0,-1.0,0.77,2390.63,2451.06,0.9203925500000001,0.9436581,-0.1714096658959345,-46.531099999999874,-48.22374098410394,9708.874958037832,1.0,9757.098699021935,0.18866111297864835,1642868640.0,2022-01-22 15:20:00+00:00,2022-01-22 15:20:00+00:00,2022-01-22 16:23:00+00:00,2022-01-22 16:24:00+00:00,2450.5626632306626,2272.504673538675,2022-01-27 00:00:00+00:00,1.9709674173279592,-1.0449766732917232,stop,minute interval; not exact exchange fill
29,1083930.0,1084097.0,-1.0,0.71,2385.56,2451.06,0.8468738,0.8701262999999999,0.0,-46.504999999999995,-48.222000099999995,9660.652957937833,1.0,9708.874958037832,0.17445353939776223,1642882680.0,2022-01-22 17:30:00+00:00,2022-01-22 17:30:00+00:00,2022-01-22 20:17:00+00:00,2022-01-22 20:18:00+00:00,2450.5626632306626,2256.9946735386748,2022-01-27 00:00:00+00:00,1.9778470615136152,-1.044854266339691,stop,minute interval; not exact exchange fill
30,1086325.0,1086520.0,-1.0,0.639,2340.11,2197.34,0.747665145,0.70205013,0.0,91.23002999999999,89.78031472499998,9750.433272662833,2.0,9660.652957937833,0.15478563369480502,1643028060.0,2022-01-24 09:25:00+00:00,2022-01-24 09:25:00+00:00,2022-01-24 12:40:00+00:00,2022-01-24 12:41:00+00:00,2412.3600344807296,2196.8999310385407,2022-01-29 00:00:00+00:00,1.9821453372407236,1.9446533971893736,target,minute interval; not exact exchange fill
31,1086840.0,1086993.0,-1.0,0.705,2346.57,2412.85,0.8271659250000001,0.850529625,0.0,-46.72739999999982,-48.40509554999982,9702.028177112832,1.0,9750.433272662833,0.16966752181548994,1643056440.0,2022-01-24 18:00:00+00:00,2022-01-24 18:00:00+00:00,2022-01-24 20:33:00+00:00,2022-01-24 20:34:00+00:00,2412.3600344807296,2217.419931038541,2022-01-29 00:00:00+00:00,1.9630643148437381,-1.043618696082472,stop,minute interval; not exact exchange fill
32,1099685.0,1099974.0,-1.0,0.68,2652.04,2720.17,0.9016936000000001,0.9248578000000002,0.0,-46.32840000000008,-48.15495140000008,9653.87322571283,1.0,9702.028177112832,0.1858773410135219,1643835300.0,2022-02-02 16:05:00+00:00,2022-02-02 16:05:00+00:00,2022-02-02 20:54:00+00:00,2022-02-02 20:55:00+00:00,2719.6161473934712,2519.047705213058,2022-02-07 00:00:00+00:00,1.9680360588267356,-1.0479452844161676,stop,minute interval; not exact exchange fill
33,1100020.0,1100190.0,-1.0,0.456,2617.51,2720.17,0.5967922800000002,0.62019876,0.46440006920640003,-46.81295999999993,-48.494351109206335,9605.378874603626,1.0,9653.87322571283,0.12363789456245604,1643848260.0,2022-02-02 21:40:00+00:00,2022-02-02 21:40:00+00:00,2022-02-03 00:30:00+00:00,2022-02-03 00:31:00+00:00,2719.6161473934712,2414.857705213058,2022-02-07 00:00:00+00:00,1.9847217817945044,-1.0415363219472524,stop,minute interval; not exact exchange fill
