session_date,row_index,side,quantity_shares,entry,exit,stop,target,gross_pnl,fees,net_pnl,equity_before,equity_after,entry_time_precision
2021-09-10,2942.0,1.0,181.0,445.7744713423681,445.3954584411622,440.45116961362766,451.0086270914379,-68.60133511826734,16.1301757290819,-84.73151084734924,100000.0,99915.26848915264,"within session, exact time unavailable from daily OHLC"
2021-09-28,2954.0,1.0,185.0,434.5679175737565,433.67662922058105,429.38939005317025,439.6595402013174,-164.88834533746171,16.062524115695247,-180.95086945315697,99915.26848915264,99734.31761969949,"within session, exact time unavailable from daily OHLC"
2021-10-06,2960.0,-1.0,164.0,435.0251301088434,434.943483895874,440.90627429995465,429.23099964512664,13.38997892698444,14.267485269677366,-0.877506342692925,99734.31761969949,99733.4401133568,"within session, exact time unavailable from daily OHLC"
2021-11-30,2998.0,1.0,145.0,455.41151810057346,455.5144415588379,448.77982272301733,461.9521402818291,14.923901448346157,13.208426415061465,1.715475033284692,99733.4401133568,99735.15558839009,"within session, exact time unavailable from daily OHLC"
2021-12-03,3001.0,1.0,121.0,451.2013494899482,453.3746714263916,443.2127959705936,459.09967176252945,262.9719543096532,10.945369853087712,252.0265844565655,99735.15558839009,99987.18217284665,"within session, exact time unavailable from daily OHLC"
2021-12-16,3010.0,1.0,168.0,466.90898082569004,466.4033672058106,461.1891904354205,472.5353987570403,-84.9430881397484,15.67964744692921,-100.6227355866776,99987.18217284665,99886.55943725997,"within session, exact time unavailable from daily OHLC"
2022-01-05,3023.0,1.0,188.0,472.1513393256434,468.33316688232424,467.0751346994459,477.1331231260583,-717.8164193440014,17.68110871670979,-735.4975280607111,99886.55943725997,99151.06190919926,"within session, exact time unavailable from daily OHLC"
2022-01-10,3026.0,1.0,175.0,457.3098766168939,462.62168901084397,451.8603445973229,462.66795580642463,929.5671689412586,16.098802398485414,913.4683665427732,99151.06190919926,100064.53027574203,"within session, exact time unavailable from daily OHLC"
2022-01-13,3029.0,1.0,184.0,467.0245801509649,464.48354577941893,461.7946348841385,472.1611298413188,-467.55032436445435,17.139749517119064,-484.6900738815734,100064.53027574203,99579.84020186045,"within session, exact time unavailable from daily OHLC"
2022-01-24,3035.0,-1.0,120.0,439.909407731941,439.8839803375244,447.94902459668583,431.9577815478105,3.0512873299880994,10.557520656833585,-7.506233326845486,99579.84020186045,99572.33396853361,"within session, exact time unavailable from daily OHLC"
2022-01-28,3039.0,-1.0,114.0,441.026646917649,441.994207208252,449.5423534923457,432.599154493751,-110.30187312874727,10.066437737035272,-120.36831086578255,99572.33396853361,99451.96565766782,"within session, exact time unavailable from daily OHLC"
2022-01-31,3040.0,-1.0,123.0,448.95069910886286,449.9549946624756,456.81897080959044,441.172226527869,-123.52835309436642,11.056540033387465,-134.5848931277539,99451.96565766782,99317.38076454007,"within session, exact time unavailable from daily OHLC"
2022-02-24,3057.0,-1.0,117.0,419.0887061223983,427.3634834616804,427.32075138654176,410.9404869820917,-968.1489486960036,9.903490618133722,-978.0524393141372,99317.38076454007,98339.32832522593,"within session, exact time unavailable from daily OHLC"
2022-03-17,3072.0,-1.0,128.0,440.89197663823916,441.11411432495123,448.3440258760276,433.52811461449977,-28.43362389914546,11.289677964328838,-39.7233018634743,98339.32832522593,98299.60502336246,"within session, exact time unavailable from daily OHLC"
2022-03-31,3082.0,1.0,170.0,452.393443824135,451.59485064697265,446.84007548903185,457.8563425174375,-135.76084011759633,15.367801006008827,-151.12864112360515,98299.60502336246,98148.47638223885,"within session, exact time unavailable from daily OHLC"
2022-04-05,3085.0,1.0,178.0,449.9708558189721,450.98489577941893,444.6626302867499,455.1890961785478,180.499112959537,16.03701237845136,164.46210058108565,98148.47638223885,98312.93848281994,"within session, exact time unavailable from daily OHLC"
2022-04-19,3094.0,-1.0,152.0,443.97354325882384,445.08451254577636,450.21900522142147,437.8168848852369,-168.86733161678376,13.513682448229922,-182.3810140650137,98312.93848281994,98130.55746875492,"within session, exact time unavailable from daily OHLC"
2022-04-21,3096.0,1.0,166.0,442.87939234270726,437.1229270489115,437.16664371328284,448.5035739503653,-955.5732387700979,14.608038501900872,-970.1812772719987,98130.55746875492,97160.37619148292,"within session, exact time unavailable from daily OHLC"
2022-05-04,3105.0,-1.0,120.0,424.793760098267,429.1029035583496,432.66417781261435,417.00830963266424,-517.0972152099148,10.2467599638794,-527.3439751737942,97160.37619148292,96633.03221630913,"within session, exact time unavailable from daily OHLC"
2022-05-26,3121.0,-1.0,129.0,405.81827296300577,405.3505285583496,413.1121330432505,398.60558465453084,60.33902820064634,10.464077539625485,49.874950661020854,96633.03221630913,96682.90716697015,"within session, exact time unavailable from daily OHLC"
2022-05-27,3122.0,-1.0,130.0,414.99643817901546,415.30153576660155,422.22779850314663,407.8480854432789,-39.662686386191695,10.793873661293024,-50.456560047484714,96682.90716697015,96632.45060692266,"within session, exact time unavailable from daily OHLC"
2022-06-02,3125.0,-1.0,138.0,416.05802373282046,417.43175364990236,422.83344848882956,409.3658189035507,-189.5747285573026,11.502158927881576,-201.07688748518416,96632.45060692266,96431.37371943748,"within session, exact time unavailable from daily OHLC"
2022-06-07,3128.0,-1.0,142.0,414.5546734014748,415.78156423339846,421.14369035775906,408.04857567179346,-174.2184981331569,11.7907745744152,-186.0092727075721,96431.37371943748,96245.36444672992,"within session, exact time unavailable from daily OHLC"
2022-06-22,3138.0,-1.0,130.0,377.6980901431182,374.42745364990236,384.91961129633046,370.5521161626518,425.18274411805635,9.777632069309268,415.40511204874707,96245.36444672992,96660.76955877866,"within session, exact time unavailable from daily OHLC"
2022-06-24,3140.0,-1.0,132.0,388.40493878885803,390.11899457092284,395.5522189032517,381.3353474310978,-226.25536323255415,10.276515920349107,-236.53187915290326,96660.76955877866,96424.23767962576,"within session, exact time unavailable from daily OHLC"
2022-07-13,3152.0,-1.0,142.0,381.56596771994526,378.86786957092284,388.1643167977523,375.0439394677648,383.1299371611848,10.798160489530327,372.33177667165444,96424.23767962576,96796.56945629741,"within session, exact time unavailable from daily OHLC"
2022-07-19,3156.0,-1.0,149.0,392.24320331908183,392.30921601257324,398.53443357833777,386.03042954613835,-9.835891330220988,11.689831048041661,-21.52572237826265,96796.56945629741,96775.04373391914,"within session, exact time unavailable from daily OHLC"
2022-07-22,3159.0,1.0,162.0,393.1939464583299,395.05048733825686,387.43111276161136,398.8781492288494,300.75962254816875,12.769559827504706,287.99006272066407,96775.04373391914,97063.03379663981,"within session, exact time unavailable from daily OHLC"
2022-07-27,3162.0,-1.0,150.0,400.50145266322784,401.0801125457764,406.7712242240313,394.31178940378715,-86.79898238228247,12.023723478135064,-98.82270586041754,97063.03379663981,96964.21109077938,"within session, exact time unavailable from daily OHLC"
2022-08-26,3184.0,1.0,164.0,413.7165982616623,407.9587609593311,407.9995609154226,419.35090056175426,-944.2853175823186,13.475475891224292,-957.7607934735429,96964.21109077938,96006.45029730584,"within session, exact time unavailable from daily OHLC"
2022-09-07,3191.0,-1.0,138.0,397.06515225805816,397.8197767791748,403.8364678727514,390.3732576159137,-104.13818391409427,10.969412020713815,-115.10759593480809,96006.45029730584,95891.34270137103,"within session, exact time unavailable from daily OHLC"
2022-09-13,3195.0,1.0,155.0,395.87257872219,393.0606961029053,389.8809787174592,401.7850121278363,-435.84180598912667,12.228465759788978,-448.0702717489157,95891.34270137103,95443.27242962211,"within session, exact time unavailable from daily OHLC"
2022-09-28,3206.0,-1.0,121.0,371.9031077234388,370.5670517791748,379.57849371472787,364.30210979250046,161.66276925594275,8.983888929981624,152.67888032596113,95443.27242962211,95595.95130994807,"within session, exact time unavailable from daily OHLC"
2022-10-03,3209.0,-1.0,126.0,368.3075143242143,366.6466463500976,375.6812995520176,361.00739796616284,209.26936473870217,9.26042242449633,200.00894231420583,95595.95130994807,95795.96025226227,"within session, exact time unavailable from daily OHLC"
2022-10-13,3217.0,-1.0,123.0,356.63774375891614,364.25244536882786,364.2160237664512,349.1307984336011,-936.6082980191416,8.866949326271252,-945.4752473454128,95795.96025226227,94850.48500491686,"within session, exact time unavailable from daily OHLC"
