id,family,timeframe_minutes,lookback,volume_multiple,trend_span,direction,stop_atr,target_r,trail_r,max_hold_hours,minimum_price,risk_fraction,exposure_cap,daily_loss,weekly_loss,cooldown_minutes,atr_span,atr_min,atr_max,dev_net_return,dev_geometric_weekly,dev_arithmetic_weekly,dev_worst_week,dev_best_week,dev_complete_weeks,dev_weeks_at_10pct,dev_positive_weeks,dev_negative_weeks,dev_flat_weeks,dev_longest_losing_streak,dev_active_week_losing_streak,dev_trades,dev_win_rate,dev_profit_factor,dev_fees,dev_funding_paid,dev_liquidations,dev_max_entry_leverage,dev_conservative_intrabar_drawdown,dev_max_daily_entries,dev_initial_equity,dev_final_equity,dev_passes_historical_average_target,dev_cagr
06156b3c95aab58c,breakout,15,12,0.0,0,both,1.5,2.0,0.0,72,1000.0,0.02,5,0.06,0.15,5,32,0.0005,0.1,-0.9980175462125485,-0.05808531467747935,-0.05559105784669892,-0.1499217284458364,0.23378368772560942,104,2,13,72,19,29,29,1906,0.30482686253934943,0.782359458487596,5906.384240900024,116.50862122548988,0,4.980570451950977,0.9980744994433047,,10000.0,19.82453787451576,False,-0.9559456711322013
97e68e9e1829865b,breakout,15,12,0.0,0,both,2.5,4.0,0.0,72,1000.0,0.02,5,0.06,0.15,5,32,0.0005,0.1,-0.9956678255353625,-0.0509785716892327,-0.04745170779787874,-0.14986440307855975,0.20357173405428597,104,7,25,79,0,16,16,2141,0.27323680523120036,0.7749479486985539,4872.316056299997,232.5363990536231,0,4.980863608254703,0.9961659449319884,,10000.0,43.32174464637489,False,-0.9347892098717845
f09ec4393cd7d4d7,breakout,15,12,0.0,0,both,3.0,6.0,0.0,72,1000.0,0.02,5,0.06,0.15,5,32,0.0005,0.1,-0.9939730842812596,-0.04796095340156126,-0.04507750654023006,-0.14946576207984708,0.15841414204843796,104,5,26,78,0,9,9,1980,0.27626262626262627,0.7144064536278437,3718.3541487500047,206.49559406260903,0,4.991527428958958,0.9944814593264414,,10000.0,60.26915718740343,False,-0.923041112826668
4ac4a38380e2cbe4,breakout,15,12,0.0,0,both,2.5,8.0,2.0,72,1000.0,0.02,5,0.06,0.15,5,32,0.0005,0.1,-0.9961868235912896,-0.052142298288932465,-0.04906034446311122,-0.14981969854164245,0.17348647053841915,104,5,29,75,0,8,8,2122,0.2832233741753063,0.7365255662748139,4223.943031599998,209.97860431288552,0,4.950060239617163,0.9966026066370547,,10000.0,38.131764087104216,False,-0.938833256885362
60bd5689e327f185,breakout,15,12,0.0,0,both,4.0,8.0,3.0,72,1000.0,0.02,5,0.06,0.15,5,32,0.0005,0.1,-0.9797827821099522,-0.03681688740022071,-0.035004183611615156,-0.14498814769556312,0.1192627551155796,104,2,29,75,0,7,7,1910,0.28534031413612565,0.702700127694996,3579.796998050006,134.85512304949992,0,4.974981854391247,0.9810406593655555,,10000.0,202.17217890047849,False,-0.8587563218999164
684005dd4f67636a,breakout,15,12,0.0,0,long,1.5,2.0,0.0,72,1000.0,0.02,5,0.06,0.15,5,32,0.0005,0.1,-0.9980044861609213,-0.05802584341690076,-0.05585891804530504,-0.1498857584481852,0.12026842745499344,104,1,19,80,5,14,14,1593,0.31198995605775265,0.7714488695857522,5758.907695299995,860.6093663092056,0,4.997907608702246,0.9980118682471462,,10000.0,19.955138390787077,False,-0.9558003029799883
db5e2161cbdfd1b9,breakout,15,12,0.0,0,long,2.5,4.0,0.0,72,1000.0,0.02,5,0.06,0.15,5,32,0.0005,0.1,-0.9308618654695875,-0.025361777821932496,-0.02214730302800135,-0.14987492726719753,0.2113982170284534,104,11,35,69,0,6,6,714,0.211484593837535,0.8224354420812202,4010.701734450006,2360.7364202458707,0,4.9848997968568245,0.949656952822659,,10000.0,691.3813453041254,False,-0.7382549127328574
6fcffe3190801cbc,breakout,15,12,0.0,0,long,3.0,6.0,0.0,72,1000.0,0.02,5,0.06,0.15,5,32,0.0005,0.1,-0.8921837967674442,-0.021188901780398672,-0.01889702659274934,-0.1498675114664857,0.20153241348579276,104,7,32,72,0,10,10,537,0.21415270018621974,0.7600868839448568,2413.0641390000005,1801.2154286744344,0,4.875661066930117,0.9050752054008677,,10000.0,1078.1620323255577,False,-0.6728920727661971
fae925c1d160a8d9,breakout,15,12,0.0,0,long,2.5,8.0,2.0,72,1000.0,0.02,5,0.06,0.15,5,32,0.0005,0.1,-0.9504060557995612,-0.028470382701420438,-0.026217965209816178,-0.14967592210089686,0.15651871942764473,104,5,32,72,0,14,14,828,0.26570048309178745,0.7909611521540757,4452.982009449992,1808.3436485456118,0,4.995465895570112,0.9575648573745374,,10000.0,495.93944200438835,False,-0.7784418284155308
45d0d22d0238e51f,breakout,15,12,0.0,0,long,4.0,8.0,3.0,72,1000.0,0.02,5,0.06,0.15,5,32,0.0005,0.1,-0.8150853852273088,-0.016098445992419275,-0.014235028368204224,-0.12416716307103237,0.19851664840589311,104,6,37,67,0,8,8,463,0.2613390928725702,0.7662919910500587,2044.8623173000012,1608.182134973104,0,3.842222968342821,0.8339860482266286,,10000.0,1849.1461477269122,False,-0.5712199843414284
1e7a730f6167679b,breakout,15,12,0.0,200,both,1.5,2.0,0.0,72,1000.0,0.02,5,0.06,0.15,5,32,0.0005,0.1,-0.9979996509780876,-0.05800392328135229,-0.05488738809808175,-0.1498518822610514,0.22264594386508296,104,4,22,80,2,13,13,2477,0.3350827614049253,0.8350016601831368,7886.411474699995,369.52683508088336,0,4.959412217463472,0.9982247619430599,,10000.0,20.003490219123787,False,-0.9557466040742748
