symbol,case,primary,net_return,geometric_weekly,arithmetic_weekly,worst_week,best_week,complete_weeks,weeks_at_10pct,positive_weeks,negative_weeks,flat_weeks,longest_losing_streak,active_week_losing_streak,trades,win_rate,profit_factor,fees,funding_paid,liquidations,max_entry_leverage,conservative_intrabar_drawdown,max_daily_entries,initial_equity,final_equity,days,cagr,minimum_rolling_365day_return,maximum_rolling_365day_return,arithmetic_mean_annual_return,positive_anniversary_years,cagr65_and_min200trades,mean_annual65_and_min200trades,all_5_years_positive,start_utc,end_exclusive_utc
ETHUSDT,PRIMARY_2c21ef7fba1d_05cad0b63c38_risk0.02,True,-0.22720773841546038,-0.0010077537006155657,-0.0009715599698692008,-0.03828266801870339,0.013884314743628723,260,0,158,102,0,5,5,1250,0.8496,0.7689945608930364,1945.9255542749981,-181.4882801203318,0,0.76164658008674,0.2860185845409501,1,10000.0,7727.922615845397,1826.0,-0.05024858867218851,-0.148543896502368,0.08466568037255606,-0.04889418855544485,1,False,False,False,2021-09-01 00:00:00+00:00,2026-09-01 00:00:00+00:00
ETHUSDT,DIAGNOSTIC_d8bc07710323_ab8706a891e0_risk0.005,False,-0.27139580989582945,-0.0012230456969937187,-0.0011890405556229328,-0.022119836227105782,0.03382534979814755,260,0,99,153,8,8,8,846,0.42080378250591016,0.8123513864609481,1769.9195107349997,62.49201822330064,0,0.7001046270986153,0.2797551812522583,3,10000.0,7286.041901041705,1826.0,-0.06136848362564806,-0.15732129196891542,0.08267656564386994,-0.06104207268940713,0,False,False,False,2021-09-01 00:00:00+00:00,2026-09-01 00:00:00+00:00
ETHUSDT,DIAGNOSTIC_746d3e4c86f3_a0f277045e13_risk0.005,False,-0.32383735392052426,-0.001499311040819129,-0.0014209605945843533,-0.04845290323684759,0.04953684600337649,260,0,70,160,30,10,16,434,0.19815668202764977,0.7518103702584258,818.1252943149997,7.607514890244688,0,0.5520721767782585,0.40502038667534956,3,10000.0,6761.626460794757,1826.0,-0.07528845580132648,-0.22253336355907427,0.04317232970408358,-0.07229084081993793,2,False,False,False,2021-09-01 00:00:00+00:00,2026-09-01 00:00:00+00:00
ETHUSDT,DIAGNOSTIC_d8bc07710323_deb9feaac1b5_risk0.005,False,-0.02056982613733549,-9.443214158444402e-05,-7.322335049060624e-05,-0.027833078170938608,0.026276048013568865,260,0,101,107,52,5,7,497,0.41851106639839036,0.9812160967497765,1207.545823769999,75.2432776033626,0,0.5225655188751026,0.11894292215552382,3,10000.0,9794.301738626646,1826.0,-0.004148720271005768,-0.07801119470652162,0.0895699207444065,-0.0028583821884202052,3,False,False,False,2021-09-01 00:00:00+00:00,2026-09-01 00:00:00+00:00
ETHUSDT,DIAGNOSTIC_2c21ef7fba1d_b91af92b0f0f_risk0.005,False,0.06797610542572241,0.00021834981117185848,0.00024099128363562461,-0.0216312261532704,0.028250881120836402,260,0,81,90,89,6,7,343,0.37900874635568516,1.0594532981342466,1017.794595264999,77.80208047778218,0,0.7577742172848522,0.10149585793725713,3,10000.0,10679.761054257224,1826.0,0.013241506543873793,-0.07721560854348486,0.14397555550056018,0.015123753350650526,3,False,False,False,2021-09-01 00:00:00+00:00,2026-09-01 00:00:00+00:00
ETHUSDT,DIAGNOSTIC_7f1e17a5e9b6_b91af92b0f0f_risk0.005,False,-0.23769129482800877,-0.001066053785992116,-0.0010305389698635362,-0.019868077916973315,0.033435626061343315,260,0,99,154,7,9,9,892,0.3901345291479821,0.8744221603483366,2113.09317452,118.4367337601312,0,0.8348497787734974,0.3010664639771484,3,10000.0,7623.087051719912,1826.0,-0.05283981768333379,-0.14282375255821556,0.03295590691986061,-0.051217114288383714,1,False,False,False,2021-09-01 00:00:00+00:00,2026-09-01 00:00:00+00:00
ETHUSDT,DIAGNOSTIC_746d3e4c86f3_05cad0b63c38_risk0.02,False,-0.22802151541478322,-0.0009479032412699206,-0.0009145760693929806,-0.037642775869300094,0.012864325090658824,260,0,154,106,0,4,4,1179,0.8625954198473282,0.7581567948962002,1546.4507567999995,-195.358722652171,0,0.3734752427107952,0.25407379054478985,1,10000.0,7719.784845852168,1826.0,-0.05044872048530802,-0.12536037015158208,0.06360615517044699,-0.05005510067415995,0,False,False,False,2021-09-01 00:00:00+00:00,2026-09-01 00:00:00+00:00
ETHUSDT,DIAGNOSTIC_SCREENSHOT_TOUCH_near97,False,-0.11811110252668933,-0.0004917558188198834,-0.0004827887669785373,-0.019223713173281642,0.006903322665309464,260,0,158,102,0,5,5,1250,0.8496,0.7717591060797698,1041.0475895750005,-96.76207430811927,0,0.38071408053138295,0.15274033596290815,1,10000.0,8818.888974733107,1826.0,-0.024827367715898996,-0.07596942146922869,0.041833789826287715,-0.024484514957310764,1,False,False,False,2021-09-01 00:00:00+00:00,2026-09-01 00:00:00+00:00
ETHUSDT,DIAGNOSTIC_SCREENSHOT_TOUCH_mean_low,False,-0.04545143856148515,-0.00014071225797862574,-0.00011602691149112602,-0.02173861118706799,0.02175747046628751,260,0,122,138,0,6,6,431,0.5266821345707656,0.9507078390465942,361.7357859349999,-212.96475032014115,0,0.38076248496141374,0.16792733026524675,1,10000.0,9545.485614385148,1826.0,-0.009261282519639646,-0.10497078720861452,0.10272461760552853,-0.008700629934250114,3,False,False,False,2021-09-01 00:00:00+00:00,2026-09-01 00:00:00+00:00
BTCUSDT,PRIMARY_d856a92b247a_b91af92b0f0f_risk0.01,True,-0.4513016551204604,-0.002266825505886305,-0.0020891967553903442,-0.04975275450488448,0.058859859691467786,260,0,108,151,1,10,11,978,0.38752556237218816,0.865041901875295,5051.644961399994,182.761389804598,0,2.177664883392138,0.47926103511088336,3,10000.0,5486.983448795396,1826.0,-0.11312857317697744,-0.35223866990310837,0.30237526930220304,-0.09686039686191876,1,False,False,False,2021-09-01 00:00:00+00:00,2026-09-01 00:00:00+00:00
