start_utc,end_exclusive_utc,return,full_calendar_month
2021-09-01 00:00:00+00:00,2021-10-01 00:00:00+00:00,0.0006948964695936422,True
2021-10-01 00:00:00+00:00,2021-11-01 00:00:00+00:00,0.0015206477405769192,True
2021-11-01 00:00:00+00:00,2021-12-01 00:00:00+00:00,-0.004056355557303437,True
2021-12-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,-0.0054532822034536466,True
2022-01-01 00:00:00+00:00,2022-02-01 00:00:00+00:00,0.022828372917400364,True
2022-02-01 00:00:00+00:00,2022-03-01 00:00:00+00:00,0.012890490116019171,True
2022-03-01 00:00:00+00:00,2022-04-01 00:00:00+00:00,0.0076327305242112065,True
2022-04-01 00:00:00+00:00,2022-05-01 00:00:00+00:00,-0.029228814508031165,True
2022-05-01 00:00:00+00:00,2022-06-01 00:00:00+00:00,-0.06240559236585774,True
2022-06-01 00:00:00+00:00,2022-07-01 00:00:00+00:00,-0.031994176301413546,True
2022-07-01 00:00:00+00:00,2022-08-01 00:00:00+00:00,-0.040391917168194236,True
2022-08-01 00:00:00+00:00,2022-09-01 00:00:00+00:00,-0.01642365638082177,True
2022-09-01 00:00:00+00:00,2022-10-01 00:00:00+00:00,-0.00860080661110707,True
2022-10-01 00:00:00+00:00,2022-11-01 00:00:00+00:00,0.015118593929717816,True
2022-11-01 00:00:00+00:00,2022-12-01 00:00:00+00:00,-0.040796782684238586,True
2022-12-01 00:00:00+00:00,2023-01-01 00:00:00+00:00,-0.012289267868968667,True
2023-01-01 00:00:00+00:00,2023-02-01 00:00:00+00:00,0.010150200078187899,True
2023-02-01 00:00:00+00:00,2023-03-01 00:00:00+00:00,-0.03246794400017383,True
2023-03-01 00:00:00+00:00,2023-04-01 00:00:00+00:00,0.009032518619401797,True
2023-04-01 00:00:00+00:00,2023-05-01 00:00:00+00:00,-0.003947564295491812,True
2023-05-01 00:00:00+00:00,2023-06-01 00:00:00+00:00,-0.014344861132283171,True
2023-06-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,0.006691192273366786,True
2023-07-01 00:00:00+00:00,2023-08-01 00:00:00+00:00,-0.00984645465560019,True
2023-08-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,-0.008681351560513306,True
2023-09-01 00:00:00+00:00,2023-10-01 00:00:00+00:00,-0.011639361894116185,True
2023-10-01 00:00:00+00:00,2023-11-01 00:00:00+00:00,-0.021523559849381924,True
2023-11-01 00:00:00+00:00,2023-12-01 00:00:00+00:00,-0.014843101545113369,True
2023-12-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,-0.02835837517216544,True
2024-01-01 00:00:00+00:00,2024-02-01 00:00:00+00:00,-0.02229998599245464,True
2024-02-01 00:00:00+00:00,2024-03-01 00:00:00+00:00,-0.009062615367546711,True
2024-03-01 00:00:00+00:00,2024-04-01 00:00:00+00:00,-0.0010763144443671768,True
2024-04-01 00:00:00+00:00,2024-05-01 00:00:00+00:00,-0.03452624955793837,True
2024-05-01 00:00:00+00:00,2024-06-01 00:00:00+00:00,0.047859436438386416,True
2024-06-01 00:00:00+00:00,2024-07-01 00:00:00+00:00,-0.007213619670126126,True
2024-07-01 00:00:00+00:00,2024-08-01 00:00:00+00:00,-0.04841046295368301,True
2024-08-01 00:00:00+00:00,2024-09-01 00:00:00+00:00,-0.022458963606568183,True
2024-09-01 00:00:00+00:00,2024-10-01 00:00:00+00:00,0.0031661117872212596,True
2024-10-01 00:00:00+00:00,2024-11-01 00:00:00+00:00,0.04080178354216479,True
2024-11-01 00:00:00+00:00,2024-12-01 00:00:00+00:00,-0.015567523222455026,True
2024-12-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,0.02058619573755771,True
2025-01-01 00:00:00+00:00,2025-02-01 00:00:00+00:00,0.044076029986400256,True
2025-02-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,-0.0202739990233175,True
2025-03-01 00:00:00+00:00,2025-04-01 00:00:00+00:00,-0.0038618800825822586,True
2025-04-01 00:00:00+00:00,2025-05-01 00:00:00+00:00,-0.019365879995046242,True
2025-05-01 00:00:00+00:00,2025-06-01 00:00:00+00:00,0.013446254640464339,True
2025-06-01 00:00:00+00:00,2025-07-01 00:00:00+00:00,-0.007017847113081177,True
2025-07-01 00:00:00+00:00,2025-08-01 00:00:00+00:00,-0.020850116608208236,True
2025-08-01 00:00:00+00:00,2025-09-01 00:00:00+00:00,-0.007518398689107864,True
2025-09-01 00:00:00+00:00,2025-10-01 00:00:00+00:00,-0.03858000021147023,True
2025-10-01 00:00:00+00:00,2025-11-01 00:00:00+00:00,-0.010954393331532475,True
2025-11-01 00:00:00+00:00,2025-12-01 00:00:00+00:00,-0.01704989201900209,True
2025-12-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,0.04394820238337216,True
2026-01-01 00:00:00+00:00,2026-02-01 00:00:00+00:00,0.0036480712223405654,True
2026-02-01 00:00:00+00:00,2026-03-01 00:00:00+00:00,0.003485305431650154,True
2026-03-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,-0.012173269781785678,True
2026-04-01 00:00:00+00:00,2026-05-01 00:00:00+00:00,0.01846976946366774,True
2026-05-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,0.028950170447767265,True
2026-06-01 00:00:00+00:00,2026-07-01 00:00:00+00:00,0.01189270530603359,True
2026-07-01 00:00:00+00:00,2026-08-01 00:00:00+00:00,-0.007645877837224702,True
2026-08-01 00:00:00+00:00,2026-09-01 00:00:00+00:00,-0.0186748496156649,True
