trade_id,entry_index,exit_index,side,quantity,entry_price,exit_price,entry_fee,exit_fee,funding_paid,gross_pnl,net_pnl,balance_after,reason_code,equity_before,entry_leverage,exit_epoch_upper_bound,signal_available_utc,entry_utc_simulated,exit_bar_open_utc,exit_utc_upper_bound,initial_stop,initial_target,forecast_expires_utc,planned_price_RR,realized_net_R,exit_reason,intrabar_precision
1,877985.0,878394.0,-1.0,0.623,3730.29,3805.9500000000003,1.161985335,1.1855534250000002,0.0,-47.136180000000195,-49.483718760000194,9950.51628124,1.0,10000.0,0.232397067,1630540500.0,2021-09-01 17:05:00+00:00,2021-09-01 17:05:00+00:00,2021-09-01 23:54:00+00:00,2021-09-01 23:55:00+00:00,3805.1850789263976,3105.362385772841,2021-09-06 00:00:00+00:00,8.344041066320253,-1.0605252192611672,stop,minute interval; not exact exchange fill
25,1066480.0,1069764.0,1.0,0.889,2946.98,3406.35,1.3099326100000002,1.5141225749999998,0.004660588068894911,408.3799299999999,405.55121422693105,10090.2485578132,2.0,9684.69734358627,0.27051596214671764,1642022700.0,2022-01-10 14:40:00+00:00,2022-01-10 14:40:00+00:00,2022-01-12 21:24:00+00:00,2022-01-12 21:25:00+00:00,2896.6793373788128,3407.041070949574,2022-01-15 00:00:00+00:00,9.146222872137487,9.069226302827742,target,minute interval; not exact exchange fill
26,1076995.0,1078200.0,1.0,0.716,3161.59,3095.04,1.13184922,1.10802432,0.4792097566323818,-47.64980000000013,-50.368883296632504,10039.879674516567,1.0,10090.2485578132,0.22434516127426282,1642528860.0,2022-01-17 21:55:00+00:00,2022-01-17 21:55:00+00:00,2022-01-18 18:00:00+00:00,2022-01-18 18:01:00+00:00,3095.6641987358717,3575.7619399241808,2022-01-22 00:00:00+00:00,6.282395238016464,-1.067072390789067,stop,minute interval; not exact exchange fill
27,1081140.0,1081630.0,-1.0,0.73,3205.9900000000002,2871.48,1.17018635,1.0480901999999999,0.017629558765,244.19230000000016,241.95639389123517,10281.836068407803,2.0,10039.879674516567,0.23310764430179207,1642734660.0,2022-01-20 19:00:00+00:00,2022-01-20 19:00:00+00:00,2022-01-21 03:10:00+00:00,2022-01-21 03:11:00+00:00,3270.202787201575,2870.8999370653155,2022-01-25 00:00:00+00:00,5.218431990543876,5.161699551820282,target,minute interval; not exact exchange fill
28,1081660.0,1082194.0,1.0,0.837,2843.3,2785.32,1.18992105,1.1656564200000001,-0.1425752173755,-48.529260000000015,-50.74226225262451,10231.09380615518,1.0,10281.836068407803,0.23146080954474224,1642768500.0,2022-01-21 03:40:00+00:00,2022-01-21 03:40:00+00:00,2022-01-21 12:34:00+00:00,2022-01-21 12:35:00+00:00,2785.8865454676657,3181.248258886439,2022-01-26 00:00:00+00:00,5.886220601760006,-1.055919204519515,stop,minute interval; not exact exchange fill
29,1082385.0,1082472.0,1.0,0.861,2841.26,2785.32,1.2231624300000001,1.19908026,0.20583231811379998,-48.164340000000045,-50.79241500811385,10180.301391147066,1.0,10231.09380615518,0.23910687423550492,1642785180.0,2022-01-21 15:45:00+00:00,2022-01-21 15:45:00+00:00,2022-01-21 17:12:00+00:00,2022-01-21 17:13:00+00:00,2785.8865454676657,3181.248258886439,2022-01-26 00:00:00+00:00,6.139914183752206,-1.0653543728494,stop,minute interval; not exact exchange fill
30,1083515.0,1083963.0,1.0,0.491,2457.7200000000003,2357.2200000000003,0.60337026,0.5786975100000001,0.10930148825312186,-49.3455,-50.63686925825312,10129.664521888813,1.0,10180.301391147066,0.11853681670460156,1642874640.0,2022-01-22 10:35:00+00:00,2022-01-22 10:35:00+00:00,2022-01-22 18:03:00+00:00,2022-01-22 18:04:00+00:00,2357.6946662149635,2738.873791608596,2022-01-27 00:00:00+00:00,2.8108258275130584,-1.0310395982016378,stop,minute interval; not exact exchange fill
31,1084095.0,1086286.0,1.0,0.668,2430.03,2357.2200000000003,0.8116300200000001,0.7873114800000001,-0.15984612524151864,-48.63707999999997,-50.07617537475845,10079.588346514052,1.0,10129.664521888813,0.16024815397315065,1643014020.0,2022-01-22 20:15:00+00:00,2022-01-22 20:15:00+00:00,2022-01-24 08:46:00+00:00,2022-01-24 08:47:00+00:00,2357.6946662149635,2738.873791608596,2022-01-27 00:00:00+00:00,4.269611757462897,-1.0363446253822097,stop,minute interval; not exact exchange fill
32,1086330.0,1086366.0,1.0,0.75,2348.15,2283.83,0.8805562500000002,0.85643625,0.0,-48.24000000000012,-49.97699250000012,10029.611354014052,1.0,10079.588346514052,0.1747206770214051,1643018820.0,2022-01-24 09:30:00+00:00,2022-01-24 09:30:00+00:00,2022-01-24 10:06:00+00:00,2022-01-24 10:07:00+00:00,2284.2944015459366,2776.0224043236444,2022-01-29 00:00:00+00:00,6.7006247640361165,-1.04354186027928,stop,minute interval; not exact exchange fill
33,1086835.0,1092960.0,1.0,0.667,2356.1,2542.83,0.7857593500000001,0.848033805,-1.1731611303661205,124.54891000000002,124.08827797536614,10153.699631989419,4.0,10029.611354014052,0.15668789592440655,1643414400.0,2022-01-24 17:55:00+00:00,2022-01-24 17:55:00+00:00,2022-01-29 00:00:00+00:00,2022-01-29 00:00:00+00:00,2284.2944015459366,2776.0224043236444,2022-01-29 00:00:00+00:00,5.848045463924157,2.5908759382241375,timeout,minute interval; not exact exchange fill
34,1099660.0,1100762.0,1.0,0.6970000000000001,2667.71,2598.19,0.9296969350000001,0.9054692150000001,-0.8111033359073491,-48.45543999999999,-49.47950281409264,10104.220129175326,1.0,10153.699631989419,0.18312476608446693,1643882580.0,2022-02-02 15:40:00+00:00,2022-02-02 15:40:00+00:00,2022-02-03 10:02:00+00:00,2022-02-03 10:03:00+00:00,2598.7113967173623,3053.0671071532147,2022-02-07 00:00:00+00:00,5.5849986640263305,-1.0288504441882973,stop,minute interval; not exact exchange fill
