historical_origin_utc,last_matured_session_utc,projected_low,projected_high,projected_terminal
2025-11-17 14:30:00+00:00,2025-11-21 14:30:00+00:00,685.3154976041513,722.1409399544884,695.6490431942452
2025-11-24 14:30:00+00:00,2025-12-01 14:30:00+00:00,721.895723333784,747.8950544955954,745.4693331743516
2025-12-01 14:30:00+00:00,2025-12-05 14:30:00+00:00,709.8219539761807,725.9057014320106,722.5373655442049
2025-12-08 14:30:00+00:00,2025-12-12 14:30:00+00:00,700.8409479557482,720.5459517466411,703.3369660471584
2025-12-15 14:30:00+00:00,2025-12-19 14:30:00+00:00,699.8338273265383,722.4075117829663,720.7011150303606
2025-12-22 14:30:00+00:00,2025-12-29 14:30:00+00:00,717.3677605253114,727.4697351690048,721.4066793194053
2025-12-29 14:30:00+00:00,2026-01-05 14:30:00+00:00,695.0187393977134,714.8032484789804,707.2147203814159
2026-01-05 14:30:00+00:00,2026-01-09 14:30:00+00:00,722.2631334208355,740.5272693928447,738.4209812050207
2026-01-12 14:30:00+00:00,2026-01-16 14:30:00+00:00,698.910342431541,721.3007357758678,708.6079095486219
2026-01-26 14:30:00+00:00,2026-01-30 14:30:00+00:00,709.0931257236225,739.4611187204399,715.0268245172871
2026-02-02 14:30:00+00:00,2026-02-06 14:30:00+00:00,674.9010481295404,728.9746612864076,697.63280636931
2026-02-09 14:30:00+00:00,2026-02-13 14:30:00+00:00,700.7288923766737,725.7715386459786,707.2557434805086
2026-02-23 14:30:00+00:00,2026-02-27 14:30:00+00:00,704.1556578041797,726.5263108112281,714.5174911389134
2026-03-02 14:30:00+00:00,2026-03-06 14:30:00+00:00,698.6243457312576,722.88245717689,707.7247137582626
2026-03-09 13:30:00+00:00,2026-03-13 13:30:00+00:00,705.9618939000741,733.2761241343736,708.9325725898389
2026-03-16 13:30:00+00:00,2026-03-20 13:30:00+00:00,695.2731959516478,733.4674526936604,700.1714556075004
2026-03-23 13:30:00+00:00,2026-03-27 13:30:00+00:00,690.2724992339146,733.069538556795,691.561040297917
2026-03-30 13:30:00+00:00,2026-04-06 13:30:00+00:00,707.8208074193798,750.9685418380905,748.3704533999485
2026-04-06 13:30:00+00:00,2026-04-10 13:30:00+00:00,709.9197790388041,744.65332646534,742.1063053227787
2026-04-13 13:30:00+00:00,2026-04-17 13:30:00+00:00,713.7281038371226,751.7012074938917,750.6661124570762
2026-04-20 13:30:00+00:00,2026-04-24 13:30:00+00:00,710.7497784361559,729.7748170215956,729.2393364608309
2026-04-27 13:30:00+00:00,2026-05-01 13:30:00+00:00,706.6396910929601,728.1646088123987,726.3995024330084
2026-05-04 13:30:00+00:00,2026-05-08 13:30:00+00:00,709.7737226644879,763.7251423331749,763.7251423331749
2026-05-11 13:30:00+00:00,2026-05-15 13:30:00+00:00,699.1274698060319,729.2791526845517,713.6981269482778
2026-05-18 13:30:00+00:00,2026-05-22 13:30:00+00:00,701.7461534439586,730.6047481887491,725.6809335128934
2026-06-01 13:30:00+00:00,2026-06-05 13:30:00+00:00,678.9952867385018,727.8659382660873,679.8076493773809
2026-06-08 13:30:00+00:00,2026-06-12 13:30:00+00:00,701.7985462550425,732.4528503813349,729.1015938470168
2026-06-15 13:30:00+00:00,2026-06-22 13:30:00+00:00,716.0983615184803,732.6584750324719,727.6283799656753
2026-06-22 13:30:00+00:00,2026-06-26 13:30:00+00:00,694.0144093062206,719.2606780478484,696.2345338852327
2026-06-29 13:30:00+00:00,2026-07-06 13:30:00+00:00,715.6540228145973,734.1311818562205,725.7486560636493
2026-07-06 13:30:00+00:00,2026-07-10 13:30:00+00:00,710.2534250865554,723.6543959676619,723.1953369737925
2026-07-13 13:30:00+00:00,2026-07-17 13:30:00+00:00,692.8773155088853,715.7381870338802,698.1301030111631
2026-07-20 13:30:00+00:00,2026-07-24 13:30:00+00:00,707.2312709059466,726.9033837848149,708.4871213372301
2026-07-27 13:30:00+00:00,2026-07-31 13:30:00+00:00,697.7215957836502,725.7257809384369,719.4626923888883
2026-08-03 13:30:00+00:00,2026-08-07 13:30:00+00:00,714.6968479420746,748.5875920654239,744.2430112908601
2026-08-10 13:30:00+00:00,2026-08-14 13:30:00+00:00,711.2082940050307,724.2766911030245,721.9872637598456
2026-08-17 13:30:00+00:00,2026-08-21 13:30:00+00:00,699.3262591189689,719.0813335260347,703.0684655222659
2026-08-24 13:30:00+00:00,2026-08-28 13:30:00+00:00,707.6082926292878,725.1865091369988,718.8815936015276
