trade_id,entry_index,exit_index,side,quantity,entry_price,exit_price,entry_fee,exit_fee,funding_paid,gross_pnl,net_pnl,balance_after,reason_code,equity_before,entry_leverage,exit_epoch_upper_bound,signal_available_utc,entry_utc_simulated,exit_bar_open_utc,exit_utc_upper_bound,initial_stop,initial_target,forecast_expires_utc,planned_price_RR,realized_net_R,exit_reason,intrabar_precision
1,876965.0,880482.0,-1.0,0.176,3424.73,3988.25,0.30137624,0.35096599999999994,-1.4500378503927678,-99.17952,-98.38182438960723,9901.618175610392,1.0,10000.0,0.060275248,1630665780.0,2021-09-01 00:05:00+00:00,2021-09-01 00:05:00+00:00,2021-09-03 10:42:00+00:00,2021-09-03 10:43:00+00:00,3987.4476571983428,3186.2488096875213,2021-09-06 00:00:00+00:00,0.42380257179031533,-0.9933714206879523,stop,minute interval; not exact exchange fill
2,881285.0,886486.0,-1.0,0.135,3941.42,3602.77,0.26604585000000003,0.24318697500000003,-3.449258588006137,45.71775000000002,48.65777576300616,9950.275951373396,2.0,9901.618175610392,0.05373785279972169,1631026020.0,2021-09-04 00:05:00+00:00,2021-09-04 00:05:00+00:00,2021-09-07 14:46:00+00:00,2021-09-07 14:47:00+00:00,4667.643581380229,3602.0439857693445,2021-09-09 00:00:00+00:00,0.4673161584558466,0.4963044134835813,target,minute interval; not exact exchange fill
3,887045.0,894240.0,-1.0,0.127,3410.05,3406.34,0.21653817500000003,0.21630259000000002,-0.641491778221904,0.47117000000000464,0.6798210132219085,9950.95577238662,4.0,9950.275951373396,0.04352405421884046,1631491200.0,2021-09-08 00:05:00+00:00,2021-09-08 00:05:00+00:00,2021-09-13 00:00:00+00:00,2021-09-13 00:00:00+00:00,4188.555198768199,3133.289044684703,2021-09-13 00:00:00+00:00,0.35550302779378473,0.006875896747281548,timeout,minute interval; not exact exchange fill
4,895685.0,902880.0,-1.0,0.11800000000000001,3287.16,3436.05,0.19394244000000002,0.20272695000000002,-0.6166904494258959,-17.56902000000004,-17.348998940574145,9933.606773446047,4.0,9950.95577238662,0.038979660735339636,1632009600.0,2021-09-14 00:05:00+00:00,2021-09-14 00:05:00+00:00,2021-09-19 00:00:00+00:00,2021-09-19 00:00:00+00:00,4124.754580459618,2985.8200943686747,2021-09-19 00:00:00+00:00,0.3597682132398337,-0.17553291076686545,timeout,minute interval; not exact exchange fill
5,904325.0,905066.0,-1.0,0.116,3328.08,2991.75,0.19302864,0.1735215,-0.036279863628236,39.01427999999999,38.68400972362823,9972.290783169676,2.0,9933.606773446047,0.038863757022473085,1632140820.0,2021-09-20 00:05:00+00:00,2021-09-20 00:05:00+00:00,2021-09-20 12:26:00+00:00,2021-09-20 12:27:00+00:00,4178.462483982017,2991.142462802179,2021-09-25 00:00:00+00:00,0.3962188115870763,0.39215629287599835,target,minute interval; not exact exchange fill
6,905765.0,907039.0,-1.0,0.114,2962.98,2693.04,0.16888986,0.15350328,-0.06965607184854,30.773160000000008,30.52042293184855,10002.811206101525,2.0,9972.290783169676,0.033871828183156656,1632259200.0,2021-09-21 00:05:00+00:00,2021-09-21 00:05:00+00:00,2021-09-21 21:19:00+00:00,2021-09-21 21:20:00+00:00,3828.056000514169,2692.4922396948264,2021-09-26 00:00:00+00:00,0.3126751408482095,0.30947917641338496,target,minute interval; not exact exchange fill
7,907205.0,914400.0,-1.0,0.166,2785.13,3058.2400000000002,0.23116579,0.25383392000000005,-0.3339992391722396,-45.336260000000024,-45.487260470827785,9957.323945630696,4.0,10002.811206101525,0.046220164559137786,1632700800.0,2021-09-22 00:05:00+00:00,2021-09-22 00:05:00+00:00,2021-09-27 00:00:00+00:00,2021-09-27 00:00:00+00:00,3383.3511677249653,2527.6088117565887,2021-09-27 00:00:00+00:00,0.4304782280151743,-0.4580574145054502,timeout,minute interval; not exact exchange fill
8,915845.0,923040.0,-1.0,0.123,2909.85,3387.92,0.17895577499999998,0.20835708,-0.270835192088245,-58.80261000000002,-58.91908766291178,9898.404857967787,4.0,9957.323945630696,0.035944552166252725,1633219200.0,2021-09-28 00:05:00+00:00,2021-09-28 00:05:00+00:00,2021-10-03 00:00:00+00:00,2021-10-03 00:00:00+00:00,3711.791259190773,2650.176158954416,2021-10-03 00:00:00+00:00,0.3238065607294189,-0.5973217706151824,timeout,minute interval; not exact exchange fill
9,924485.0,931680.0,-1.0,0.10300000000000001,3423.16,3564.54,0.17629274,0.18357381,-0.8233549741085535,-14.562140000000012,-14.098651575891457,9884.306206391899,4.0,9898.404857967787,0.03562043430827988,1633737600.0,2021-10-04 00:05:00+00:00,2021-10-04 00:05:00+00:00,2021-10-09 00:00:00+00:00,2021-10-09 00:00:00+00:00,4379.1134176013165,3020.6570484437125,2021-10-09 00:00:00+00:00,0.42104870817476636,-0.14318701085954166,timeout,minute interval; not exact exchange fill
10,933125.0,940320.0,-1.0,0.108,3567.71,3794.94,0.19265634,0.20492676,-0.993897735813492,-24.540840000000003,-23.94452536418651,9860.361681027714,4.0,9884.306206391899,0.03898226865440786,1634256000.0,2021-10-10 00:05:00+00:00,2021-10-10 00:05:00+00:00,2021-10-15 00:00:00+00:00,2021-10-15 00:00:00+00:00,4475.311089484496,3203.913639419547,2021-10-15 00:00:00+00:00,0.4008328821939648,-0.24427975104441468,timeout,minute interval; not exact exchange fill
11,941765.0,948960.0,-1.0,0.158,3866.29,4164.97,0.30543691,0.32903263000000005,-3.398037701961799,-47.19144000000005,-44.42787183803825,9815.933809189679,4.0,9860.361681027714,0.06195247595992144,1634774400.0,2021-10-16 00:05:00+00:00,2021-10-16 00:05:00+00:00,2021-10-21 00:00:00+00:00,2021-10-21 00:00:00+00:00,4481.431864846019,3578.002626809231,2021-10-21 00:00:00+00:00,0.46865185035476686,-0.45711254319595257,timeout,minute interval; not exact exchange fill
