start,end_exclusive,net_return
2021-09-01,2022-09-01,-0.04084758128016719
2022-09-01,2023-09-01,-0.030668235008790012
2023-09-01,2024-09-01,-0.016123591281088645
2024-09-01,2025-09-01,-0.0014519357911946251
2025-09-01,2026-09-01,-0.00649200370135361
