symbol,name,net_return,cagr,average_annual_return,trades,win_rate,worst_week,conservative_intrabar_drawdown,max_drawdown_adverse_daily_path,longest_losing_streak,positive_anniversary_years,historical_65pct_cagr_gate,selection,path
BTCUSDT,ACTUAL_IV_ONLY,-0.48173260235078474,-0.12319274587344087,-0.11814712329593431,531,0.3333333333333333,-0.05883967480181784,0.5943706140753668,,6.0,1.0,False,causal_26week_training_13week_selection; exposed_research_calendar,results/BTCUSDT/ADAPTIVE/ACTUAL_IV_ONLY/METRICS.json
BTCUSDT,ACTUAL_IV_ONLY_250W,-0.4737824115464748,-0.12541017130219756,,519,0.33140655105973027,-0.0588287419265312,0.5940743960907655,,6.0,,False,fixed-before-evaluation,results/BTCUSDT/ADAPTIVE/ACTUAL_IV_ONLY_250W/METRICS.json
BTCUSDT,ACTUAL_IV_ONLY_NO_FEES_NO_SLIP,-0.013426479087404242,-0.0027001484945096133,0.006794312605120712,528,0.3409090909090909,-0.06192703219528273,0.3952329584243415,,6.0,3.0,False,fixed_sensitivity_not_reselected,results/BTCUSDT/ADAPTIVE/ACTUAL_IV_ONLY_NO_FEES_NO_SLIP/METRICS.json
BTCUSDT,ACTUAL_IV_ONLY_RISK_0.5PCT,-0.26743713468050934,-0.06035061413593623,-0.05898591635836803,531,0.3333333333333333,-0.029712691597723162,0.3532109193235671,,6.0,1.0,False,fixed_sensitivity_not_reselected,results/BTCUSDT/ADAPTIVE/ACTUAL_IV_ONLY_RISK_0.5PCT/METRICS.json
BTCUSDT,ACTUAL_IV_ONLY_RISK_2PCT,-0.7016805799824453,-0.21490162499548582,-0.19979347637808273,531,0.3333333333333333,-0.07983346753460141,0.7926863626591608,,6.0,1.0,False,fixed_sensitivity_not_reselected,results/BTCUSDT/ADAPTIVE/ACTUAL_IV_ONLY_RISK_2PCT/METRICS.json
BTCUSDT,ALL_SOURCES,-0.23497609641261175,-0.05216597765442399,-0.044261535163932254,454,0.32819383259911894,-0.04814545780886503,0.41238275452528417,,5.0,1.0,False,causal_26week_training_13week_selection; exposed_research_calendar,results/BTCUSDT/ADAPTIVE/ALL_SOURCES/METRICS.json
BTCUSDT,ALL_SOURCES_250W,-0.2125830469885197,-0.048657506756654034,,430,0.32325581395348835,-0.04813053293708647,0.41231851908630335,,5.0,,False,fixed-before-evaluation,results/BTCUSDT/ADAPTIVE/ALL_SOURCES_250W/METRICS.json
BTCUSDT,ALL_SOURCES_NO_FEES_NO_SLIP,0.4935220205194679,0.08354357382812116,0.09229209214488657,447,0.33557046979865773,-0.04905094107708319,0.25077627179437445,,5.0,4.0,False,fixed_sensitivity_not_reselected,results/BTCUSDT/ADAPTIVE/ALL_SOURCES_NO_FEES_NO_SLIP/METRICS.json
BTCUSDT,ALL_SOURCES_RISK_0.5PCT,-0.11455490207780494,-0.024042068743212908,-0.022020066511022018,454,0.32819383259911894,-0.024141203663328947,0.22958478917942882,,5.0,2.0,False,fixed_sensitivity_not_reselected,results/BTCUSDT/ADAPTIVE/ALL_SOURCES_RISK_0.5PCT/METRICS.json
BTCUSDT,ALL_SOURCES_RISK_2PCT,-0.4798860715050717,-0.1225687678338937,-0.09708150409047726,454,0.32819383259911894,-0.07676186888172176,0.6558590713456258,,5.0,1.0,False,fixed_sensitivity_not_reselected,results/BTCUSDT/ADAPTIVE/ALL_SOURCES_RISK_2PCT/METRICS.json
