start_utc,end_exclusive_utc,net_return
2021-09-01 00:00:00+00:00,2021-10-01 00:00:00+00:00,0.21385598995270838
2021-10-01 00:00:00+00:00,2021-11-01 00:00:00+00:00,0.2751984764073847
2021-11-01 00:00:00+00:00,2021-12-01 00:00:00+00:00,-0.023471408426239182
2021-12-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,-0.06249595660017826
2022-01-01 00:00:00+00:00,2022-02-01 00:00:00+00:00,-0.059332583302205366
2022-02-01 00:00:00+00:00,2022-03-01 00:00:00+00:00,-0.2077061396769796
2022-03-01 00:00:00+00:00,2022-04-01 00:00:00+00:00,0.06231712682108137
2022-04-01 00:00:00+00:00,2022-05-01 00:00:00+00:00,0.09934374587602979
2022-05-01 00:00:00+00:00,2022-06-01 00:00:00+00:00,-0.10172956071981842
2022-06-01 00:00:00+00:00,2022-07-01 00:00:00+00:00,0.17400589402798228
2022-07-01 00:00:00+00:00,2022-08-01 00:00:00+00:00,0.12962985957691653
2022-08-01 00:00:00+00:00,2022-09-01 00:00:00+00:00,0.1337229998141234
2022-09-01 00:00:00+00:00,2022-10-01 00:00:00+00:00,-0.05705253592113424
2022-10-01 00:00:00+00:00,2022-11-01 00:00:00+00:00,-0.058794224246466076
2022-11-01 00:00:00+00:00,2022-12-01 00:00:00+00:00,0.21032174592347452
2022-12-01 00:00:00+00:00,2023-01-01 00:00:00+00:00,-0.02052307794072139
2023-01-01 00:00:00+00:00,2023-02-01 00:00:00+00:00,-0.04150259545290991
2023-02-01 00:00:00+00:00,2023-03-01 00:00:00+00:00,0.06346868957933594
2023-03-01 00:00:00+00:00,2023-04-01 00:00:00+00:00,-0.20495860134772337
2023-04-01 00:00:00+00:00,2023-05-01 00:00:00+00:00,0.047947782509349945
2023-05-01 00:00:00+00:00,2023-06-01 00:00:00+00:00,0.1740406966464414
2023-06-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,0.01784113845789914
2023-07-01 00:00:00+00:00,2023-08-01 00:00:00+00:00,0.0
2023-08-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,-0.0019612790199163843
2023-09-01 00:00:00+00:00,2023-10-01 00:00:00+00:00,0.0
2023-10-01 00:00:00+00:00,2023-11-01 00:00:00+00:00,-0.08349497851299126
2023-11-01 00:00:00+00:00,2023-12-01 00:00:00+00:00,-0.06964332074725021
2023-12-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,0.0
2024-01-01 00:00:00+00:00,2024-02-01 00:00:00+00:00,-0.07007446065745315
2024-02-01 00:00:00+00:00,2024-03-01 00:00:00+00:00,-0.07197237069265194
2024-03-01 00:00:00+00:00,2024-04-01 00:00:00+00:00,-0.06609210633808249
2024-04-01 00:00:00+00:00,2024-05-01 00:00:00+00:00,0.08775141810873355
2024-05-01 00:00:00+00:00,2024-06-01 00:00:00+00:00,0.06081286857057622
2024-06-01 00:00:00+00:00,2024-07-01 00:00:00+00:00,-0.18558377774273838
2024-07-01 00:00:00+00:00,2024-08-01 00:00:00+00:00,0.08986114807322276
2024-08-01 00:00:00+00:00,2024-09-01 00:00:00+00:00,-0.145128428085743
2024-09-01 00:00:00+00:00,2024-10-01 00:00:00+00:00,-0.049122863606141265
2024-10-01 00:00:00+00:00,2024-11-01 00:00:00+00:00,0.040875639732293134
2024-11-01 00:00:00+00:00,2024-12-01 00:00:00+00:00,0.11054199020842437
2024-12-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,0.08070592403299015
2025-01-01 00:00:00+00:00,2025-02-01 00:00:00+00:00,-0.07607952131966733
2025-02-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,0.12746869219107548
2025-03-01 00:00:00+00:00,2025-04-01 00:00:00+00:00,-0.07447334973076636
2025-04-01 00:00:00+00:00,2025-05-01 00:00:00+00:00,0.00327212230770213
2025-05-01 00:00:00+00:00,2025-06-01 00:00:00+00:00,-0.039909413789138926
2025-06-01 00:00:00+00:00,2025-07-01 00:00:00+00:00,0.18102429645733586
2025-07-01 00:00:00+00:00,2025-08-01 00:00:00+00:00,-0.09239412676772008
2025-08-01 00:00:00+00:00,2025-09-01 00:00:00+00:00,-0.018983256666074255
2025-09-01 00:00:00+00:00,2025-10-01 00:00:00+00:00,0.13154684248575
2025-10-01 00:00:00+00:00,2025-11-01 00:00:00+00:00,0.0
2025-11-01 00:00:00+00:00,2025-12-01 00:00:00+00:00,0.09324129819148919
2025-12-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,0.04274723451812945
2026-01-01 00:00:00+00:00,2026-02-01 00:00:00+00:00,0.03633208718610903
2026-02-01 00:00:00+00:00,2026-03-01 00:00:00+00:00,-0.07762774809421402
2026-03-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,-0.01999924500486172
2026-04-01 00:00:00+00:00,2026-05-01 00:00:00+00:00,-0.046401309339913266
2026-05-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,-0.10345219390111426
2026-06-01 00:00:00+00:00,2026-07-01 00:00:00+00:00,0.05335105433509457
2026-07-01 00:00:00+00:00,2026-08-01 00:00:00+00:00,-0.14460139075061884
2026-08-01 00:00:00+00:00,2026-09-01 00:00:00+00:00,0.055105792931200215
