start_utc,end_exclusive_utc,complete_calendar_period,equity_start,equity_end,net_return
2023-10-02T00:00:00+00:00,2023-11-01T00:00:00+00:00,False,10000.0,8531.923872091138,-0.14680761279088617
2023-11-01T00:00:00+00:00,2023-12-01T00:00:00+00:00,True,8531.923872091138,7991.017637415829,-0.06339792088917628
2023-12-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,True,7991.017637415829,6836.868296292912,-0.14443083390517342
2024-01-01T00:00:00+00:00,2024-02-01T00:00:00+00:00,True,6836.868296292912,5394.222224247534,-0.21100977955471378
2024-02-01T00:00:00+00:00,2024-03-01T00:00:00+00:00,True,5394.222224247534,7825.414830853816,0.4507030866614734
2024-03-01T00:00:00+00:00,2024-04-01T00:00:00+00:00,True,7825.414830853816,6213.406300037082,-0.20599655937228456
2024-04-01T00:00:00+00:00,2024-05-01T00:00:00+00:00,True,6213.406300037082,4904.428999250035,-0.21066983834281594
2024-05-01T00:00:00+00:00,2024-06-01T00:00:00+00:00,True,4904.428999250035,3939.8270234724687,-0.1966797716767985
2024-06-01T00:00:00+00:00,2024-07-01T00:00:00+00:00,True,3939.8270234724687,3272.9745381402045,-0.16925933076739919
2024-07-01T00:00:00+00:00,2024-08-01T00:00:00+00:00,True,3272.9745381402045,3133.0746041180105,-0.042743972613269676
2024-08-01T00:00:00+00:00,2024-09-01T00:00:00+00:00,True,3133.0746041180105,3786.59711056956,0.20858823648584068
2024-09-01T00:00:00+00:00,2024-10-01T00:00:00+00:00,True,3786.59711056956,3039.887661533954,-0.19719801902117062
2024-10-01T00:00:00+00:00,2024-11-01T00:00:00+00:00,True,3039.887661533954,1863.8442691475616,-0.3868706752778327
2024-11-01T00:00:00+00:00,2024-12-01T00:00:00+00:00,True,1863.8442691475616,2108.241253378536,0.13112521699184154
2024-12-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,True,2108.241253378536,1638.6084783618926,-0.22276045223194407
2025-01-01T00:00:00+00:00,2025-02-01T00:00:00+00:00,True,1638.6084783618926,975.8278130996188,-0.40447774682873106
2025-02-01T00:00:00+00:00,2025-03-01T00:00:00+00:00,True,975.8278130996188,1120.398150253529,0.1481514824779353
2025-03-01T00:00:00+00:00,2025-04-01T00:00:00+00:00,True,1120.398150253529,1076.106115446921,-0.0395324062223642
2025-04-01T00:00:00+00:00,2025-05-01T00:00:00+00:00,True,1076.106115446921,1026.629042372826,-0.04597787556810462
2025-05-01T00:00:00+00:00,2025-06-01T00:00:00+00:00,True,1026.629042372826,1917.4255696508114,0.867690753438171
2025-06-01T00:00:00+00:00,2025-07-01T00:00:00+00:00,True,1917.4255696508114,1391.6651841375365,-0.2742011965601475
2025-07-01T00:00:00+00:00,2025-08-01T00:00:00+00:00,True,1391.6651841375365,2054.060210898989,0.4759729813690512
2025-08-01T00:00:00+00:00,2025-09-01T00:00:00+00:00,True,2054.060210898989,2354.2881995481894,0.14616318794170158
2025-09-01T00:00:00+00:00,2025-10-01T00:00:00+00:00,True,2354.2881995481894,1919.9444312017936,-0.18449048354816988
2025-10-01T00:00:00+00:00,2025-11-01T00:00:00+00:00,True,1919.9444312017936,1585.7332407588658,-0.17407336640140547
2025-11-01T00:00:00+00:00,2025-12-01T00:00:00+00:00,True,1585.7332407588658,2092.9116643631232,0.31983842588904987
2025-12-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,True,2092.9116643631232,1575.617717246619,-0.2471647303250698
2026-01-01T00:00:00+00:00,2026-02-01T00:00:00+00:00,True,1575.617717246619,1856.5183224947057,0.17827966909318493
2026-02-01T00:00:00+00:00,2026-03-01T00:00:00+00:00,True,1856.5183224947057,2244.43796888459,0.20895007697452495
2026-03-01T00:00:00+00:00,2026-04-01T00:00:00+00:00,True,2244.43796888459,1532.2898909509745,-0.31729461353192545
2026-04-01T00:00:00+00:00,2026-05-01T00:00:00+00:00,True,1532.2898909509745,1118.9123825101472,-0.26977761250142795
2026-05-01T00:00:00+00:00,2026-06-01T00:00:00+00:00,True,1118.9123825101472,1089.902440995814,-0.025926910782105073
2026-06-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,True,1089.902440995814,1456.3142586198646,0.33618772088377935
2026-07-01T00:00:00+00:00,2026-08-01T00:00:00+00:00,True,1456.3142586198646,1189.4168329015308,-0.1832691152603766
2026-08-01T00:00:00+00:00,2026-08-31T00:00:00+00:00,False,1189.4168329015308,1307.7627052848422,0.09949907308324524
