start_utc,end_exclusive_utc,net_return
2021-09-01 00:00:00+00:00,2021-10-01 00:00:00+00:00,0.02891130275257625
2021-10-01 00:00:00+00:00,2021-11-01 00:00:00+00:00,0.11245316526728533
2021-11-01 00:00:00+00:00,2021-12-01 00:00:00+00:00,0.026248238306541882
2021-12-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,-0.03784967783285975
2022-01-01 00:00:00+00:00,2022-02-01 00:00:00+00:00,-0.08753557885710606
2022-02-01 00:00:00+00:00,2022-03-01 00:00:00+00:00,0.02438049450149804
2022-03-01 00:00:00+00:00,2022-04-01 00:00:00+00:00,-0.1557757702473408
2022-04-01 00:00:00+00:00,2022-05-01 00:00:00+00:00,-0.00044722543262853964
2022-05-01 00:00:00+00:00,2022-06-01 00:00:00+00:00,-0.23517229453993382
2022-06-01 00:00:00+00:00,2022-07-01 00:00:00+00:00,0.11210681356712038
2022-07-01 00:00:00+00:00,2022-08-01 00:00:00+00:00,0.04366106384797175
2022-08-01 00:00:00+00:00,2022-09-01 00:00:00+00:00,0.05976535683877571
2022-09-01 00:00:00+00:00,2022-10-01 00:00:00+00:00,0.04034011377505964
2022-10-01 00:00:00+00:00,2022-11-01 00:00:00+00:00,-0.018499916879271106
2022-11-01 00:00:00+00:00,2022-12-01 00:00:00+00:00,0.14884508920550643
2022-12-01 00:00:00+00:00,2023-01-01 00:00:00+00:00,-0.045332097490635825
2023-01-01 00:00:00+00:00,2023-02-01 00:00:00+00:00,-0.03315465806402207
2023-02-01 00:00:00+00:00,2023-03-01 00:00:00+00:00,-0.03583598888318462
2023-03-01 00:00:00+00:00,2023-04-01 00:00:00+00:00,-0.11560194836674131
2023-04-01 00:00:00+00:00,2023-05-01 00:00:00+00:00,0.00933911256351716
2023-05-01 00:00:00+00:00,2023-06-01 00:00:00+00:00,-0.09706282040653302
2023-06-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,-0.03875397166087513
2023-07-01 00:00:00+00:00,2023-08-01 00:00:00+00:00,0.026657122023246105
2023-08-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,0.09173793096473526
2023-09-01 00:00:00+00:00,2023-10-01 00:00:00+00:00,-0.010676500281943446
2023-10-01 00:00:00+00:00,2023-11-01 00:00:00+00:00,-0.018740013206184236
2023-11-01 00:00:00+00:00,2023-12-01 00:00:00+00:00,-0.012827958862564603
2023-12-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,-0.005919022186688938
2024-01-01 00:00:00+00:00,2024-02-01 00:00:00+00:00,-0.06656863011965297
2024-02-01 00:00:00+00:00,2024-03-01 00:00:00+00:00,-0.021913389562428054
2024-03-01 00:00:00+00:00,2024-04-01 00:00:00+00:00,0.09821821256359087
2024-04-01 00:00:00+00:00,2024-05-01 00:00:00+00:00,0.03334583521772361
2024-05-01 00:00:00+00:00,2024-06-01 00:00:00+00:00,0.07130949016310906
2024-06-01 00:00:00+00:00,2024-07-01 00:00:00+00:00,-0.13331750756993588
2024-07-01 00:00:00+00:00,2024-08-01 00:00:00+00:00,0.13479757651383295
2024-08-01 00:00:00+00:00,2024-09-01 00:00:00+00:00,-0.02313197748279361
2024-09-01 00:00:00+00:00,2024-10-01 00:00:00+00:00,-0.019311112443371248
2024-10-01 00:00:00+00:00,2024-11-01 00:00:00+00:00,-0.005521882583990556
2024-11-01 00:00:00+00:00,2024-12-01 00:00:00+00:00,0.009748654659636813
2024-12-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,0.06945899440251924
2025-01-01 00:00:00+00:00,2025-02-01 00:00:00+00:00,-0.038637160591248
2025-02-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,0.08824295368754087
2025-03-01 00:00:00+00:00,2025-04-01 00:00:00+00:00,-0.03132607772793261
2025-04-01 00:00:00+00:00,2025-05-01 00:00:00+00:00,0.03990043303317781
2025-05-01 00:00:00+00:00,2025-06-01 00:00:00+00:00,0.06355608623742803
2025-06-01 00:00:00+00:00,2025-07-01 00:00:00+00:00,0.06655387623473219
2025-07-01 00:00:00+00:00,2025-08-01 00:00:00+00:00,0.03799841926790726
2025-08-01 00:00:00+00:00,2025-09-01 00:00:00+00:00,-0.004761798596184863
2025-09-01 00:00:00+00:00,2025-10-01 00:00:00+00:00,0.010454536269054016
2025-10-01 00:00:00+00:00,2025-11-01 00:00:00+00:00,0.053688721140612516
2025-11-01 00:00:00+00:00,2025-12-01 00:00:00+00:00,0.012689759814174417
2025-12-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,0.07195863619342724
2026-01-01 00:00:00+00:00,2026-02-01 00:00:00+00:00,-0.05324138895051822
2026-02-01 00:00:00+00:00,2026-03-01 00:00:00+00:00,-0.02329191734314673
2026-03-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,-0.053601661659682165
2026-04-01 00:00:00+00:00,2026-05-01 00:00:00+00:00,-0.07964380213116484
2026-05-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,-0.06444348779570364
2026-06-01 00:00:00+00:00,2026-07-01 00:00:00+00:00,-0.0010291044047198161
2026-07-01 00:00:00+00:00,2026-08-01 00:00:00+00:00,-0.1494540158407872
2026-08-01 00:00:00+00:00,2026-09-01 00:00:00+00:00,-0.03619375185833351
