start,end_exclusive,net_return
2021-09-01,2022-09-01,-0.07692869784185763
2022-09-01,2023-09-01,-0.05126437171432063
2023-09-01,2024-09-01,-0.041656123957663604
2024-09-01,2025-09-01,-0.025296428644795088
2025-09-01,2026-09-01,-0.0019398253422804324
