session_date,row_index,side,quantity_shares,entry,exit,stop,target,gross_pnl,fees,net_pnl,equity_before,equity_after,entry_time_precision
2021-09-20,2948.0,1.0,189.0,362.37720047072804,365.6634422058106,357.2577641803162,367.424168567865,621.0996879306056,13.759968146586582,607.3397197840189,100000.0,100607.33971978402,"within session, exact time unavailable from daily OHLC"
2021-09-28,2954.0,1.0,194.0,360.71194793015735,359.8340081176758,355.7160072335275,365.6357534507188,-170.32032362141933,13.978591547327964,-184.2989151687473,100607.33971978402,100423.04080461527,"within session, exact time unavailable from daily OHLC"
2021-10-06,2960.0,-1.0,168.0,359.766362045094,359.70598042907716,365.57069093496597,354.0339936236779,10.14411149083162,12.087135353566076,-1.9430238627344565,100423.04080461527,100421.09778075253,"within session, exact time unavailable from daily OHLC"
2021-10-18,2968.0,-1.0,221.0,371.8842882288405,372.68725889587404,376.2581607072036,367.58480004655263,-177.45651741441424,16.45503119145619,-193.91154860587042,100421.09778075253,100227.18623214666,"within session, exact time unavailable from daily OHLC"
2021-10-29,2977.0,-1.0,199.0,385.7919221015391,386.14859635009765,390.6307500105976,381.0302602935111,-70.9781754631482,15.361616317187574,-86.33979178033577,100227.18623214666,100140.84644036632,"within session, exact time unavailable from daily OHLC"
2021-12-01,2999.0,1.0,143.0,391.5061363531421,387.0812831176758,384.71258760475564,398.22139170359776,-632.754012671679,11.133800098432696,-643.8878127701117,100140.84644036632,99496.9586275962,"within session, exact time unavailable from daily OHLC"
2022-01-05,3023.0,1.0,174.0,389.2675950725257,384.2515795440674,383.7560087144152,394.70133569619503,-872.7867019517437,13.459233638328719,-886.2459355900723,99496.9586275962,98610.71269200613,"within session, exact time unavailable from daily OHLC"
2022-01-11,3027.0,-1.0,152.0,385.5446266221926,385.8585893249512,391.85715182573654,379.30921805563673,-47.722330819307444,11.725328882396585,-59.447659701704026,98610.71269200613,98551.26503230442,"within session, exact time unavailable from daily OHLC"
2022-01-20,3033.0,1.0,144.0,363.1276456537931,361.68382922058106,356.45370675895316,369.72896628132895,-207.909566382531,10.437285238190988,-218.346851620722,98551.26503230442,98332.9181806837,"within session, exact time unavailable from daily OHLC"
2022-01-21,3034.0,1.0,140.0,352.6401864705439,351.6548334411621,345.80582588928235,359.40402606660984,-137.94942411344778,9.860130278763886,-147.80955439221165,98332.9181806837,98185.10862629149,"within session, exact time unavailable from daily OHLC"
2022-01-24,3035.0,1.0,131.0,338.6011438780193,345.7969303269643,331.3030608202966,345.8315134783121,942.648024811795,8.965614772085285,933.6824100397098,98185.10862629149,99118.7910363312,"within session, exact time unavailable from daily OHLC"
2022-01-26,3037.0,1.0,116.0,344.5534856157096,344.53555032348635,336.22861790947906,352.8094495151977,-2.0804938978944847,7.993432816894673,-10.073926714789158,99118.7910363312,99108.71710961641,"within session, exact time unavailable from daily OHLC"
2022-01-27,3038.0,1.0,118.0,341.14807862616595,341.0658961029053,332.92697821483534,349.30095624405067,-9.69753774475737,8.05012490180304,-17.747662646560407,99108.71710961641,99090.96944696984,"within session, exact time unavailable from daily OHLC"
2022-01-31,3040.0,-1.0,127.0,360.653558551441,363.0862927917481,368.2580961518484,353.1211588765364,-308.95724851900513,9.191496112058502,-318.14874463106366,99090.96944696984,98772.82070233878,"within session, exact time unavailable from daily OHLC"
2022-02-10,3048.0,-1.0,154.0,365.620635880405,359.5038484831694,371.84650150813,359.4679016930001,941.9852591742842,11.166917059199047,930.8183421150852,98772.82070233878,99703.63904445387,"within session, exact time unavailable from daily OHLC"
2022-02-11,3049.0,1.0,145.0,351.7395679605283,347.02529155883786,345.04230045139707,358.3664945901554,-683.5700782451119,10.13209046303081,-693.7021687081427,99703.63904445387,99009.93687574573,"within session, exact time unavailable from daily OHLC"
2022-02-17,3053.0,1.0,149.0,346.29099677839605,345.41546720581056,339.83270735533097,352.6800349272329,-130.45390631523833,10.30642631336468,-140.760332628603,99009.93687574573,98869.17654311712,"within session, exact time unavailable from daily OHLC"
2022-02-18,3054.0,1.0,135.0,339.27219375113816,341.4758587646484,332.1412921538707,346.33524769442084,297.49477682388516,9.19009870896312,288.304678114922,98869.17654311712,99157.48122123204,"within session, exact time unavailable from daily OHLC"
2022-02-23,3056.0,1.0,138.0,334.3039241645293,329.3870714263916,327.2942924585068,341.24670177112887,-678.5256778629976,9.15893573915471,-687.6846136021522,99157.48122123204,98469.79660762989,"within session, exact time unavailable from daily OHLC"
2022-03-07,3064.0,1.0,132.0,329.99070277635883,324.82749935302735,322.70568729309554,337.209726718221,-681.5428518797555,8.6436002681079,-690.1864521478634,98469.79660762989,97779.61015548203,"within session, exact time unavailable from daily OHLC"
2022-03-11,3068.0,1.0,135.0,327.2209928876704,324.36755389709475,320.1331547990261,334.2433933215026,-385.21426372770947,8.79644538159433,-394.0107091093038,97779.61015548203,97385.59944637273,"within session, exact time unavailable from daily OHLC"
2022-03-16,3071.0,-1.0,128.0,339.46619522331315,340.35403932495115,346.91056711138634,332.0897233642875,-113.64404500966339,8.701699002217785,-122.34574401188117,97385.59944637273,97263.25370236085,"within session, exact time unavailable from daily OHLC"
2022-03-18,3073.0,-1.0,145.0,349.1360454906637,351.5251392333984,355.6618945847311,342.6800305891137,-346.4185926965317,10.159587178498903,-356.57817987503057,97263.25370236085,96906.67552248582,"within session, exact time unavailable from daily OHLC"
2022-04-12,3090.0,1.0,143.0,339.1607679694465,339.4160672058106,332.5577377479592,345.6959728198771,36.50779080006157,9.703648743006177,26.804142057055394,96906.67552248582,96933.47966454287,"within session, exact time unavailable from daily OHLC"
2022-04-19,3094.0,-1.0,146.0,344.3424966327277,346.2946357666016,350.78308622469206,337.9707824276286,-285.0123135455831,10.083302133030207,-295.0956156786133,96933.47966454287,96638.38404886426,"within session, exact time unavailable from daily OHLC"
2022-04-21,3096.0,1.0,154.0,339.0883110083856,334.1165788970947,332.97366340702456,345.135147728633,-765.6467451387928,10.367355304544397,-776.0141004433372,96638.38404886426,95862.36994842092,"within session, exact time unavailable from daily OHLC"
2022-04-22,3097.0,1.0,143.0,327.80124075403535,325.3674538970947,321.2913517985165,334.2455760167727,-348.03152054250984,9.340312333511159,-357.371832876021,95862.36994842092,95504.9981155449,"within session, exact time unavailable from daily OHLC"
2022-05-04,3105.0,-1.0,125.0,326.6013367561347,329.63296610412596,334.0413630203052,319.2266372919954,-378.95366849890877,8.202928785753258,-387.15659728466204,95504.9981155449,95117.84151826025,"within session, exact time unavailable from daily OHLC"
2022-05-09,3108.0,1.0,133.0,296.44329616550516,297.12027889709475,289.43021267833643,303.3970969217138,90.03870330141541,7.8943955483325805,82.14430775308283,95117.84151826025,95199.98582601333,"within session, exact time unavailable from daily OHLC"
2022-05-10,3109.0,1.0,120.0,296.69524697689246,300.7299337646484,288.92306953271634,304.40809130498485,484.16241453071507,7.169102168898491,476.99331236181655,95199.98582601333,95676.97913837514,"within session, exact time unavailable from daily OHLC"
2022-05-20,3117.0,1.0,143.0,286.5588281069618,288.6511246765137,280.0052069350601,293.0551432438457,299.1984094459184,8.225502324803701,290.9729071211147,95676.97913837514,95967.95204549626,"within session, exact time unavailable from daily OHLC"
2022-05-26,3121.0,-1.0,141.0,296.9561019538759,299.35991957092284,303.6048136783547,290.3667873895038,-338.9382840036225,8.408055903499662,-347.34633990712217,95967.95204549626,95620.60570558914,"within session, exact time unavailable from daily OHLC"
2022-05-27,3122.0,-1.0,142.0,308.9867612379615,309.13091610412596,315.56417398545443,302.4711520230694,-20.46999099535276,8.777271018257643,-29.247262013610403,95620.60570558914,95591.35844357553,"within session, exact time unavailable from daily OHLC"
2022-06-01,3124.0,1.0,147.0,304.11105033526127,305.9694,297.75748435908366,310.40380018298464,273.17740071659466,8.96818261992834,264.20921809666635,95591.35844357553,95855.5676616722,"within session, exact time unavailable from daily OHLC"
2022-06-07,3128.0,-1.0,148.0,309.99661830597864,309.9009821166992,316.3084383239457,303.7468038122252,14.154156013358033,9.174484486255635,4.979671527102399,95855.5676616722,95860.54733319931,"within session, exact time unavailable from daily OHLC"
