start,end_exclusive,net_return
2021-09-01,2022-09-01,-0.040870152340010235
2022-09-01,2023-09-01,-0.030668956719796414
2023-09-01,2024-09-01,-0.016093827716769926
2024-09-01,2025-09-01,-0.0014519271177227955
2025-09-01,2026-09-01,-0.006566584568634681
