UTC_day,start_equity,end_equity,daily_return,entries,status,IV_annualized_percent,IV_available_ms
2021-09-01 00:00:00+00:00,10000.0,9804.54925860258,-0.019545074139742047,1,traded,91.08,1630454460000.0
2021-09-02 00:00:00+00:00,9804.54925860258,9957.59695860258,0.015609865988047922,1,traded,93.65,1630540860000.0
2021-09-03 00:00:00+00:00,9957.59695860258,10120.518546685973,0.01636153670014151,1,traded,92.82,1630627260000.0
2021-09-04 00:00:00+00:00,10120.518546685973,10122.641166348527,0.0002097342792033441,1,traded,90.15,1630713660000.0
2021-09-05 00:00:00+00:00,10122.641166348527,9922.554799946703,-0.01976622139555695,1,traded,91.3,1630800060000.0
2021-09-06 00:00:00+00:00,9922.554799946703,9817.77721716364,-0.010559536822474902,1,traded,93.37,1630886460000.0
2021-09-07 00:00:00+00:00,9817.77721716364,10030.231886308882,0.021639793249109696,1,traded,92.86,1630972860000.0
2021-09-08 00:00:00+00:00,10030.231886308882,10239.271086308881,0.020840913985780807,1,traded,95.16,1631059260000.0
2021-09-09 00:00:00+00:00,10239.271086308881,10191.747520581,-0.004641303597423652,1,traded,92.31,1631145660000.0
2021-09-10 00:00:00+00:00,10191.747520581,9987.011439702206,-0.02008841766000924,1,traded,91.95,1631232060000.0
2021-09-11 00:00:00+00:00,9987.011439702206,10009.131710169675,0.002214903888017261,1,traded,90.57,1631318460000.0
2021-09-12 00:00:00+00:00,10009.131710169675,9875.015493316427,-0.013399385754608528,1,traded,89.46,1631404860000.0
2021-09-13 00:00:00+00:00,9875.015493316427,9678.595493316427,-0.019890601704163458,1,traded,92.13,1631491260000.0
2021-09-14 00:00:00+00:00,9678.595493316427,9485.997209386427,-0.01989940421241887,1,traded,92.14,1631577660000.0
2021-09-15 00:00:00+00:00,9485.997209386427,9593.214879316261,0.011302730494558988,1,traded,90.9,1631664060000.0
2021-09-16 00:00:00+00:00,9593.214879316261,9638.571501545455,0.004727989813611444,1,traded,90.32,1631750460000.0
2021-09-17 00:00:00+00:00,9638.571501545455,9703.168237228156,0.006701899308662496,1,traded,84.17,1631836860000.0
2021-09-18 00:00:00+00:00,9703.168237228156,9852.228137228156,0.0153619824325113,1,traded,82.35,1631923260000.0
2021-09-19 00:00:00+00:00,9852.228137228156,9991.809345603751,0.014167476273531099,1,traded,84.7,1632009660000.0
2021-09-20 00:00:00+00:00,9991.809345603751,9792.135145603752,-0.019983788030128236,1,traded,85.72,1632096060000.0
2021-09-21 00:00:00+00:00,9792.135145603752,10007.335845603751,0.02197689235290179,1,traded,91.76,1632182460000.0
2021-09-22 00:00:00+00:00,10007.335845603751,9807.231445603751,-0.019995771410820207,1,traded,96.26,1632268860000.0
2021-09-23 00:00:00+00:00,9807.231445603751,9612.400046513661,-0.01986609576522491,1,traded,88.73,1632355260000.0
2021-09-24 00:00:00+00:00,9612.400046513661,9420.978033183472,-0.019914070617526702,1,traded,83.84,1632441660000.0
2021-09-25 00:00:00+00:00,9420.978033183472,9399.334384156458,-0.0022973887584472052,1,traded,86.92,1632528060000.0
2021-09-26 00:00:00+00:00,9399.334384156458,9620.358184156457,0.023514835302865356,1,traded,85.88,1632614460000.0
2021-09-27 00:00:00+00:00,9620.358184156457,9756.589985125363,0.014160782619639267,1,traded,89.12,1632700860000.0
2021-09-28 00:00:00+00:00,9756.589985125363,9602.542409245174,-0.015789079597999578,1,traded,89.25,1632787260000.0
2021-09-29 00:00:00+00:00,9602.542409245174,9410.621409245174,-0.01998647772856721,1,traded,92.27,1632873660000.0
2021-09-30 00:00:00+00:00,9410.621409245174,9222.528209245174,-0.019987330466318953,1,traded,91.77,1632960060000.0
2021-10-01 00:00:00+00:00,9222.528209245174,9363.391213888073,0.015273794934201446,1,traded,90.97,1633046460000.0
2021-10-02 00:00:00+00:00,9363.391213888073,9311.165767659648,-0.005577620867849964,1,traded,85.84,1633132860000.0
2021-10-03 00:00:00+00:00,9311.165767659648,9452.848024279398,0.015216382153978358,1,traded,83.97,1633219260000.0
2021-10-04 00:00:00+00:00,9452.848024279398,9315.562842265903,-0.014523155525285159,1,traded,85.56,1633305660000.0
2021-10-05 00:00:00+00:00,9315.562842265903,9455.559880717625,0.015028296284636422,1,traded,89.62,1633392060000.0
2021-10-06 00:00:00+00:00,9455.559880717625,9268.065536155498,-0.019829005043316084,1,traded,92.68,1633478460000.0
2021-10-07 00:00:00+00:00,9268.065536155498,9450.961189137584,0.019733961986845516,1,traded,89.38,1633564860000.0
2021-10-08 00:00:00+00:00,9450.961189137584,9598.753988051463,0.015637859044828506,1,traded,88.13,1633651260000.0
2021-10-09 00:00:00+00:00,9598.753988051463,9407.472628008834,-0.01992772814895938,1,traded,88.19,1633737660000.0
2021-10-10 00:00:00+00:00,9407.472628008834,9222.527731272234,-0.01965936060084461,1,traded,87.42,1633824060000.0
2021-10-11 00:00:00+00:00,9222.527731272234,9038.344531272234,-0.019971010699752267,1,traded,89.23,1633910460000.0
2021-10-12 00:00:00+00:00,9038.344531272234,9224.145097744831,0.020556924537423527,1,traded,90.49,1633996860000.0
2021-10-13 00:00:00+00:00,9224.145097744831,9371.24764186027,0.015947553139792126,1,traded,93.37,1634083260000.0
2021-10-14 00:00:00+00:00,9371.24764186027,9360.480299222934,-0.0011489764275610659,1,traded,95.0,1634169660000.0
2021-10-15 00:00:00+00:00,9360.480299222934,9522.856899222934,0.01734703720422126,1,traded,97.87,1634256060000.0
2021-10-16 00:00:00+00:00,9522.856899222934,9602.416304030836,0.008354573175870517,1,traded,90.71,1634342460000.0
2021-10-17 00:00:00+00:00,9602.416304030836,9825.430029048046,0.02322475072483532,1,traded,86.8,1634428860000.0
2021-10-18 00:00:00+00:00,9825.430029048046,9859.813619178676,0.003499448882031464,1,traded,89.66,1634515260000.0
2021-10-19 00:00:00+00:00,9859.813619178676,10026.963076227597,0.01695259804138627,1,traded,92.4,1634601660000.0
2021-10-20 00:00:00+00:00,10026.963076227597,9827.539395142598,-0.019888741941994637,1,traded,94.15,1634688060000.0
2021-10-21 00:00:00+00:00,9827.539395142598,10044.853019249203,0.022112719712323647,1,traded,93.04,1634774460000.0
2021-10-22 00:00:00+00:00,10044.853019249203,9841.33198623283,-0.020261225587508425,1,traded,92.52,1634860860000.0
2021-10-23 00:00:00+00:00,9841.33198623283,9892.470957439582,0.005196346518773209,1,traded,86.73,1634947260000.0
2021-10-24 00:00:00+00:00,9892.470957439582,9939.625511171467,0.0047667113641030046,1,traded,86.31,1635033660000.0
2021-10-25 00:00:00+00:00,9939.625511171467,10102.888611171467,0.016425477983702974,1,traded,89.88,1635120060000.0
2021-10-26 00:00:00+00:00,10102.888611171467,9894.47976056205,-0.020628639850484465,1,traded,84.45,1635206460000.0
2021-10-27 00:00:00+00:00,9894.47976056205,9695.731070259933,-0.020086825695909694,1,traded,89.01,1635292860000.0
2021-10-28 00:00:00+00:00,9695.731070259933,9856.104263365933,0.016540598325578415,1,traded,88.45,1635379260000.0
2021-10-29 00:00:00+00:00,9856.104263365933,10004.281141266845,0.015034020941891768,1,traded,89.87,1635465660000.0
2021-10-30 00:00:00+00:00,10004.281141266845,9962.983894755016,-0.004127957414299499,1,traded,87.58,1635552060000.0
