start,end_exclusive,net_return
2021-09-01,2022-09-01,-0.08089193170465192
2022-09-01,2023-09-01,-0.06088574278961778
2023-09-01,2024-09-01,-0.032528542643774916
2024-09-01,2025-09-01,-0.0034538509868339284
2025-09-01,2026-09-01,-0.013449441466194867
