trade_id,entry_index,exit_index,side,quantity,entry_price,exit_price,entry_fee,exit_fee,funding_paid,gross_pnl,net_pnl,balance_after,reason_code,equity_before,entry_leverage,exit_epoch_upper_bound,signal_available_utc,entry_utc_simulated,exit_bar_open_utc,exit_utc_upper_bound,initial_stop,initial_target,forecast_expires_utc,planned_price_RR,realized_net_R,exit_reason,intrabar_precision
12,911850.0,912273.0,1.0,2321.0,1.1278000000000001,1.1081,1.3088119000000003,1.28595005,2.32092298922,-45.723700000000115,-50.639384939220115,9794.703724478302,1.0,9845.343109417523,0.26587430939772155,1635251640.0,2021-10-26 05:30:00+00:00,2021-10-26 05:30:00+00:00,2021-10-26 12:33:00+00:00,2021-10-26 12:34:00+00:00,1.108378245430983,1.2044870182760679,2021-10-27 00:00:00+00:00,3.948511346055404,-1.1233751689358376,stop,minute interval; not exact exchange fill
13,912735.0,912877.0,1.0,2299.0,1.1279000000000001,1.1081,1.2965210500000002,1.2737609500000002,0.0,-45.52020000000009,-48.090482000000094,9746.6132424783,1.0,9794.703724478302,0.2647392073248355,1635287880.0,2021-10-26 20:15:00+00:00,2021-10-26 20:15:00+00:00,2021-10-26 22:37:00+00:00,2021-10-26 22:38:00+00:00,1.108378245430983,1.2044870182760679,2021-10-27 00:00:00+00:00,3.923162644284977,-1.0715225378972257,stop,minute interval; not exact exchange fill
14,919005.0,919325.0,1.0,1971.0,1.1238000000000001,1.1006,1.1075049000000001,1.0846413,1.4313587039835343,-45.72720000000022,-49.350704903983754,9697.262537574317,1.0,9746.6132424783,0.22725943308660343,1635674760.0,2021-10-31 04:45:00+00:00,2021-10-31 04:45:00+00:00,2021-10-31 10:05:00+00:00,2021-10-31 10:06:00+00:00,1.1008562451472816,1.2140750194108731,2021-11-01 00:00:00+00:00,3.934622732432864,-1.0912951933476982,stop,minute interval; not exact exchange fill
15,920030.0,920160.0,1.0,2233.0,1.1208,1.1134,1.2513732,1.2431111,0.24860483609499998,-16.524200000000164,-19.267289136095165,9677.995248438221,4.0,9697.262537574317,0.25808792845429546,1635724800.0,2021-10-31 21:50:00+00:00,2021-10-31 21:50:00+00:00,2021-11-01 00:00:00+00:00,2021-11-01 00:00:00+00:00,1.1008562451472816,1.2000750194108736,2021-11-01 00:00:00+00:00,3.9749294952885066,-0.43263830099796885,timeout,minute interval; not exact exchange fill
16,922585.0,923040.0,1.0,1587.0,1.137,1.1358000000000001,0.9022095000000001,0.9012573000000001,1.269422175770326,-1.9043999999997903,-4.977288975770117,9673.017959462451,4.0,9677.995248438221,0.18644553481168394,1635897600.0,2021-11-02 16:25:00+00:00,2021-11-02 16:25:00+00:00,2021-11-03 00:00:00+00:00,2021-11-03 00:00:00+00:00,1.1083166313232395,1.250233474707042,2021-11-03 00:00:00+00:00,3.9477048872151776,-0.10934168802796924,timeout,minute interval; not exact exchange fill
17,923290.0,923801.0,1.0,2009.0,1.175,1.1525,1.1802875000000002,1.15768625,2.115280944414003,-45.20249999999993,-49.65575469441393,9623.362204768038,1.0,9673.017959462451,0.24403707404376432,1635943320.0,2021-11-03 04:10:00+00:00,2021-11-03 04:10:00+00:00,2021-11-03 12:41:00+00:00,2021-11-03 12:42:00+00:00,1.1527822324751367,1.2623710700994537,2021-11-04 00:00:00+00:00,3.9324864661437644,-1.1124723662580431,stop,minute interval; not exact exchange fill
18,924010.0,924480.0,1.0,1777.0,1.1780000000000002,1.2111,1.0466530000000003,1.0760623500000002,0.6331465148992885,58.818699999999836,56.06283813510055,9679.42504290314,4.0,9623.362204768038,0.2175233515540796,1635984000.0,2021-11-03 16:10:00+00:00,2021-11-03 16:10:00+00:00,2021-11-04 00:00:00+00:00,2021-11-04 00:00:00+00:00,1.1527822324751367,1.277871070099453,2021-11-04 00:00:00+00:00,3.960345419196404,1.2510682863843832,timeout,minute interval; not exact exchange fill
19,929560.0,930240.0,1.0,1907.0,1.1943000000000001,1.2212,1.1387650500000002,1.1644142000000002,1.782114847401,51.298299999999855,47.21300590259885,9726.638048805738,4.0,9679.42504290314,0.23529601085860605,1636329600.0,2021-11-07 12:40:00+00:00,2021-11-07 12:40:00+00:00,2021-11-08 00:00:00+00:00,2021-11-08 00:00:00+00:00,1.170801497100253,1.286794011598988,2021-11-08 00:00:00+00:00,3.93616614614129,1.053587875901076,timeout,minute interval; not exact exchange fill
20,930290.0,931059.0,1.0,1741.0,1.2694,1.2432,1.1050127,1.0822056,1.421535638080714,-45.614200000000004,-49.22295393808072,9677.415094867658,1.0,9726.638048805738,0.22721369798183788,1636378800.0,2021-11-08 00:50:00+00:00,2021-11-08 00:50:00+00:00,2021-11-08 13:39:00+00:00,2021-11-08 13:40:00+00:00,1.2434522595458852,1.3716909618164586,2021-11-09 00:00:00+00:00,3.9421914982287767,-1.0896056748660146,stop,minute interval; not exact exchange fill
21,931520.0,931680.0,1.0,1611.0,1.2715,1.2829000000000002,1.0241932500000002,1.0333759500000002,0.558043917558318,18.365400000000122,15.749786882441803,9693.164881750099,4.0,9677.415094867658,0.21166669817504738,1636416000.0,2021-11-08 21:20:00+00:00,2021-11-08 21:20:00+00:00,2021-11-09 00:00:00+00:00,2021-11-09 00:00:00+00:00,1.2434522595458852,1.3821909618164596,2021-11-09 00:00:00+00:00,3.94651975611177,0.34856298103071587,timeout,minute interval; not exact exchange fill
22,933925.0,934319.0,1.0,1505.0,1.3113000000000001,1.2808000000000002,0.9867532500000001,0.9638020000000002,1.53399832796,-45.90249999999996,-49.38705357795996,9643.77782817214,1.0,9693.164881750099,0.20359774377877743,1636574400.0,2021-11-10 13:25:00+00:00,2021-11-10 13:25:00+00:00,2021-11-10 19:59:00+00:00,2021-11-10 20:00:00+00:00,1.281133112013627,1.431467551945492,2021-11-11 00:00:00+00:00,3.983425535964236,-1.0877926157588103,stop,minute interval; not exact exchange fill
23,934990.0,935311.0,1.0,1558.0,1.2425000000000002,1.2132,0.9679075000000001,0.9450828,0.19389183957800002,-45.64940000000016,-47.75628213957817,9596.021546032562,1.0,9643.77782817214,0.20073201959764664,1636633920.0,2021-11-11 07:10:00+00:00,2021-11-11 07:10:00+00:00,2021-11-11 12:31:00+00:00,2021-11-11 12:32:00+00:00,1.213491260060986,1.357034959756056,2021-11-12 00:00:00+00:00,3.948291445848581,-1.05665738172155,stop,minute interval; not exact exchange fill
24,945565.0,945571.0,-1.0,2057.0,1.0513000000000001,1.0732000000000002,1.08126205,1.1037862000000003,0.0,-45.04830000000006,-47.23334825000006,9548.788197782562,1.0,9596.021546032562,0.22535631976504758,1637249520.0,2021-11-18 15:25:00+00:00,2021-11-18 15:25:00+00:00,2021-11-18 15:31:00+00:00,2021-11-18 15:32:00+00:00,1.0729517744101744,0.9681929023593026,2021-11-19 00:00:00+00:00,3.83835043106883,-1.0605250897686211,stop,minute interval; not exact exchange fill
25,945625.0,946080.0,-1.0,1863.0,1.0490000000000002,1.0414,0.9771435000000002,0.9700641000000001,-0.19391967000000002,14.158800000000095,12.405512070000094,9561.193709852561,4.0,9548.788197782562,0.20466335198992355,1637280000.0,2021-11-18 16:25:00+00:00,2021-11-18 16:25:00+00:00,2021-11-19 00:00:00+00:00,2021-11-19 00:00:00+00:00,1.0729517744101744,0.952692902359302,2021-11-19 00:00:00+00:00,4.020875280112386,0.27801238797454103,timeout,minute interval; not exact exchange fill
