boundary_utc,rolling_365day_return
2022-09-01 00:00:00+00:00,-0.14818134339961142
2022-09-02 00:00:00+00:00,-0.14833543506613767
2022-09-03 00:00:00+00:00,-0.14810183685848188
2022-09-04 00:00:00+00:00,-0.1490800751616813
2022-09-05 00:00:00+00:00,-0.14926436744434646
2022-09-06 00:00:00+00:00,-0.14933947912607215
2022-09-07 00:00:00+00:00,-0.14997686713690006
2022-09-08 00:00:00+00:00,-0.14954795996975967
2022-09-09 00:00:00+00:00,-0.14858642226394625
2022-09-10 00:00:00+00:00,-0.15014665964429497
2022-09-11 00:00:00+00:00,-0.15112478969038035
2022-09-12 00:00:00+00:00,-0.14877259310349
2022-09-13 00:00:00+00:00,-0.14858172463950892
2022-09-14 00:00:00+00:00,-0.14962124742646354
2022-09-15 00:00:00+00:00,-0.15018941752300674
2022-09-16 00:00:00+00:00,-0.15034809373296554
2022-09-17 00:00:00+00:00,-0.15070448558547944
2022-09-18 00:00:00+00:00,-0.15109319877369076
2022-09-19 00:00:00+00:00,-0.151258467808695
2022-09-20 00:00:00+00:00,-0.15182579571615107
2022-09-21 00:00:00+00:00,-0.15123650983879655
2022-09-22 00:00:00+00:00,-0.15045757240080426
2022-09-23 00:00:00+00:00,-0.15239032100150063
2022-09-24 00:00:00+00:00,-0.15239814761864923
2022-09-25 00:00:00+00:00,-0.1531760183634282
2022-09-26 00:00:00+00:00,-0.15267433399264196
2022-09-27 00:00:00+00:00,-0.1538140292264638
2022-09-28 00:00:00+00:00,-0.1546145055780227
2022-09-29 00:00:00+00:00,-0.15448930882276557
2022-09-30 00:00:00+00:00,-0.15540677308853634
2022-10-01 00:00:00+00:00,-0.13833185627079714
2022-10-02 00:00:00+00:00,-0.13986805584420592
2022-10-03 00:00:00+00:00,-0.1407030304242074
2022-10-04 00:00:00+00:00,-0.14232763186844355
2022-10-05 00:00:00+00:00,-0.14287000983282994
2022-10-06 00:00:00+00:00,-0.14309951296251933
2022-10-07 00:00:00+00:00,-0.14258817354276376
2022-10-08 00:00:00+00:00,-0.14291071438744218
2022-10-09 00:00:00+00:00,-0.14245917465864688
2022-10-10 00:00:00+00:00,-0.1422842225389347
2022-10-11 00:00:00+00:00,-0.1424761341480515
2022-10-12 00:00:00+00:00,-0.12972198831297654
2022-10-13 00:00:00+00:00,-0.1296383723817377
2022-10-14 00:00:00+00:00,-0.12968209248524987
