start,end_exclusive,net_return
2021-09-01,2022-09-01,-0.09035002045235674
2022-09-01,2023-09-01,-0.10399235333845547
2023-09-01,2024-09-01,-0.0367149140448535
2024-09-01,2025-09-01,-0.03715461625147998
2025-09-01,2026-09-01,-0.018880831292766298
