start_utc,end_exclusive_utc,complete_calendar_period,equity_start,equity_end,net_return
2023-10-02T00:00:00+00:00,2023-11-01T00:00:00+00:00,False,10000.0,9774.554293593937,-0.02254457064060622
2023-11-01T00:00:00+00:00,2023-12-01T00:00:00+00:00,True,9774.554293593937,9731.704102184805,-0.004383851183599741
2023-12-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,True,9731.704102184805,9561.31198107373,-0.017508970610072505
2024-01-01T00:00:00+00:00,2024-02-01T00:00:00+00:00,True,9561.31198107373,9228.247844960526,-0.034834564207557706
2024-02-01T00:00:00+00:00,2024-03-01T00:00:00+00:00,True,9228.247844960526,9911.597395941246,0.07404976139147501
2024-03-01T00:00:00+00:00,2024-04-01T00:00:00+00:00,True,9911.597395941246,9825.218833551473,-0.008714898208551536
2024-04-01T00:00:00+00:00,2024-05-01T00:00:00+00:00,True,9825.218833551473,9513.79801731418,-0.03169606921871726
2024-05-01T00:00:00+00:00,2024-06-01T00:00:00+00:00,True,9513.79801731418,9247.34278404809,-0.0280072409337645
2024-06-01T00:00:00+00:00,2024-07-01T00:00:00+00:00,True,9247.34278404809,9052.537005642298,-0.02106613574894589
2024-07-01T00:00:00+00:00,2024-08-01T00:00:00+00:00,True,9052.537005642298,9058.309968722393,0.000637717700186835
2024-08-01T00:00:00+00:00,2024-09-01T00:00:00+00:00,True,9058.309968722393,9268.344573907681,0.023186952744002065
2024-09-01T00:00:00+00:00,2024-10-01T00:00:00+00:00,True,9268.344573907681,9068.641308897695,-0.021546810589260224
2024-10-01T00:00:00+00:00,2024-11-01T00:00:00+00:00,True,9068.641308897695,8441.912974063569,-0.06910939726100007
2024-11-01T00:00:00+00:00,2024-12-01T00:00:00+00:00,True,8441.912974063569,8694.381714449115,0.029906579369062047
2024-12-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,True,8694.381714449115,8358.34060758054,-0.038650374219262984
2025-01-01T00:00:00+00:00,2025-02-01T00:00:00+00:00,True,8358.34060758054,7874.845296900202,-0.05784584923972047
2025-02-01T00:00:00+00:00,2025-03-01T00:00:00+00:00,True,7874.845296900202,8096.1603070064275,0.02810404544624423
2025-03-01T00:00:00+00:00,2025-04-01T00:00:00+00:00,True,8096.1603070064275,8210.260224314376,0.014093090178711742
2025-04-01T00:00:00+00:00,2025-05-01T00:00:00+00:00,True,8210.260224314376,8238.389518095437,0.003426114765249233
2025-05-01T00:00:00+00:00,2025-06-01T00:00:00+00:00,True,8238.389518095437,8914.833942780222,0.08210881789444291
2025-06-01T00:00:00+00:00,2025-07-01T00:00:00+00:00,True,8914.833942780222,8593.367940619528,-0.036059673598411446
2025-07-01T00:00:00+00:00,2025-08-01T00:00:00+00:00,True,8593.367940619528,9083.998159664949,0.05709405467515105
2025-08-01T00:00:00+00:00,2025-09-01T00:00:00+00:00,True,9083.998159664949,9175.180603892675,0.010037699548707257
2025-09-01T00:00:00+00:00,2025-10-01T00:00:00+00:00,True,9175.180603892675,8938.163863259197,-0.02583237876897171
2025-10-01T00:00:00+00:00,2025-11-01T00:00:00+00:00,True,8938.163863259197,8721.620843210432,-0.024226790128437425
2025-11-01T00:00:00+00:00,2025-12-01T00:00:00+00:00,True,8721.620843210432,9079.202753372048,0.04099947894891409
2025-12-01T00:00:00+00:00,2026-01-01T00:00:00+00:00,True,9079.202753372048,8810.586267171508,-0.02958591117494047
2026-01-01T00:00:00+00:00,2026-02-01T00:00:00+00:00,True,8810.586267171508,8922.228464443766,0.012671369859715176
2026-02-01T00:00:00+00:00,2026-03-01T00:00:00+00:00,True,8922.228464443766,9083.180161936205,0.018039405528994523
2026-03-01T00:00:00+00:00,2026-04-01T00:00:00+00:00,True,9083.180161936205,8685.737797310701,-0.043755860562032844
2026-04-01T00:00:00+00:00,2026-05-01T00:00:00+00:00,True,8685.737797310701,8397.099759229974,-0.03323126311389424
2026-05-01T00:00:00+00:00,2026-06-01T00:00:00+00:00,True,8397.099759229974,8418.689869292939,0.00257113892677463
2026-06-01T00:00:00+00:00,2026-07-01T00:00:00+00:00,True,8418.689869292939,8754.428702090794,0.039880175895593784
2026-07-01T00:00:00+00:00,2026-08-01T00:00:00+00:00,True,8754.428702090794,8509.39056975479,-0.027990191099218298
2026-08-01T00:00:00+00:00,2026-08-31T00:00:00+00:00,False,8509.39056975479,8648.5168080479,0.016349730001536278
