boundary_utc,equity
2021-09-01 00:00:00+00:00,10000.0
2021-09-02 00:00:00+00:00,10000.0
2021-09-03 00:00:00+00:00,10000.0
2021-09-04 00:00:00+00:00,10000.0
2021-09-05 00:00:00+00:00,10000.0
2021-09-06 00:00:00+00:00,9600.131290000001
2021-09-07 00:00:00+00:00,9767.68771352956
2021-09-08 00:00:00+00:00,11571.980764874661
2021-09-09 00:00:00+00:00,13998.752899528932
2021-09-10 00:00:00+00:00,14653.439245805146
2021-09-11 00:00:00+00:00,16658.668305565978
2021-09-12 00:00:00+00:00,16658.668305565978
2021-09-13 00:00:00+00:00,16247.904367029567
2021-09-14 00:00:00+00:00,16851.258701445175
2021-09-15 00:00:00+00:00,16111.114640772093
2021-09-16 00:00:00+00:00,16005.556407037742
2021-09-17 00:00:00+00:00,16005.556407037742
2021-09-18 00:00:00+00:00,16005.556407037742
2021-09-19 00:00:00+00:00,16390.68773247774
2021-09-20 00:00:00+00:00,16773.44163411824
2021-09-21 00:00:00+00:00,16773.44163411824
2021-09-22 00:00:00+00:00,16102.712034118242
2021-09-23 00:00:00+00:00,17063.72448355642
2021-09-24 00:00:00+00:00,17739.839438871095
2021-09-25 00:00:00+00:00,16115.166166457248
2021-09-26 00:00:00+00:00,16115.166166457248
2021-09-27 00:00:00+00:00,16115.166166457248
2021-09-28 00:00:00+00:00,16115.166166457248
2021-09-29 00:00:00+00:00,16115.166166457248
2021-09-30 00:00:00+00:00,16454.766343756648
2021-10-01 00:00:00+00:00,15675.744864243976
2021-10-02 00:00:00+00:00,16653.415553283805
2021-10-03 00:00:00+00:00,16653.415553283805
2021-10-04 00:00:00+00:00,16653.415553283805
2021-10-05 00:00:00+00:00,16653.415553283805
2021-10-06 00:00:00+00:00,16653.415553283805
2021-10-07 00:00:00+00:00,18888.516463577016
2021-10-08 00:00:00+00:00,19014.535576785514
2021-10-09 00:00:00+00:00,19929.546023818963
2021-10-10 00:00:00+00:00,19929.546023818963
2021-10-11 00:00:00+00:00,19929.546023818963
2021-10-12 00:00:00+00:00,19929.546023818963
2021-10-13 00:00:00+00:00,19929.546023818963
2021-10-14 00:00:00+00:00,19929.546023818963
2021-10-15 00:00:00+00:00,19987.84422949258
2021-10-16 00:00:00+00:00,19797.846508341703
2021-10-17 00:00:00+00:00,19797.846508341703
2021-10-18 00:00:00+00:00,19310.41188427005
2021-10-19 00:00:00+00:00,18889.42311499497
2021-10-20 00:00:00+00:00,19411.86918780568
2021-10-21 00:00:00+00:00,20357.53526912847
2021-10-22 00:00:00+00:00,20357.53526912847
2021-10-23 00:00:00+00:00,20357.53526912847
2021-10-24 00:00:00+00:00,20357.53526912847
2021-10-25 00:00:00+00:00,20357.53526912847
2021-10-26 00:00:00+00:00,20357.53526912847
2021-10-27 00:00:00+00:00,20357.53526912847
2021-10-28 00:00:00+00:00,19538.270605857873
2021-10-29 00:00:00+00:00,22233.772605857885
2021-10-30 00:00:00+00:00,22233.772605857885
2021-10-31 00:00:00+00:00,22233.772605857885
2021-11-01 00:00:00+00:00,22233.772605857885
2021-11-02 00:00:00+00:00,22233.772605857885
2021-11-03 00:00:00+00:00,22233.772605857885
2021-11-04 00:00:00+00:00,22233.772605857885
2021-11-05 00:00:00+00:00,22233.772605857885
2021-11-06 00:00:00+00:00,22233.772605857885
2021-11-07 00:00:00+00:00,22233.772605857885
2021-11-08 00:00:00+00:00,22233.772605857885
2021-11-09 00:00:00+00:00,22251.29904755514
2021-11-10 00:00:00+00:00,22100.34037832151
2021-11-11 00:00:00+00:00,22100.34037832151
2021-11-12 00:00:00+00:00,22100.34037832151
2021-11-13 00:00:00+00:00,22100.34037832151
2021-11-14 00:00:00+00:00,22100.34037832151
2021-11-15 00:00:00+00:00,22100.34037832151
2021-11-16 00:00:00+00:00,22100.34037832151
2021-11-17 00:00:00+00:00,22100.34037832151
2021-11-18 00:00:00+00:00,21219.184996604938
2021-11-19 00:00:00+00:00,23787.248637089408
2021-11-20 00:00:00+00:00,21815.5149568733
2021-11-21 00:00:00+00:00,21815.5149568733
2021-11-22 00:00:00+00:00,21815.5149568733
2021-11-23 00:00:00+00:00,21815.5149568733
2021-11-24 00:00:00+00:00,22171.462424818306
2021-11-25 00:00:00+00:00,20931.584878865266
2021-11-26 00:00:00+00:00,20931.584878865266
2021-11-27 00:00:00+00:00,25117.089118865264
2021-11-28 00:00:00+00:00,25117.089118865264
2021-11-29 00:00:00+00:00,24436.267955984462
2021-11-30 00:00:00+00:00,24195.300665125273
2021-12-01 00:00:00+00:00,24195.300665125273
2021-12-02 00:00:00+00:00,24195.300665125273
2021-12-03 00:00:00+00:00,24195.300665125273
2021-12-04 00:00:00+00:00,24195.300665125273
2021-12-05 00:00:00+00:00,23689.64219105127
2021-12-06 00:00:00+00:00,23233.04568245877
2021-12-07 00:00:00+00:00,24916.098396028014
2021-12-08 00:00:00+00:00,24628.83014363102
2021-12-09 00:00:00+00:00,25488.047982906195
2021-12-10 00:00:00+00:00,24599.604065221414
2021-12-11 00:00:00+00:00,24599.604065221414
2021-12-12 00:00:00+00:00,24653.347985221415
2021-12-13 00:00:00+00:00,24221.631161710004
2021-12-14 00:00:00+00:00,24221.631161710004
2021-12-15 00:00:00+00:00,24221.631161710004
2021-12-16 00:00:00+00:00,24221.631161710004
2021-12-17 00:00:00+00:00,24221.631161710004
