target_r,week_start_epoch,net_return,week_start_utc
4.0,1748822400,0.012564752863654549,2025-06-02T00:00:00Z
4.0,1749427200,0.03584046433380106,2025-06-09T00:00:00Z
4.0,1750032000,-0.021260852053779256,2025-06-16T00:00:00Z
4.0,1750636800,-0.017414922687438605,2025-06-23T00:00:00Z
4.0,1751241600,-0.03660484827216648,2025-06-30T00:00:00Z
4.0,1751846400,0.07505473553664488,2025-07-07T00:00:00Z
4.0,1752451200,0.031263352755616536,2025-07-14T00:00:00Z
4.0,1753056000,-0.03588578900552786,2025-07-21T00:00:00Z
4.0,1753660800,-0.0174343605705366,2025-07-28T00:00:00Z
4.0,1754265600,0.06993279017284948,2025-08-04T00:00:00Z
4.0,1754870400,0.02056954581134951,2025-08-11T00:00:00Z
4.0,1755475200,0.026954000505666986,2025-08-18T00:00:00Z
4.0,1756080000,0.040213846852343194,2025-08-25T00:00:00Z
4.0,1756684800,-0.01963512591498373,2025-09-01T00:00:00Z
4.0,1757289600,-0.023614440418076255,2025-09-08T00:00:00Z
4.0,1757894400,-0.0017085251332417117,2025-09-15T00:00:00Z
4.0,1758499200,0.10221900070136303,2025-09-22T00:00:00Z
4.0,1759104000,-0.006674006883627404,2025-09-29T00:00:00Z
4.0,1759708800,0.0497028853507715,2025-10-06T00:00:00Z
4.0,1760313600,-0.005883464447028253,2025-10-13T00:00:00Z
4.0,1760918400,-0.033457037082548546,2025-10-20T00:00:00Z
4.0,1761523200,0.01895399337280068,2025-10-27T00:00:00Z
4.0,1762128000,0.0792682838422778,2025-11-03T00:00:00Z
4.0,1762732800,0.007477742105659768,2025-11-10T00:00:00Z
4.0,1763337600,-0.009125211046204673,2025-11-17T00:00:00Z
4.0,1763942400,-0.01409982798071241,2025-11-24T00:00:00Z
4.0,1764547200,0.04857856296889662,2025-12-01T00:00:00Z
4.0,1765152000,0.019412823324366668,2025-12-08T00:00:00Z
4.0,1765756800,-0.023331685086256493,2025-12-15T00:00:00Z
4.0,1766361600,-0.02921925940238823,2025-12-22T00:00:00Z
4.0,1766966400,0.016510884601194764,2025-12-29T00:00:00Z
4.0,1767571200,-0.02350227588496845,2026-01-05T00:00:00Z
4.0,1768176000,0.005489082199124695,2026-01-12T00:00:00Z
4.0,1768780800,0.08994769130311453,2026-01-19T00:00:00Z
