target_r,period,start_utc,end_utc_exclusive,complete_calendar_period,days,equity_start,equity_end,net_return
4.0,2025,2025-06-02T00:00:00Z,2026-01-01T00:00:00Z,False,213.0,10000.0,14077.596931590564,0.40775969315905636
4.0,2026,2026-01-01T00:00:00Z,2026-06-01T00:00:00Z,False,151.0,14077.596931590564,14550.402603689372,0.033585680453587674
1.75,2025,2025-06-02T00:00:00Z,2026-01-01T00:00:00Z,False,213.0,10000.0,10113.194197533192,0.011319419753319293
1.75,2026,2026-01-01T00:00:00Z,2026-06-01T00:00:00Z,False,151.0,10113.194197533192,9573.354290387193,-0.05337976277343481
2.0,2025,2025-06-02T00:00:00Z,2026-01-01T00:00:00Z,False,213.0,10000.0,11302.716526132017,0.13027165261320173
2.0,2026,2026-01-01T00:00:00Z,2026-06-01T00:00:00Z,False,151.0,11302.716526132017,10302.225396033602,-0.0885177583446658
