target_r,period,start_utc,end_utc_exclusive,complete_calendar_period,days,equity_start,equity_end,net_return
4.0,2025-06,2025-06-02T00:00:00Z,2025-07-01T00:00:00Z,False,29.0,10000.0,10013.418597500131,0.001341859750012997
4.0,2025-07,2025-07-01T00:00:00Z,2025-08-01T00:00:00Z,True,31.0,10013.418597500131,10346.846917846375,0.03329815058660235
4.0,2025-08,2025-08-01T00:00:00Z,2025-09-01T00:00:00Z,True,31.0,10346.846917846375,11904.747833291984,0.1505676973686081
4.0,2025-09,2025-09-01T00:00:00Z,2025-10-01T00:00:00Z,True,30.0,11904.747833291984,12340.145039251322,0.0365734085304803
4.0,2025-10,2025-10-01T00:00:00Z,2025-11-01T00:00:00Z,True,31.0,12340.145039251322,12800.465813734441,0.037302703737998266
4.0,2025-11,2025-11-01T00:00:00Z,2025-12-01T00:00:00Z,True,30.0,12800.465813734441,13596.977225067456,0.06222518953008627
4.0,2025-12,2025-12-01T00:00:00Z,2026-01-01T00:00:00Z,True,31.0,13596.977225067456,14077.596931590564,0.03534754074876556
4.0,2026-01,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,True,31.0,14077.596931590564,16259.310251828638,0.1549776805544305
4.0,2026-02,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,True,28.0,16259.310251828638,15316.397165969996,-0.05799219470288386
4.0,2026-03,2026-03-01T00:00:00Z,2026-04-01T00:00:00Z,True,31.0,15316.397165969996,16206.875300753009,0.058138877252509324
4.0,2026-04,2026-04-01T00:00:00Z,2026-05-01T00:00:00Z,True,30.0,16206.875300753009,15741.002517609182,-0.028745379630469636
4.0,2026-05,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,True,31.0,15741.002517609182,14550.402603689372,-0.07563685429742528
1.75,2025-06,2025-06-02T00:00:00Z,2025-07-01T00:00:00Z,False,29.0,10000.0,9936.155735718408,-0.006384426428159173
1.75,2025-07,2025-07-01T00:00:00Z,2025-08-01T00:00:00Z,True,31.0,9936.155735718408,9935.919314285333,-2.379405469921103e-05
1.75,2025-08,2025-08-01T00:00:00Z,2025-09-01T00:00:00Z,True,31.0,9935.919314285333,10744.005875141445,0.08132982316938597
1.75,2025-09,2025-09-01T00:00:00Z,2025-10-01T00:00:00Z,True,30.0,10744.005875141445,11242.19054745863,0.04636861503118128
1.75,2025-10,2025-10-01T00:00:00Z,2025-11-01T00:00:00Z,True,31.0,11242.19054745863,10880.945224697134,-0.03213300123641449
1.75,2025-11,2025-11-01T00:00:00Z,2025-12-01T00:00:00Z,True,30.0,10880.945224697134,10544.421250244028,-0.03092782543278294
1.75,2025-12,2025-12-01T00:00:00Z,2026-01-01T00:00:00Z,True,31.0,10544.421250244028,10113.194197533192,-0.040896227728084766
1.75,2026-01,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,True,31.0,10113.194197533192,10652.105777185676,0.053287969075481056
1.75,2026-02,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,True,28.0,10652.105777185676,10671.167581973463,0.0017894869978303252
1.75,2026-03,2026-03-01T00:00:00Z,2026-04-01T00:00:00Z,True,31.0,10671.167581973463,10508.555768114184,-0.015238427530083531
1.75,2026-04,2026-04-01T00:00:00Z,2026-05-01T00:00:00Z,True,30.0,10508.555768114184,10420.319728151202,-0.008396590541082105
1.75,2026-05,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,True,31.0,10420.319728151202,9573.354290387193,-0.08128017756267825
2.0,2025-06,2025-06-02T00:00:00Z,2025-07-01T00:00:00Z,False,29.0,10000.0,10252.553407623625,0.025255340762362577
2.0,2025-07,2025-07-01T00:00:00Z,2025-08-01T00:00:00Z,True,31.0,10252.553407623625,10638.42172287087,0.03763631359972419
2.0,2025-08,2025-08-01T00:00:00Z,2025-09-01T00:00:00Z,True,31.0,10638.42172287087,11658.213206456225,0.09585928346805139
2.0,2025-09,2025-09-01T00:00:00Z,2025-10-01T00:00:00Z,True,30.0,11658.213206456225,12250.961299121824,0.05084381990349418
2.0,2025-10,2025-10-01T00:00:00Z,2025-11-01T00:00:00Z,True,31.0,12250.961299121824,12181.668730998885,-0.005656092320519002
2.0,2025-11,2025-11-01T00:00:00Z,2025-12-01T00:00:00Z,True,30.0,12181.668730998885,11624.497162287407,-0.04573852573199877
2.0,2025-12,2025-12-01T00:00:00Z,2026-01-01T00:00:00Z,True,31.0,11624.497162287407,11302.716526132017,-0.02768125207164418
2.0,2026-01,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,True,31.0,11302.716526132017,12295.803188064614,0.08786265316276576
2.0,2026-02,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,True,28.0,12295.803188064614,11881.377316590562,-0.03370466045490461
2.0,2026-03,2026-03-01T00:00:00Z,2026-04-01T00:00:00Z,True,31.0,11881.377316590562,11438.7465136384,-0.037254166007681166
2.0,2026-04,2026-04-01T00:00:00Z,2026-05-01T00:00:00Z,True,30.0,11438.7465136384,11173.603905820155,-0.023179341154392685
2.0,2026-05,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,True,31.0,11173.603905820155,10302.225396033602,-0.07798544830577592
