trade_id,entry_index,exit_index,side,quantity,entry_price,exit_price,entry_fee,exit_fee,funding_paid,gross_pnl,net_pnl,balance_after,reason_code,equity_before,entry_leverage,exit_epoch_upper_bound,signal_available_utc,entry_utc_simulated,exit_bar_open_utc,exit_utc_upper_bound,initial_stop,initial_target,forecast_expires_utc,planned_price_RR,realized_net_R,exit_reason,intrabar_precision
1,832325.0,832332.0,-1.0,301.0,1.1837,1.1799,0.18003338382239814,0.17945542753404373,0.0,1.1438000000000077,0.7843111886435657,10000.784311188645,2.0,10000.0,0.03562937,1630455180.0,2021-09-01 00:05:00+00:00,2021-09-01 00:05:00+00:00,2021-09-01 00:12:00+00:00,2021-09-01 00:13:00+00:00,1.3476500597504635,1.17963162812594,2021-09-02 00:00:00+00:00,0.024814701990667917,0.015893162930655798,target,minute interval; not exact exchange fill
2,833765.0,833765.0,-1.0,286.0,1.2297,1.2295,0.17770928000329858,0.177680377135932,0.0,0.0571999999999937,-0.29818965713923684,10000.486121531505,2.0,10000.784311188645,0.03516666183936521,1630541160.0,2021-09-02 00:05:00+00:00,2021-09-02 00:05:00+00:00,2021-09-02 00:05:00+00:00,2021-09-02 00:06:00+00:00,1.4022610673700417,1.2291989802340442,2021-09-03 00:00:00+00:00,0.0029034345556141804,-0.006042041780911755,target,minute interval; not exact exchange fill
3,835205.0,835231.0,-1.0,321.0,1.2570000000000001,1.2471,0.20388496982176835,0.20227919320980695,0.0,3.1779000000000064,2.771735836968431,10003.257857368473,2.0,10000.486121531505,0.04034773860955144,1630629120.0,2021-09-03 00:05:00+00:00,2021-09-03 00:05:00+00:00,2021-09-03 00:31:00+00:00,2021-09-03 00:32:00+00:00,1.410322500295489,1.2467984284020834,2021-09-04 00:00:00+00:00,0.06653668951560167,0.05631718152428668,target,minute interval; not exact exchange fill
4,836645.0,836652.0,-1.0,365.0,1.2932000000000001,1.2859,0.23850828057044154,0.2371619223519415,0.0,2.6645000000000305,2.1888297970776476,10005.446687165551,2.0,10003.257857368473,0.047186427335001474,1630714380.0,2021-09-04 00:05:00+00:00,2021-09-04 00:05:00+00:00,2021-09-04 00:12:00+00:00,2021-09-04 00:13:00+00:00,1.427871872311146,1.2856030965585585,2021-09-05 00:00:00+00:00,0.05641046872720165,0.0445289269517342,target,minute interval; not exact exchange fill
5,838085.0,838091.0,-1.0,374.0,1.2568000000000001,1.2495,0.23751042423345758,0.23613086814107673,0.0,2.7302000000000315,2.2565587076254974,10007.703245873177,2.0,10005.446687165551,0.04697873215425216,1630800720.0,2021-09-05 00:05:00+00:00,2021-09-05 00:05:00+00:00,2021-09-05 00:11:00+00:00,2021-09-05 00:12:00+00:00,1.3884003006578463,1.249247400819706,2021-09-06 00:00:00+00:00,0.057390440162674194,0.045847763280121426,target,minute interval; not exact exchange fill
6,839525.0,840960.0,-1.0,384.0,1.3135000000000001,1.3909,0.25486265478698183,0.2698808272121911,-1.011909229340659,-29.721599999999967,-29.23443425265848,9978.468811620518,4.0,10007.703245873177,0.05039957596744189,1630972800.0,2021-09-06 00:05:00+00:00,2021-09-06 00:05:00+00:00,2021-09-07 00:00:00+00:00,2021-09-07 00:00:00+00:00,1.4414669363007493,1.3026493358554256,2021-09-07 00:00:00+00:00,0.08479271644882655,-0.594929763893908,timeout,minute interval; not exact exchange fill
7,843845.0,843919.0,-1.0,370.0,1.1089,1.0958,0.20731895385364152,0.20486978955074434,0.0,4.846999999999959,4.434811256595573,9982.903622877115,2.0,9978.468811620518,0.04111783157774563,1631150400.0,2021-09-09 00:05:00+00:00,2021-09-09 00:05:00+00:00,2021-09-09 01:19:00+00:00,2021-09-09 01:20:00+00:00,1.2419523042453668,1.0954958083983382,2021-09-10 00:00:00+00:00,0.10074377649967382,0.09008469591833168,target,minute interval; not exact exchange fill
8,845285.0,845380.0,-1.0,369.0,1.0941,1.2276,0.2039991159360709,0.22889069986575325,0.0,-49.261499999999984,-49.694389815801806,9933.209233061312,1.0,9982.903622877115,0.040441430194198894,1631238060.0,2021-09-10 00:05:00+00:00,2021-09-10 00:05:00+00:00,2021-09-10 01:40:00+00:00,2021-09-10 01:41:00+00:00,1.2272806814933892,1.0831698531393328,2021-09-11 00:00:00+00:00,0.08207006255039957,-1.01120629224997,stop,minute interval; not exact exchange fill
9,846725.0,846943.0,-1.0,360.0,1.0546,1.0514000000000001,0.19183823449159046,0.19125613478518702,0.0,1.151999999999953,0.7689056307231756,9933.978138692035,2.0,9933.209233061312,0.038220880190096826,1631331840.0,2021-09-11 00:05:00+00:00,2021-09-11 00:05:00+00:00,2021-09-11 03:43:00+00:00,2021-09-11 03:44:00+00:00,1.1906318645942169,1.0511168985561214,2021-09-12 00:00:00+00:00,0.025605040806201004,0.015701093126983753,target,minute interval; not exact exchange fill
10,848165.0,848185.0,-1.0,349.0,1.0776000000000001,1.0755000000000001,0.1900325126940181,0.18966218207351193,0.0,0.7328999999999968,0.35320530523246674,9934.331343997268,2.0,9933.978138692035,0.037858186795800344,1631406360.0,2021-09-12 00:05:00+00:00,2021-09-12 00:05:00+00:00,2021-09-12 00:25:00+00:00,2021-09-12 00:26:00+00:00,1.2181025049671537,1.075251430734214,2021-09-13 00:00:00+00:00,0.01671549746629163,0.007203071471429707,target,minute interval; not exact exchange fill
11,849605.0,849633.0,-1.0,354.0,1.1255,1.1149,0.20132312475973224,0.19942705623689516,0.0,3.7523999999999798,3.3516498190033523,9937.682993816272,2.0,9934.331343997268,0.04010607117918872,1631493240.0,2021-09-13 00:05:00+00:00,2021-09-13 00:05:00+00:00,2021-09-13 00:33:00+00:00,2021-09-13 00:34:00+00:00,1.2638402956252726,1.1146652365546676,2021-09-14 00:00:00+00:00,0.0783196493571245,0.06843947599666496,target,minute interval; not exact exchange fill
