historical_origin_utc,last_matured_session_utc,projected_low,projected_high,projected_terminal
2026-02-16 00:00:00+00:00,2026-02-20 00:00:00+00:00,2364.2192877605057,2477.221336540386,2417.577141126884
2026-02-23 00:00:00+00:00,2026-02-27 00:00:00+00:00,2256.633670937595,2602.4582198855105,2387.6145327288173
2026-03-02 00:00:00+00:00,2026-03-06 00:00:00+00:00,2384.063167474364,2782.6221670593395,2470.1876897882757
2026-03-09 00:00:00+00:00,2026-03-13 00:00:00+00:00,2404.863597172642,2794.4275389485397,2629.6820858486535
2026-03-16 00:00:00+00:00,2026-03-20 00:00:00+00:00,2315.469571523597,2679.062782128477,2374.4953204391386
2026-03-23 00:00:00+00:00,2026-03-27 00:00:00+00:00,2289.930406312848,2631.9313231194933,2326.5906861072117
2026-03-30 00:00:00+00:00,2026-04-03 00:00:00+00:00,2407.794452631931,2721.0405956227733,2529.9595256069015
2026-04-06 00:00:00+00:00,2026-04-10 00:00:00+00:00,2325.702786714783,2709.7905706149845,2656.6074447203896
2026-04-13 00:00:00+00:00,2026-04-17 00:00:00+00:00,2388.7144002784985,2884.932215210031,2803.6026759254028
2026-04-20 00:00:00+00:00,2026-04-24 00:00:00+00:00,2410.1147959263803,2642.101719127813,2487.842491962903
2026-04-27 00:00:00+00:00,2026-05-01 00:00:00+00:00,2207.817779603018,2465.8685508150334,2312.1052594708062
2026-05-04 00:00:00+00:00,2026-05-08 00:00:00+00:00,2284.2327896679617,2652.447254576455,2380.2100785642097
2026-05-11 00:00:00+00:00,2026-05-15 00:00:00+00:00,1954.170181572497,2426.5287685055973,2006.4701554625112
2026-05-18 00:00:00+00:00,2026-05-22 00:00:00+00:00,2190.0970720892037,2501.9432406617425,2216.6176255117575
2026-05-25 00:00:00+00:00,2026-05-29 00:00:00+00:00,2041.1546772155987,2543.209193692554,2170.9829103250995
2026-06-01 00:00:00+00:00,2026-06-05 00:00:00+00:00,1147.8298896348072,2465.058076537936,1242.63801452192
2026-06-08 00:00:00+00:00,2026-06-12 00:00:00+00:00,2271.0344242551364,2456.279099902269,2375.542733546981
2026-06-15 00:00:00+00:00,2026-06-19 00:00:00+00:00,2330.319689262481,2611.929701505746,2392.816964171805
2026-06-22 00:00:00+00:00,2026-06-26 00:00:00+00:00,2121.6695912092846,2525.439093937913,2222.1327487235053
2026-06-29 00:00:00+00:00,2026-07-03 00:00:00+00:00,2351.2481616520136,3051.7557605706997,2992.59635914629
2026-07-06 00:00:00+00:00,2026-07-10 00:00:00+00:00,2247.7913936229243,2529.0584144956415,2441.3110556734905
2026-07-13 00:00:00+00:00,2026-07-17 00:00:00+00:00,2280.1234981586426,2758.9119896920206,2499.4132219547328
2026-07-20 00:00:00+00:00,2026-07-24 00:00:00+00:00,2349.862773009253,2613.266902508731,2391.2689834607563
2026-07-27 00:00:00+00:00,2026-07-31 00:00:00+00:00,2176.3270462977416,2480.8384675951716,2207.9946446526865
2026-08-03 00:00:00+00:00,2026-08-07 00:00:00+00:00,2287.985579917871,2549.418098044527,2480.6901593469915
2026-08-10 00:00:00+00:00,2026-08-14 00:00:00+00:00,2250.7317221000867,2480.32972778695,2333.735978962564
2026-08-17 00:00:00+00:00,2026-08-21 00:00:00+00:00,2399.428653297526,7023.323134117861,6708.441771092808
2026-08-24 00:00:00+00:00,2026-08-28 00:00:00+00:00,2356.255745135821,2520.3402908679013,2394.6915377660407
