trade_id,day_index,entry_index,exit_index,side,quantity,entry_price,exit_price,initial_stop,initial_target,entry_fee,exit_fee,funding_paid,gross_pnl,net_pnl,equity_before,equity_after,entry_exposure,reason,adverse_equity_bound,max_mark_observed_gap,day_status,UTC_day,IV_observation_candle_open_utc,IV_available_utc,IV_annualized_percent,one_day_sigma,reference_price,entry_utc_simulated,exit_bar_open_utc,exit_latest_utc,exit_reason,realized_net_R,initial_price_RR,time_precision
1,609.0,876962.0,877557.0,1.0,0.06,47134.5,47705.3,43900.53058296764,47714.87500239191,1.414035,1.431159,0.7721190339359999,34.248000000000175,30.630686966063877,10000.0,10030.630686966064,0.282807,2.0,9963.8868976768,0.0,0.0,2021-09-01 00:00:00+00:00,2021-08-31 00:00:00+00:00,2021-09-01 00:01:00+00:00,91.08,0.047673450869516666,47150.32,2021-09-01 00:02:00+00:00,2021-09-01 09:57:00+00:00,2021-09-01 09:58:00+00:00,target,0.1578590838694039,0.17946211839086978,"simulated minute opens; intrabar exits only known within minute, not actual exchange fills"
2,610.0,878402.0,878493.0,1.0,0.056,48928.5,49421.4,45456.99754105112,49431.29322065466,1.369998,1.3837992000000001,0.0,27.60240000000008,24.848602800000663,10030.630686966064,10055.479289766065,0.2731628833230185,2.0,10012.611888966063,0.0,0.0,2021-09-02 00:00:00+00:00,2021-09-01 00:00:00+00:00,2021-09-02 00:01:00+00:00,93.65,0.04901865035057352,48842.94,2021-09-02 00:02:00+00:00,2021-09-02 01:33:00+00:00,2021-09-02 01:34:00+00:00,target,0.1278193102978141,0.14483447054993567,"simulated minute opens; intrabar exits only known within minute, not actual exchange fills"
3,611.0,879842.0,880369.0,1.0,0.056,49346.200000000004,49886.5,45862.05189932693,49896.52725622717,1.3816936000000002,1.3968220000000002,0.9221395123154382,30.256799999999757,26.55614488768515,10055.479289766065,10082.03543465375,0.27481407105203126,2.0,9999.952316166064,0.0,0.0,2021-09-03 00:00:00+00:00,2021-09-02 00:00:00+00:00,2021-09-03 00:01:00+00:00,92.82,0.04858420849482364,49299.14,2021-09-03 00:02:00+00:00,2021-09-03 08:49:00+00:00,2021-09-03 08:50:00+00:00,target,0.1361069791788608,0.1579517403754603,"simulated minute opens; intrabar exits only known within minute, not actual exchange fills"
4,612.0,881282.0,882719.0,1.0,0.058,49954.0,49932.200000000004,46542.529313096005,50632.691835272024,1.4486660000000002,1.4480338000000001,0.9000382292590285,-1.2643999999997468,-5.061138029259382,10082.03543465375,10076.97429662449,0.2873757009463937,3.0,10048.26577282309,0.0,0.0,2021-09-04 00:00:00+00:00,2021-09-03 00:00:00+00:00,2021-09-04 00:01:00+00:00,90.15,0.04718666662150777,50027.08,2021-09-04 00:02:00+00:00,2021-09-04 23:59:00+00:00,2021-09-04 23:59:00+00:00,scheduled_23_59_exit,-0.025578704468852964,0.1989440618315721,"simulated minute opens; intrabar exits only known within minute, not actual exchange fills"
5,613.0,882722.0,883873.0,1.0,0.057,49904.5,50534.100000000006,46467.894272933474,50544.27483308499,1.4222782500000002,1.4402218500000001,0.570739008698844,35.887200000000334,32.453960891301904,10076.97429662449,10109.428257515792,0.28228279801734224,2.0,10051.66958837449,0.0,0.0,2021-09-05 00:00:00+00:00,2021-09-04 00:00:00+00:00,2021-09-05 00:01:00+00:00,91.3,0.04778860413248651,49940.74,2021-09-05 00:02:00+00:00,2021-09-05 19:13:00+00:00,2021-09-05 19:14:00+00:00,target,0.16567735147817825,0.18616474623380874,"simulated minute opens; intrabar exits only known within minute, not actual exchange fills"
6,614.0,884162.0,885483.0,1.0,0.055,51752.0,52418.200000000004,48180.134157900946,52428.710895887554,1.4231800000000001,1.4415005,0.568973680444785,36.64100000000024,33.207345819555485,10109.428257515792,10142.635603335348,0.2815549927745806,2.0,10068.650278900348,0.0,0.0,2021-09-06 00:00:00+00:00,2021-09-05 00:00:00+00:00,2021-09-06 00:01:00+00:00,93.37,0.04887209165224826,51799.57,2021-09-06 00:02:00+00:00,2021-09-06 22:03:00+00:00,2021-09-06 22:04:00+00:00,target,0.16903488279870685,0.18945585467170742,"simulated minute opens; intrabar exits only known within minute, not actual exchange fills"
7,615.0,885602.0,886488.0,1.0,0.054,52649.600000000006,48999.0,49008.8169558361,53322.750061163395,1.4215392000000002,1.322973,0.282822226693812,-197.1324000000003,-200.15973442669565,10142.635603335348,9942.475868908652,0.28030962672710735,1.0,9940.699225705952,0.0,0.0,2021-09-07 00:00:00+00:00,2021-09-06 00:00:00+00:00,2021-09-07 00:01:00+00:00,92.86,0.04860514545172725,52683.97,2021-09-07 00:02:00+00:00,2021-09-07 14:48:00+00:00,2021-09-07 14:49:00+00:00,stop,-1.0180946526281496,0.18489156123774889,"simulated minute opens; intrabar exits only known within minute, not actual exchange fills"
8,616.0,887042.0,888479.0,1.0,0.061,46773.4,46059.8,43579.18610698261,47435.51398830272,1.4265887000000002,1.4048239,0.5562466356006079,-43.52959999999991,-46.917259235602614,9942.475868908652,9895.55860967305,0.2869685013691849,3.0,9799.545747402652,0.0,0.0,2021-09-08 00:00:00+00:00,2021-09-07 00:00:00+00:00,2021-09-08 00:01:00+00:00,95.16,0.04980902047368474,46864.39,2021-09-08 00:02:00+00:00,2021-09-08 23:59:00+00:00,2021-09-08 23:59:00+00:00,scheduled_23_59_exit,-0.24079019848555072,0.20728542623589302,"simulated minute opens; intrabar exits only known within minute, not actual exchange fills"
9,617.0,888482.0,889256.0,1.0,0.059000000000000004,46064.4,46616.9,42818.78780664744,46626.27470540243,1.3588998,1.3751985500000001,0.27305627764419604,32.597500000000004,29.590345372354932,9895.55860967305,9925.148955045404,0.2746484263499094,2.0,9865.85798075892,0.0,0.0,2021-09-09 00:00:00+00:00,2021-09-08 00:00:00+00:00,2021-09-09 00:01:00+00:00,92.31,0.04831726229430263,46062.29,2021-09-09 00:02:00+00:00,2021-09-09 12:56:00+00:00,2021-09-09 12:57:00+00:00,target,0.15452594075310117,0.17311825071190584,"simulated minute opens; intrabar exits only known within minute, not actual exchange fills"
10,618.0,889922.0,890019.0,1.0,0.058,46470.9,46973.5,43141.21685002199,46982.96879182108,1.3476561000000002,1.3622315,0.0,29.15079999999992,26.440912399999434,9925.148955045404,9951.589867445404,0.271563904200133,2.0,9912.442642116104,0.0,0.0,2021-09-10 00:00:00+00:00,2021-09-09 00:00:00+00:00,2021-09-10 00:01:00+00:00,91.95,0.04812882968217015,46413.88,2021-09-10 00:02:00+00:00,2021-09-10 01:39:00+00:00,2021-09-10 01:40:00+00:00,target,0.13691326755910727,0.15378904501002058,"simulated minute opens; intrabar exits only known within minute, not actual exchange fills"
