start_utc,end_exclusive_utc,return,complete_period
2021-09-01 00:00:00+00:00,2021-09-06 00:00:00+00:00,0.010942825751579122,False
2021-09-06 00:00:00+00:00,2021-09-13 00:00:00+00:00,-0.010063140317827068,True
2021-09-13 00:00:00+00:00,2021-09-20 00:00:00+00:00,-0.0011690146885546815,True
2021-09-20 00:00:00+00:00,2021-09-27 00:00:00+00:00,-0.04941199669841767,True
2021-09-27 00:00:00+00:00,2021-10-04 00:00:00+00:00,0.01342858981497197,True
2021-10-04 00:00:00+00:00,2021-10-11 00:00:00+00:00,0.010403753804383742,True
2021-10-11 00:00:00+00:00,2021-10-18 00:00:00+00:00,0.0026129216322863247,True
2021-10-18 00:00:00+00:00,2021-10-25 00:00:00+00:00,-0.005447370031471888,True
2021-10-25 00:00:00+00:00,2021-11-01 00:00:00+00:00,-0.009803678371441915,True
2021-11-01 00:00:00+00:00,2021-11-08 00:00:00+00:00,0.003184321348119745,True
2021-11-08 00:00:00+00:00,2021-11-15 00:00:00+00:00,0.009620919212320889,True
2021-11-15 00:00:00+00:00,2021-11-22 00:00:00+00:00,-0.03391615716762697,True
2021-11-22 00:00:00+00:00,2021-11-29 00:00:00+00:00,-0.008681019200363127,True
2021-11-29 00:00:00+00:00,2021-12-06 00:00:00+00:00,-0.009344885495956912,True
2021-12-06 00:00:00+00:00,2021-12-13 00:00:00+00:00,-0.0010437505257658852,True
2021-12-13 00:00:00+00:00,2021-12-20 00:00:00+00:00,-0.023481687286232678,True
2021-12-20 00:00:00+00:00,2021-12-27 00:00:00+00:00,0.015794947925793945,True
2021-12-27 00:00:00+00:00,2022-01-03 00:00:00+00:00,-0.010721038827012919,True
2022-01-03 00:00:00+00:00,2022-01-10 00:00:00+00:00,-0.018588973568310685,True
2022-01-10 00:00:00+00:00,2022-01-17 00:00:00+00:00,0.014810222040535947,True
2022-01-17 00:00:00+00:00,2022-01-24 00:00:00+00:00,-0.004063929621152096,True
2022-01-24 00:00:00+00:00,2022-01-31 00:00:00+00:00,-0.0035790189799340677,True
2022-01-31 00:00:00+00:00,2022-02-07 00:00:00+00:00,-0.002076042697938485,True
2022-02-07 00:00:00+00:00,2022-02-14 00:00:00+00:00,0.021099315602919333,True
2022-02-14 00:00:00+00:00,2022-02-21 00:00:00+00:00,-0.033335319882906056,True
2022-02-21 00:00:00+00:00,2022-02-28 00:00:00+00:00,-0.002242199144576462,True
2022-02-28 00:00:00+00:00,2022-03-07 00:00:00+00:00,-0.028251624661449704,True
2022-03-07 00:00:00+00:00,2022-03-14 00:00:00+00:00,-0.002564481550476949,True
2022-03-14 00:00:00+00:00,2022-03-21 00:00:00+00:00,-0.0031711794345433697,True
2022-03-21 00:00:00+00:00,2022-03-28 00:00:00+00:00,0.01451443719278922,True
