start_utc,end_exclusive_utc,net_return
2021-09-01 00:00:00+00:00,2021-10-01 00:00:00+00:00,0.007308596976198789
2021-10-01 00:00:00+00:00,2021-11-01 00:00:00+00:00,-0.0049986358615571325
2021-11-01 00:00:00+00:00,2021-12-01 00:00:00+00:00,-0.008289344798700582
2021-12-01 00:00:00+00:00,2022-01-01 00:00:00+00:00,-0.009965742767541808
2022-01-01 00:00:00+00:00,2022-02-01 00:00:00+00:00,-0.027147109738768105
2022-02-01 00:00:00+00:00,2022-03-01 00:00:00+00:00,-0.003252432307769504
2022-03-01 00:00:00+00:00,2022-04-01 00:00:00+00:00,0.010818134026941095
2022-04-01 00:00:00+00:00,2022-05-01 00:00:00+00:00,0.002924157573696018
2022-05-01 00:00:00+00:00,2022-06-01 00:00:00+00:00,0.03699281417077027
2022-06-01 00:00:00+00:00,2022-07-01 00:00:00+00:00,0.04860078342446017
2022-07-01 00:00:00+00:00,2022-08-01 00:00:00+00:00,0.01608638768110704
2022-08-01 00:00:00+00:00,2022-09-01 00:00:00+00:00,0.0340748446048742
2022-09-01 00:00:00+00:00,2022-10-01 00:00:00+00:00,0.022900950787268393
2022-10-01 00:00:00+00:00,2022-11-01 00:00:00+00:00,0.004226233312165428
2022-11-01 00:00:00+00:00,2022-12-01 00:00:00+00:00,0.01965616766749889
2022-12-01 00:00:00+00:00,2023-01-01 00:00:00+00:00,0.007675291732268885
2023-01-01 00:00:00+00:00,2023-02-01 00:00:00+00:00,-0.004178796567665177
2023-02-01 00:00:00+00:00,2023-03-01 00:00:00+00:00,-0.015716295171394945
2023-03-01 00:00:00+00:00,2023-04-01 00:00:00+00:00,0.012555439410140146
2023-04-01 00:00:00+00:00,2023-05-01 00:00:00+00:00,0.020332513931023533
2023-05-01 00:00:00+00:00,2023-06-01 00:00:00+00:00,-0.015004402462346689
2023-06-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,0.009925169259844324
2023-07-01 00:00:00+00:00,2023-08-01 00:00:00+00:00,-0.009912172788150375
2023-08-01 00:00:00+00:00,2023-09-01 00:00:00+00:00,0.01147194622492842
2023-09-01 00:00:00+00:00,2023-10-01 00:00:00+00:00,-0.020984165999457183
2023-10-01 00:00:00+00:00,2023-11-01 00:00:00+00:00,-0.00846223512204547
2023-11-01 00:00:00+00:00,2023-12-01 00:00:00+00:00,-0.011261870414821185
2023-12-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,-0.019235674711263417
2024-01-01 00:00:00+00:00,2024-02-01 00:00:00+00:00,-0.003932513816382266
2024-02-01 00:00:00+00:00,2024-03-01 00:00:00+00:00,0.007871914055486151
2024-03-01 00:00:00+00:00,2024-04-01 00:00:00+00:00,-0.021442649827469684
2024-04-01 00:00:00+00:00,2024-05-01 00:00:00+00:00,-0.006532736169953535
2024-05-01 00:00:00+00:00,2024-06-01 00:00:00+00:00,-0.0016397863315257277
2024-06-01 00:00:00+00:00,2024-07-01 00:00:00+00:00,-0.007683269506309265
2024-07-01 00:00:00+00:00,2024-08-01 00:00:00+00:00,0.010892827890570667
2024-08-01 00:00:00+00:00,2024-09-01 00:00:00+00:00,-0.006662445238228343
2024-09-01 00:00:00+00:00,2024-10-01 00:00:00+00:00,-0.024900415312109847
2024-10-01 00:00:00+00:00,2024-11-01 00:00:00+00:00,-0.014973399420760591
2024-11-01 00:00:00+00:00,2024-12-01 00:00:00+00:00,0.018417809153597586
2024-12-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,-0.0038537088088943516
2025-01-01 00:00:00+00:00,2025-02-01 00:00:00+00:00,-0.014956290289515173
2025-02-01 00:00:00+00:00,2025-03-01 00:00:00+00:00,-0.00019495395620594547
2025-03-01 00:00:00+00:00,2025-04-01 00:00:00+00:00,0.010229584848366668
2025-04-01 00:00:00+00:00,2025-05-01 00:00:00+00:00,-0.014927241610595998
2025-05-01 00:00:00+00:00,2025-06-01 00:00:00+00:00,2.62685409735397e-05
2025-06-01 00:00:00+00:00,2025-07-01 00:00:00+00:00,-0.011545875113377346
2025-07-01 00:00:00+00:00,2025-08-01 00:00:00+00:00,-0.005149941518660772
2025-08-01 00:00:00+00:00,2025-09-01 00:00:00+00:00,-0.004999018999552796
2025-09-01 00:00:00+00:00,2025-10-01 00:00:00+00:00,-0.01002876837381983
2025-10-01 00:00:00+00:00,2025-11-01 00:00:00+00:00,-0.012252986836227331
2025-11-01 00:00:00+00:00,2025-12-01 00:00:00+00:00,0.04584244932104187
2025-12-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,-0.005999132827521958
2026-01-01 00:00:00+00:00,2026-02-01 00:00:00+00:00,0.0026136526213571543
2026-02-01 00:00:00+00:00,2026-03-01 00:00:00+00:00,-0.021150621933720304
2026-03-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,0.007116437882107585
2026-04-01 00:00:00+00:00,2026-05-01 00:00:00+00:00,-0.005008950960003977
2026-05-01 00:00:00+00:00,2026-06-01 00:00:00+00:00,0.0
2026-06-01 00:00:00+00:00,2026-07-01 00:00:00+00:00,-0.010951484061032302
2026-07-01 00:00:00+00:00,2026-08-01 00:00:00+00:00,-0.009971647502745373
2026-08-01 00:00:00+00:00,2026-09-01 00:00:00+00:00,0.018957787610948795
