trade_id,entry_index,exit_index,side,quantity,entry_price,exit_price,entry_fee,exit_fee,funding_paid,gross_pnl,net_pnl,balance_after,reason_code,equity_before,entry_leverage,exit_epoch_upper_bound,signal_available_utc,entry_utc_simulated,exit_bar_open_utc,exit_utc_upper_bound,initial_stop,initial_target,forecast_expires_utc,planned_price_RR,realized_net_R,exit_reason,intrabar_precision
1,832329.0,832332.0,-1.0,314.0,1.1907,1.1799,0.18693990000000002,0.18524429999999997,0.0,3.391200000000045,3.019015800000045,10003.019015799999,2.0,10000.0,0.03738798,1630455180.0,2021-09-01 00:05:00+00:00,2021-09-01 00:09:00+00:00,2021-09-01 00:12:00+00:00,2021-09-01 00:13:00+00:00,1.3476500597504635,1.17963162812594,2021-09-02 00:00:00+00:00,0.07052161618579689,0.06125961350563777,target,minute interval; not exact exchange fill
2,833769.0,833777.0,-1.0,294.0,1.2345000000000002,1.2295,0.18147150000000004,0.18073650000000002,0.0,1.470000000000034,1.1077920000000339,10004.1268078,2.0,10003.019015799999,0.03628334600051477,1630541880.0,2021-09-02 00:05:00+00:00,2021-09-02 00:09:00+00:00,2021-09-02 00:17:00+00:00,2021-09-02 00:18:00+00:00,1.4022610673700417,1.2291989802340442,2021-09-03 00:00:00+00:00,0.03159862922344894,0.022460515178344628,target,minute interval; not exact exchange fill
3,835209.0,835231.0,-1.0,311.0,1.2515,1.2471,0.19460825,0.19392405000000001,0.0,1.3683999999999874,0.9798676999999875,10005.1066755,2.0,10004.1268078,0.03890559440895295,1630629120.0,2021-09-03 00:05:00+00:00,2021-09-03 00:09:00+00:00,2021-09-03 00:31:00+00:00,2021-09-03 00:32:00+00:00,1.410322500295489,1.2467984284020834,2021-09-04 00:00:00+00:00,0.0296026796528789,0.01983786928261481,target,minute interval; not exact exchange fill
4,836649.0,836652.0,-1.0,357.0,1.29,1.2859,0.23026500000000003,0.22953315000000002,0.0,1.4636999999999973,1.0039018499999974,10006.110577349998,2.0,10005.1066755,0.046029494230953344,1630714380.0,2021-09-04 00:05:00+00:00,2021-09-04 00:09:00+00:00,2021-09-04 00:12:00+00:00,2021-09-04 00:13:00+00:00,1.427871872311146,1.2856030965585585,2021-09-05 00:00:00+00:00,0.031891228919548376,0.020396110917053647,target,minute interval; not exact exchange fill
5,838089.0,838091.0,-1.0,364.0,1.2531,1.2495,0.22806420000000002,0.22740900000000003,0.0,1.3104000000000173,0.8549268000000174,10006.965504149997,2.0,10006.110577349998,0.04558498494235113,1630800720.0,2021-09-05 00:05:00+00:00,2021-09-05 00:09:00+00:00,2021-09-05 00:11:00+00:00,2021-09-05 00:12:00+00:00,1.3884003006578463,1.249247400819706,2021-09-06 00:00:00+00:00,0.028474431775555697,0.01735916319904974,target,minute interval; not exact exchange fill
6,839529.0,840960.0,-1.0,403.0,1.3194000000000001,1.3909,0.2658591,0.28026635,-1.0619776547507438,-28.81449999999996,-28.298647795249217,9978.66685635475,4.0,10006.965504149997,0.053134808926791115,1630972800.0,2021-09-06 00:05:00+00:00,2021-09-06 00:09:00+00:00,2021-09-07 00:00:00+00:00,2021-09-07 00:00:00+00:00,1.4414669363007493,1.3026493358554256,2021-09-07 00:00:00+00:00,0.1372252360238166,-0.5752579022893658,timeout,minute interval; not exact exchange fill
7,843849.0,843919.0,-1.0,393.0,1.1169,1.0958,0.21947085000000002,0.2153247,0.0,8.29229999999996,7.85750444999996,9986.524360804751,2.0,9978.66685635475,0.043988010254142035,1631150400.0,2021-09-09 00:05:00+00:00,2021-09-09 00:09:00+00:00,2021-09-09 01:19:00+00:00,2021-09-09 01:20:00+00:00,1.2419523042453668,1.0954958083983382,2021-09-10 00:00:00+00:00,0.17116191285579505,0.1598822998156842,target,minute interval; not exact exchange fill
8,845289.0,845380.0,-1.0,361.0,1.0909,1.2276,0.19690744999999998,0.22158180000000002,0.0,-49.348700000000015,-49.767189250000015,9936.757171554751,1.0,9986.524360804751,0.03943463068549155,1631238060.0,2021-09-10 00:05:00+00:00,2021-09-10 00:09:00+00:00,2021-09-10 01:40:00+00:00,2021-09-10 01:41:00+00:00,1.2272806814933892,1.0831698531393328,2021-09-11 00:00:00+00:00,0.056680658697558284,-1.010841480555899,stop,minute interval; not exact exchange fill
9,846729.0,846943.0,-1.0,377.0,1.0607,1.0514000000000001,0.19994195,0.19818890000000003,0.0,3.5060999999999485,3.1079691499999487,9939.865140704751,2.0,9936.757171554751,0.040242897466058566,1631331840.0,2021-09-11 00:05:00+00:00,2021-09-11 00:09:00+00:00,2021-09-11 03:43:00+00:00,2021-09-11 03:44:00+00:00,1.1906318645942169,1.0511168985561214,2021-09-12 00:00:00+00:00,0.07375482121962143,0.06344825440430717,target,minute interval; not exact exchange fill
10,848169.0,848185.0,-1.0,363.0,1.0831,1.0755000000000001,0.19658265,0.19520325000000002,0.0,2.7587999999999377,2.367014099999938,9942.232154804751,2.0,9939.865140704751,0.039554389766310656,1631406360.0,2021-09-12 00:05:00+00:00,2021-09-12 00:09:00+00:00,2021-09-12 00:25:00+00:00,2021-09-12 00:26:00+00:00,1.2181025049671537,1.075251430734214,2021-09-13 00:00:00+00:00,0.058136471376553256,0.048300585249039074,target,minute interval; not exact exchange fill
11,849609.0,849633.0,-1.0,354.0,1.1255,1.1149,0.1992135,0.1973373,0.0,3.7523999999999798,3.3558491999999798,9945.58800400475,2.0,9942.232154804751,0.04007420001829804,1631493240.0,2021-09-13 00:05:00+00:00,2021-09-13 00:09:00+00:00,2021-09-13 00:33:00+00:00,2021-09-13 00:34:00+00:00,1.2638402956252726,1.1146652365546676,2021-09-14 00:00:00+00:00,0.0783196493571245,0.06852522583642745,target,minute interval; not exact exchange fill
