UTC_day,start_equity,end_equity,daily_return,entries,status,IV_annualized_percent,IV_available_ms
2022-02-06 00:00:00+00:00,9574.562142675712,9618.860023738189,0.004626622126669755,1,traded,80.06,1644105660000.0
2022-02-07 00:00:00+00:00,9618.860023738189,9733.89946670993,0.01195977929690617,1,traded,81.46,1644192060000.0
2022-02-08 00:00:00+00:00,9733.89946670993,9682.458353602724,-0.005284738483599116,1,traded,80.86,1644278460000.0
2022-02-09 00:00:00+00:00,9682.458353602724,9872.985086604072,0.01967751639545723,1,traded,81.16,1644364860000.0
2022-02-10 00:00:00+00:00,9872.985086604072,9675.708017233375,-0.019981501809251956,1,traded,81.95,1644451260000.0
2022-02-11 00:00:00+00:00,9675.708017233375,9482.064321928201,-0.02001338764670002,1,traded,82.44,1644537660000.0
2022-02-12 00:00:00+00:00,9482.064321928201,9493.021059902743,0.0011555224266095454,1,traded,85.14,1644624060000.0
2022-02-13 00:00:00+00:00,9493.021059902743,9547.672339096569,0.0057569954652967326,1,traded,82.55,1644710460000.0
2022-02-14 00:00:00+00:00,9547.672339096569,9455.677827803633,-0.009635281566610754,1,traded,85.9,1644796860000.0
2022-02-15 00:00:00+00:00,9455.677827803633,9266.670504878632,-0.019988765096166983,1,traded,82.13,1644883260000.0
2022-02-16 00:00:00+00:00,9266.670504878632,9080.592662527793,-0.02008033438254586,1,traded,78.42,1644969660000.0
2022-02-17 00:00:00+00:00,9080.592662527793,9270.714244639186,0.020937133640621663,1,traded,75.26,1645056060000.0
2022-02-18 00:00:00+00:00,9270.714244639186,9417.155111474818,0.0157960716910579,1,traded,82.73,1645142460000.0
2022-02-19 00:00:00+00:00,9417.155111474818,9442.45152737391,0.002686205717082002,1,traded,78.27,1645228860000.0
2022-02-20 00:00:00+00:00,9442.45152737391,9609.28954199391,0.017668929952812773,1,traded,76.89,1645315260000.0
2022-02-21 00:00:00+00:00,9609.28954199391,9417.12635358891,-0.01999764785577751,1,traded,92.7,1645401660000.0
2022-02-22 00:00:00+00:00,9417.12635358891,9310.877041268754,-0.011282562039710231,1,traded,95.26,1645488060000.0
2022-02-23 00:00:00+00:00,9310.877041268754,9388.700166706165,0.008358302348154156,1,traded,89.93,1645574460000.0
2022-02-24 00:00:00+00:00,9388.700166706165,9537.828701056163,0.0158838318086707,1,traded,90.24,1645660860000.0
2022-02-25 00:00:00+00:00,9537.828701056163,9347.511886540162,-0.019953893121914312,1,traded,93.77,1645747260000.0
2022-02-26 00:00:00+00:00,9347.511886540162,9332.109028993269,-0.0016478029377070547,1,traded,83.64,1645833660000.0
2022-02-27 00:00:00+00:00,9332.109028993269,9145.165914200761,-0.020032247181393625,1,traded,82.21,1645920060000.0
2022-02-28 00:00:00+00:00,9145.165914200761,8961.972203931842,-0.020031753604869307,1,traded,92.48,1646006460000.0
2022-03-01 00:00:00+00:00,8961.972203931842,9013.21694782026,0.005718020846564809,1,traded,85.85,1646092860000.0
2022-03-02 00:00:00+00:00,9013.21694782026,8981.869579432258,-0.0034779334137278184,1,traded,86.01,1646179260000.0
2022-03-03 00:00:00+00:00,8981.869579432258,8801.968042307257,-0.020029408747702204,1,traded,81.6,1646265660000.0
2022-03-04 00:00:00+00:00,8801.968042307257,8626.045457207258,-0.019986732995895373,1,traded,84.11,1646352060000.0
2022-03-05 00:00:00+00:00,8626.045457207258,8556.771317979037,-0.008030810824250945,1,traded,88.4,1646438460000.0
2022-03-06 00:00:00+00:00,8556.771317979037,8703.144462414673,0.017106118534228498,1,traded,85.13,1646524860000.0
2022-03-07 00:00:00+00:00,8703.144462414673,8866.34825510313,0.01875227894851883,1,traded,87.73,1646611260000.0
2022-03-08 00:00:00+00:00,8866.34825510313,8689.427618423131,-0.01995417184049475,1,traded,92.58,1646697660000.0
2022-03-09 00:00:00+00:00,8689.427618423131,8515.696856823131,-0.019993349300897578,1,traded,90.62,1646784060000.0
